,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,974.68,716.17,849.27,742.75,1193,824.95,-
1,Short-Term Investments,74.59,583.38,505.81,524.12,350,-,-
2,Trading Asset Securities,751.44,674.79,498.24,429.6,211.62,325.12,-
3,Cash & Short-Term Investments,1801,1974,1853,1696,1754,1150,-
4,Cash Growth,-2.84%,16.38%,5.64%,47.51%,-,-,-
5,Receivables,261.48,597.26,270.56,355.56,367.78,385.58,-
6,Inventory,778.21,471.03,708.05,683.93,466.75,554.21,-
7,Restricted Cash,-,5.67,-,101.23,-,-,-
8,Other Current Assets,195.36,217.02,173.74,171.3,201.86,203.99,-
9,Total Current Assets,3036,3265,3006,3008,2791,2294,-
10,"Property, Plant & Equipment",83.34,84.96,83.8,62.79,60.97,34.8,-
11,Long-Term Investments,136.03,78.03,88.57,89,116.44,463.78,-
12,Other Intangible Assets,2.28,3.11,3.9,4.84,3.82,2.76,-
13,Long-Term Accounts Receivable,-,-,-,-,48.74,-,-
14,Long-Term Deferred Tax Assets,65.96,67.51,50.07,48.2,48.45,54.28,-
15,Other Long-Term Assets,66.69,68.59,101.06,68.93,49.26,113.67,-
16,Total Assets,3390,3568,3333,3282,3118,2963,-
17,Accounts Payable,31.79,57.32,14.58,40.36,19.57,76.25,-
18,Current Portion of Long-Term Debt,-,-,-,-,3415,3276,-
19,Current Portion of Leases,17.09,18.3,18.71,15.98,19.35,16.94,-
20,Current Income Taxes Payable,7.29,56.44,4.51,5.61,2.23,74.84,-
21,Other Current Liabilities,368.76,400.43,390.49,471.55,546.53,466.67,-
22,Total Current Liabilities,424.94,532.48,428.29,533.5,4002,3911,-
23,Long-Term Leases,44.61,51.7,47.96,29.49,35.57,11.76,-
24,Long-Term Deferred Tax Liabilities,1.52,2.33,-,-,-,-,-
25,Other Long-Term Liabilities,470.47,406.46,327.52,328.77,450.32,362.77,-
26,Total Liabilities,941.54,992.96,803.76,891.76,4488,4286,-
27,Common Stock,0.06,0.06,0.06,0.06,0.03,0.03,-
28,Additional Paid-In Capital,4359,4437,4437,4437,23.98,23.98,-
29,Retained Earnings,-1161,-1108,-1191,-1322,-655.1,-589.94,-
30,Comprehensive Income & Other,-750.97,-754.4,-716.97,-724.85,-738.76,-756.56,-
31,Total Common Equity,2447,2575,2529,2390,-1370,-1322,-
32,Minority Interest,1.69,-,-,-,-,-,-
33,Shareholders' Equity,2449,2575,2529,2390,-1370,-1322,-
34,Total Liabilities & Equity,3390,3568,3333,3282,3118,2963,-
35,Total Debt,61.7,70,66.67,45.47,3470,3305,-
36,Net Cash (Debt),1739,1904,1787,1651,-1715,-2155,-
37,Net Cash Growth,-2.67%,15.34%,-,-,-,-,-
38,Net Cash Per Share,4.82,5.27,4.89,5.15,-9.79,-93.81,-
39,Filing Date Shares Outstanding,360.46,360.46,360.46,360.46,175.22,175.22,175.22
40,Total Common Shares Outstanding,360.46,360.46,360.46,360.46,175.22,175.22,175.22
41,Working Capital,2611,2733,2577,2475,-1212,-1617,-
42,Book Value Per Share,6.79,7.14,7.02,6.63,-7.82,-7.55,-
43,Tangible Book Value,2445,2571,2525,2386,-1374,-1325,-
44,Tangible Book Value Per Share,6.78,7.13,7.01,6.62,-7.84,-7.56,-
45,Machinery,-,6.77,-,6.38,-,4.53,-
46,Construction In Progress,-,2.42,-,-,-,-,-
47,Leasehold Improvements,-,17.92,-,16.39,-,12.59,-
