,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,1175,2246,2703,3511,7043,-,-,-
1,Market Cap Growth,-36.04%,-36.04%,-61.62%,-,-,-,-,-
2,Enterprise Value,-692,148,773,1644,9053,-,-,-
3,Last Close Price,3.26,5.99,7.21,9.37,18.79,-,-,-
4,PE Ratio,38.09,-,11.49,-6.06,-,-,-,-
5,Forward PE,18.97,7.94,6.15,7.51,14.96,-,-,-
6,PS Ratio,1.10,2.11,2.01,3.64,6.55,-,-,-
7,PB Ratio,0.45,0.85,0.95,1.28,2.61,-,-,-
8,P/TBV Ratio,0.85,0.85,0.95,1.29,2.61,-,-,-
9,P/FCF Ratio,20.78,-,7.03,-11.94,-,-,-,-
10,P/OCF Ratio,35.22,-,6.93,-12.69,-,-,-,-
11,EV/Sales Ratio,0.14,0.14,0.57,1.70,8.42,-,-,-
12,EV/EBITDA Ratio,15.16,-,3.73,24.00,-,-,-,-
13,EV/EBIT Ratio,113.42,-,3.85,26.02,-,-,-,-
14,EV/FCF Ratio,-12.23,-,2.01,-5.59,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.02,-2.53,-2.50,-
16,Debt / FCF Ratio,1.17,-,0.20,-0.24,-,8.19,7.68,-
17,Return on Capital Employed (ROCE),0.04%,-,6.01%,2.01%,-,-,-,-
18,Earnings Yield,2.75%,1.44%,8.71%,-16.49%,-11.75%,-,-,-
19,FCF Yield,4.81%,2.52%,14.23%,-8.38%,-3.38%,-,-,-
20,Buyback Yield / Dilution,-6.00%,1.33%,-12.75%,-108.49%,-1294.59%,1.79%,-,-
21,Total Shareholder Return,1.33%,1.33%,-12.75%,-108.49%,-1294.59%,1.79%,-,-
