,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,192.53,799.61,422.14,471.25,480.22,683.55,565.41
1,Revenue Growth (YoY),-54.39%,69.68%,-12.09%,-31.06%,-15.07%,-,-
2,Cost of Revenue,149.49,527.9,212.26,286.4,291.08,423.77,266.17
3,Gross Profit,43.04,271.71,209.89,184.85,189.14,259.79,299.24
4,"Selling, General & Admin",134.33,179.21,120,216.26,170.31,169.82,95.62
5,Operating Expenses,134.33,179.21,120,216.26,170.31,169.82,95.62
6,Operating Income,-91.29,92.51,89.89,-31.41,18.83,89.97,203.62
7,Interest Expense,-1.49,-1.49,-0.95,-2.09,-2.01,-3.39,-1.45
8,Interest & Investment Income,-,47.68,-,35.16,-,41.75,-
9,Earnings From Equity Investments,0.16,0.63,-0.43,-0.73,-1.03,1.57,0.63
10,Currency Exchange Gain (Loss),4.26,-11.1,24.65,30.54,37.53,0.29,-0.29
11,Other Non Operating Income (Expenses),41.77,-5.36,53.88,-14.07,43.8,-29.33,43.36
12,EBT Excluding Unusual Items,-46.6,122.86,167.05,17.4,97.11,100.87,245.86
13,Gain (Loss) on Sale of Investments,-,-4.41,-,-15.38,-,2.91,-
14,Other Unusual Items,-,-,-,-650.72,-138.35,-93.4,-132.46
15,Pretax Income,-46.6,118.45,167.05,-648.69,-41.24,10.38,113.41
16,Income Tax Expense,6.28,35.78,36.09,18.18,23.92,32.96,29.92
17,Earnings From Continuing Operations,-52.88,82.68,130.95,-666.87,-65.16,-22.57,83.49
18,Minority Interest in Earnings,0.31,-,-,-,-,-,-
19,Net Income,-52.57,82.68,130.95,-666.87,-65.16,-22.57,83.49
20,Net Income to Common,-52.57,82.68,130.95,-666.87,-65.16,-22.57,83.49
21,Shares Outstanding (Basic),360,360,360,320,175,23,175
22,Shares Outstanding (Diluted),360,361,365,320,175,23,178
23,Shares Change (YoY),-1.33%,12.75%,108.49%,1294.59%,-1.79%,-,-
24,EPS (Basic),-0.15,0.23,0.36,-2.08,-0.37,-0.98,0.48
25,EPS (Diluted),-0.15,0.23,0.36,-2.08,-0.37,-1.02,0.47
26,Free Cash Flow,-138.35,190.99,158.14,-430.31,219.6,203.85,226.61
27,Free Cash Flow Per Share,-0.38,0.53,0.43,-1.34,1.25,8.87,1.27
28,Operating Margin,-47.42%,11.57%,21.29%,-6.67%,3.92%,13.16%,36.01%
29,Profit Margin,-27.31%,10.34%,31.02%,-141.51%,-13.57%,-3.30%,14.77%
30,Free Cash Flow Margin,-71.86%,23.89%,37.46%,-91.31%,45.73%,29.82%,40.08%
31,EBITDA,-85.19,94.26,94,-30.58,21.13,90.8,204.34
32,D&A For EBITDA,6.1,1.75,4.11,0.83,2.31,0.83,0.72
33,EBIT,-91.29,92.51,89.89,-31.41,18.83,89.97,203.62
