,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2476,2663,2625,2656,4036,-,-,-,-,-,-,-
1,Enterprise Value,1810,1933,1818,2517,3897,-,-,-,-,-,-,-
2,Last Close Price,33.83,35.71,35.20,34.98,53.16,-,-,-,-,-,-,-
3,PE Ratio,20.89,23.42,16.92,16.31,26.33,-,-,-,-,-,-,-
4,PS Ratio,1.60,1.80,1.74,1.84,2.92,-,-,-,-,-,-,-
5,PB Ratio,2.04,2.20,2.11,2.10,3.30,-,-,-,-,-,-,-
6,P/TBV Ratio,2.24,2.24,2.16,2.15,3.38,-,-,-,-,-,-,-
7,P/FCF Ratio,-,-,-,-,56.87,-,-,-,-,-,-,-
8,P/OCF Ratio,20.72,-,14.17,-,18.01,-,-,-,-,-,-,-
9,EV/Sales Ratio,1.22,1.30,1.20,1.74,2.82,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,11.60,15.90,12.11,16.24,25.09,-,-,-,-,-,-,-
11,EV/EBIT Ratio,16.15,17.24,12.89,16.96,26.12,-,-,-,-,-,-,-
12,EV/FCF Ratio,-47.16,-,-,-,54.91,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.09,0.09,0.09,0.08,0.09,0.24,0.29,0.26,0.26,0.26,0.28,0.28
14,Debt / EBITDA Ratio,0.72,0.74,0.66,0.59,0.49,0.48,0.76,0.60,0.55,0.70,0.53,0.53
15,Debt / FCF Ratio,-,-,-,-,1.49,6.33,-,-,0.74,0.97,1.09,2.18
16,Asset Turnover,0.77,0.85,0.78,0.89,1.47,-,-,-,1.13,1.55,-,
17,Inventory Turnover,5.96,4.98,6.28,5.77,6.09,6.99,-,-,-,4.21,6.23,-
18,Quick Ratio,1.88,1.88,2.06,2.43,2.16,1.31,1.20,-,1.26,1.26,1.15,1.15
19,Current Ratio,2.32,2.32,2.48,2.84,2.54,1.69,1.61,-,1.71,1.71,1.59,1.59
20,Return on Equity (ROE),5.76%,11.53%,12.96%,8.98%,47.34%,40.76%,31.33%,31.07%,36.13%,43.29%,-,
21,Return on Assets (ROA),4.66%,2.68%,5.20%,2.73%,14.79%,-,-,-,8.18%,10.65%,-,
22,Return on Capital (ROIC),6.72%,3.75%,7.29%,4.19%,25.70%,12.69%,20.32%,9.63%,15.10%,20.75%,-,
23,Return on Capital Employed (ROCE),8.67%,8.67%,10.65%,11.15%,11.51%,23.57%,19.66%,-,24.33%,20.58%,17.54%,8.77%
24,Earnings Yield,4.59%,4.27%,5.91%,6.13%,3.80%,-,-,-,-,-,-,-
25,FCF Yield,-1.55%,-1.44%,1.35%,1.20%,1.76%,-,-,-,-,-,-,-
26,Dividend Yield,4.02%,-,4.20%,-,1.50%,-,-,-,-,-,-,-
27,Payout Ratio,51.71%,-,162.17%,-,1.19%,0.34%,0.19%,0.21%,0.07%,0.03%,-,-
28,Buyback Yield / Dilution,-28.04%,-32.74%,-34.93%,-33.32%,-11.04%,-1.46%,0.70%,0.12%,-,-,-,-
29,Total Shareholder Return,-24.02%,-32.74%,-30.72%,-33.32%,-9.53%,-1.46%,0.70%,0.12%,-,-,-,-
