,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,374.38,402.77,366.45,334.92,403.71,334.22,304.75,253.4,232.66,310.97,310.97
1,Other Revenue,-2.55,2.55,-,4.04,-1.61,1.61,-,3.21,1.61,-,-
2,Revenue,371.83,405.32,366.45,338.96,402.1,335.84,304.75,256.61,234.27,310.97,310.97
3,Revenue Growth (YoY),-7.53%,20.69%,20.24%,32.09%,71.64%,8.00%,-2.00%,-,-,-,-
4,Cost of Revenue,278.14,323.08,283.9,272.47,288.91,259.81,227.26,191.01,170.65,246.27,246.27
5,Gross Profit,93.69,82.24,82.55,66.49,113.18,76.03,77.49,65.61,63.62,64.71,64.71
6,"Selling, General & Admin",33.09,29.35,30.05,30.51,21.85,22.89,20.02,16.75,18.61,18.98,18.98
7,Research & Development,24.14,21.27,17.56,17.04,20.94,21.09,15.53,15.96,15.79,11.85,11.85
8,Other Operating Expenses,1.73,8.07,-4.77,3.83,1.68,1.46,0.06,14.21,1.76,1.57,1.57
9,Operating Expenses,57.7,61.9,43.42,49.87,48.31,48.25,37.59,48.22,36.37,30.56,30.56
10,Operating Income,35.99,20.34,39.13,16.62,64.88,27.78,39.9,17.38,27.25,34.14,34.14
11,Interest Expense,-1.06,-0.97,-1.22,-1.79,-0.52,-0.98,-0.91,-0.95,-0.94,-1.02,-1.02
12,Interest & Investment Income,4.02,3.51,3.68,2.78,0.93,1.01,0.97,1.1,0.98,0.36,0.36
13,Currency Exchange Gain (Loss),-12.82,12.82,-,15.79,-16.76,16.76,-,28.39,14.19,-,-
14,Other Non Operating Income (Expenses),2.5,-5.68,5.57,-19.24,18.19,4.81,-5.98,-38.22,-10.35,9.46,9.46
15,EBT Excluding Unusual Items,28.62,30.04,47.16,14.16,66.73,49.37,33.99,7.7,31.14,42.95,42.95
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0.18,-2.2,-3.46,-3.46
17,Gain (Loss) on Sale of Assets,-1.52,0.02,0.02,0.35,0.22,-,0.01,0.13,0.07,0,0
18,Asset Writedown,-10.16,1.87,-1.88,2.52,-2.54,-0.01,-,3.68,-0.01,0,0
19,Other Unusual Items,1.01,9.75,-0.04,6.59,-,-0,0,12.44,4.6,1.62,1.62
20,Pretax Income,17.95,41.68,45.26,23.63,64.4,49.36,33.99,23.78,33.59,41.11,41.11
21,Income Tax Expense,0.26,5.56,5.02,3.97,5.26,5.55,3.36,-3.94,1.36,6.21,6.21
22,Net Income,17.69,36.12,40.24,19.67,59.14,43.81,30.64,27.72,32.23,34.9,34.9
23,Net Income to Common,17.69,36.12,40.24,19.67,59.14,43.81,30.64,27.72,32.23,34.9,34.9
24,Net Income Growth,-70.08%,-17.56%,31.34%,-29.04%,83.49%,25.52%,-12.23%,-,-,-,-
25,Shares Outstanding (Basic),74,74,73,60,55,55,55,54,55,55,55
26,Shares Outstanding (Diluted),74,74,73,60,55,55,55,54,55,55,55
27,Shares Change (YoY),32.74%,34.93%,33.32%,11.04%,1.46%,-0.70%,-0.12%,-,-,-,-
28,EPS (Basic),0.24,0.49,0.55,0.33,1.07,0.80,0.56,0.51,0.59,0.64,0.64
29,EPS (Diluted),0.24,0.49,0.55,0.33,1.07,0.80,0.56,0.51,0.59,0.64,0.64
30,EPS Growth,-77.46%,-38.90%,-1.49%,-36.09%,80.84%,26.41%,-12.13%,-,-,-,-
31,Free Cash Flow,-57.57,-4.48,-59.42,83.09,16.28,-7.99,-20.42,32.32,21.19,40.72,40.72
32,Free Cash Flow Per Share,-0.78,-0.06,-0.81,1.37,0.29,-0.15,-0.37,0.59,0.39,0.74,0.74
33,Dividend Per Share,-,0.680,-,0.800,-,-,-,-,-,-,-
34,Gross Margin,25.20%,20.29%,22.53%,19.62%,28.15%,22.64%,25.43%,25.57%,27.16%,20.81%,20.81%
35,Operating Margin,9.68%,5.02%,10.68%,4.90%,16.13%,8.27%,13.09%,6.77%,11.63%,10.98%,10.98%
36,Profit Margin,4.76%,8.91%,10.98%,5.80%,14.71%,13.05%,10.05%,10.80%,13.76%,11.22%,11.22%
37,Free Cash Flow Margin,-15.48%,-1.11%,-16.21%,24.51%,4.05%,-2.38%,-6.70%,12.60%,9.04%,13.10%,13.10%
38,EBITDA,37.84,24.3,40.98,18.47,66.28,29.24,41.31,18.79,28.74,35.46,35.46
39,EBITDA Margin,10.18%,5.99%,11.18%,5.45%,16.48%,8.71%,13.55%,7.32%,12.27%,11.40%,11.40%
40,D&A For EBITDA,1.85,3.96,1.85,1.85,1.41,1.46,1.41,1.41,1.5,1.31,1.31
41,EBIT,35.99,20.34,39.13,16.62,64.88,27.78,39.9,17.38,27.25,34.14,34.14
42,EBIT Margin,9.68%,5.02%,10.68%,4.90%,16.13%,8.27%,13.09%,6.77%,11.63%,10.98%,10.98%
43,Effective Tax Rate,1.45%,13.33%,11.10%,16.78%,8.17%,11.24%,9.87%,-,4.06%,15.10%,15.10%
44,Revenue as Reported,371.83,405.32,366.45,1382,402.1,335.84,304.75,1090,234.27,310.97,310.97
