,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,718.31,781.19,903.58,977.88,266.52,251.89,-,261.69,261.69,245.21,245.21
1,Trading Asset Securities,60.1,60,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,778.41,841.19,903.58,977.88,266.52,251.89,261.69,261.69,261.69,245.21,245.21
3,Cash Growth,192.07%,233.95%,245.29%,273.68%,1.85%,2.72%,6.72%,-,-,-,-
4,Accounts Receivable,392.73,396.25,360.87,313.73,363.83,312.4,-,222.46,222.46,222.53,222.53
5,Other Receivables,19.52,27.95,21.74,23.65,26.71,20.43,-,19.03,19.03,6.39,6.39
6,Receivables,412.25,455.04,382.61,337.38,390.54,332.84,-,241.49,241.49,228.92,228.92
7,Inventory,229.29,217.79,193.63,200.01,158.01,172.49,-,166.04,166.04,158.02,158.02
8,Other Current Assets,50.48,10.53,24.92,30.35,32.22,26.56,-,12.73,12.73,23.84,23.84
9,Total Current Assets,1470,1525,1505,1546,847.29,783.79,-,681.95,681.95,655.99,655.99
10,"Property, Plant & Equipment",379.14,365.15,306.62,312.31,255.86,237.35,-,145.5,145.5,114.11,114.11
11,Other Intangible Assets,25.64,25.86,26.08,26.29,25.34,25.53,-,25.19,25.19,24.76,24.76
12,Long-Term Deferred Tax Assets,9.88,11.51,9.45,9.43,4.2,5.44,-,4.19,4.19,4.06,4.06
13,Long-Term Deferred Charges,8.9,8.21,8.85,7.22,3.22,2.15,-,1.79,1.79,2.39,2.39
14,Other Long-Term Assets,32.28,1.92,4.81,3.31,0.44,3.27,-,4.04,4.04,0.52,0.52
15,Total Assets,1926,1937,1861,1904,1136,1058,-,862.66,862.66,801.82,801.82
16,Accounts Payable,507.36,541.01,464.38,479.3,437.51,410.12,-,318.62,318.62,349.51,349.51
17,Accrued Expenses,22.91,22.36,16.13,40.06,18.67,23.41,-,26.79,26.79,15,15
18,Current Portion of Leases,32.79,30.72,28.56,30.87,24.35,34.15,-,28.21,28.21,24.91,24.91
19,Current Income Taxes Payable,4.41,8.25,5.25,7.99,7.41,5.19,-,2.31,2.31,8.06,8.06
20,Current Unearned Revenue,12.27,7.41,13.51,17.65,8.74,10.26,-,16.25,16.25,9.88,9.88
21,Other Current Liabilities,53.29,3.85,1.27,31.94,3.46,3.06,-,6.28,6.28,5.18,5.18
22,Total Current Liabilities,633.04,613.6,529.09,607.81,500.13,486.19,-,398.47,398.47,412.55,412.55
23,Long-Term Debt,-,-,-,-,27.57,22.01,-,7.91,7.91,-,-
24,Long-Term Leases,79.1,80.29,67.68,74.51,75.9,78.9,-,63.67,63.67,64.01,64.01
25,Long-Term Deferred Tax Liabilities,-,-,-,0.23,-,-,-,-,-,-,-
26,Other Long-Term Liabilities,1.4,0.72,1.03,0.57,2.04,1.65,-,1.49,1.49,2.75,2.75
27,Total Liabilities,713.54,694.6,597.8,683.12,605.65,588.76,-,471.54,471.54,479.31,479.31
28,Common Stock,73.2,73.2,73.2,73.2,54.9,54.9,-,54.9,54.9,54.9,54.9
29,Additional Paid-In Capital,777.93,776.15,774.37,772.6,119.11,117.33,-,113.78,113.78,110.23,110.23
30,Retained Earnings,361.61,393.69,416.13,375.89,356.22,297.08,-,222.64,222.64,157.63,157.63
31,Comprehensive Income & Other,0.02,-0.43,-0.95,-0.62,0.47,-0.55,-,-0.2,-0.2,-0.24,-0.24
32,Shareholders' Equity,1213,1243,1263,1221,530.7,468.77,391.12,391.12,391.12,322.52,322.52
33,Total Liabilities & Equity,1926,1937,1861,1904,1136,1058,-,862.66,862.66,801.82,801.82
34,Total Debt,111.89,111.01,96.23,105.39,127.83,135.07,99.79,99.79,99.79,88.92,88.92
35,Net Cash (Debt),666.52,730.19,807.35,872.49,138.69,116.83,161.9,161.9,161.9,156.29,156.29
36,Net Cash Growth,380.58%,525.02%,398.68%,438.91%,-14.33%,-25.25%,3.59%,-,-,-,-
37,Net Cash Per Share,9.06,9.92,11.03,14.43,2.50,2.14,2.95,2.97,2.96,2.84,2.84
38,Filing Date Shares Outstanding,73.2,73.2,73.2,73.2,54.9,54.9,54.9,54.9,54.9,54.9,54.9
39,Total Common Shares Outstanding,73.2,73.2,73.2,73.2,54.9,54.9,54.9,54.9,54.9,54.9,54.9
40,Working Capital,837.4,910.96,975.65,937.81,347.15,297.6,-,283.48,283.48,243.44,243.44
41,Book Value Per Share,16.57,16.98,17.25,16.68,9.67,8.54,7.12,7.12,7.12,5.87,5.87
42,Tangible Book Value,1187,1217,1237,1195,505.36,443.24,365.93,365.93,365.93,297.76,297.76
43,Tangible Book Value Per Share,16.22,16.62,16.89,16.32,9.21,8.07,6.67,6.67,6.67,5.42,5.42
44,Buildings,-,168.5,-,158.18,-,-,-,-,-,-,-
45,Machinery,-,72.87,-,64.3,-,51.44,-,38.96,38.96,37.33,37.33
46,Construction In Progress,-,46.87,-,9.74,-,94.02,-,32.83,32.83,2.58,2.58
