,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,65538937,71182212,74132105,76953742,72721286,80801429,92985772,98500790,118444635,107029830,118637019,99142071,101963709,96833459,100296377,108440649,115430613,125049831,117546841,100681146,78877586,Upgrade
1,Market Cap Growth,-11.90%,-11.90%,-20.28%,-21.88%,-38.60%,-24.51%,-21.62%,-0.65%,16.16%,10.53%,18.29%,-8.57%,-11.67%,-22.56%,-14.68%,7.71%,46.34%,-14.47%,-30.46%,-42.91%,-50.74%,Upgrade
2,Enterprise Value,46064998,51973187,52682165,57543121,51914130,60353353,72791882,80555187,97447312,85849620,99999286,81719434,83402301,80280584,84013660,94301667,100407158,109772576,103720336,89750883,64694215,Upgrade
3,Last Close Price,51100.00,55500.00,55786.06,56010.74,52930.15,57422.03,66080.91,70000.19,83383.29,74956.02,81897.94,68440.12,70387.96,65403.48,67742.42,73243.24,77964.42,83786.84,77945.58,66761.90,52303.91,Upgrade
4,PE Ratio,15.53,16.44,17.61,18.61,17.97,20.12,22.63,22.35,24.09,20.91,22.05,22.12,26.74,27.18,27.19,23.39,24.03,27.29,28.96,24.84,18.23,Upgrade
5,Forward PE,14.26,15.83,16.59,17.59,17.19,21.15,20.25,18.97,21.95,19.40,22.53,21.66,23.75,23.84,20.23,21.36,21.78,23.78,25.58,24.79,17.30,Upgrade
6,PS Ratio,2.11,2.23,2.36,2.47,2.31,2.65,2.91,2.97,3.50,3.06,3.49,3.35,3.67,3.67,3.97,3.74,3.99,4.47,3.94,3.19,2.36,Upgrade
7,PB Ratio,2.81,2.91,2.83,3.06,2.75,3.17,3.51,3.86,4.63,4.35,4.59,4.05,4.47,4.29,4.44,4.89,5.45,5.89,5.59,5.10,4.27,Upgrade
8,P/TBV Ratio,3.19,3.19,3.09,3.36,3.00,3.47,3.83,4.23,5.11,4.82,5.06,4.49,4.98,4.77,4.94,5.45,6.10,6.58,6.23,5.75,4.84,Upgrade
9,P/FCF Ratio,16.60,-,21.67,27.62,25.65,-,74.63,36.64,-,-,19.48,26.29,21.80,30.37,41.56,29.12,-,33.25,29.29,26.31,-,Upgrade
10,P/OCF Ratio,16.77,-,19.99,24.84,22.74,-,58.48,31.86,-,-,18.02,23.49,20.34,27.53,36.90,26.48,-,30.29,26.02,23.94,-,Upgrade
11,EV/Sales Ratio,1.45,1.63,1.67,1.84,1.65,1.98,2.28,2.43,2.88,2.45,2.95,2.76,3.00,3.04,3.33,3.25,3.47,3.93,3.48,2.85,1.93,Upgrade
12,EV/EBITDA Ratio,8.92,10.46,10.44,12.03,11.41,13.78,16.28,16.48,17.16,14.17,15.56,14.94,18.05,19.73,19.62,17.37,18.02,19.84,20.32,17.75,11.86,Upgrade
13,EV/EBIT Ratio,9.94,11.71,11.71,13.60,13.01,15.83,18.62,18.63,19.06,15.61,17.03,16.63,20.48,22.87,22.64,19.45,20.14,22.22,23.09,20.25,13.43,Upgrade
14,EV/FCF Ratio,11.66,-,15.40,20.65,18.31,-,58.42,29.96,-,-,16.42,21.67,17.83,25.18,34.81,25.32,-,29.19,25.85,23.46,-,Upgrade
15,Debt / Equity Ratio,0.02,0.02,0.01,0.02,0.03,0.03,0.02,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.06,Upgrade
16,Debt / EBITDA Ratio,0.08,0.11,0.06,0.10,0.15,0.17,0.15,0.17,0.23,0.23,0.14,0.10,0.14,0.11,0.37,0.17,0.26,0.14,0.15,0.17,0.34,Upgrade
17,Debt / FCF Ratio,0.11,-,0.09,0.22,0.26,-,0.52,0.32,-,-,0.13,0.22,0.17,0.21,0.31,0.22,-,0.26,0.24,0.24,-,Upgrade
18,Asset Turnover,1.09,0.92,0.98,0.87,1.01,0.88,1.02,0.75,1.17,1.06,1.18,0.97,1.22,0.60,1.04,0.86,1.14,1.20,1.13,0.77,Upgrade,
19,Inventory Turnover,10.50,13.74,10.48,9.94,9.02,10.86,9.05,9.46,7.33,13.83,12.21,12.24,11.31,17.11,8.32,10.76,9.50,13.70,13.66,10.32,6.73,Upgrade
20,Quick Ratio,2.64,2.64,3.89,2.86,4.20,2.92,3.62,3.06,3.95,2.64,3.25,3.47,3.18,2.90,3.85,3.48,3.48,3.43,3.08,3.00,2.89,Upgrade
21,Current Ratio,2.90,2.90,4.25,3.16,4.65,3.23,4.00,3.42,4.47,2.92,3.55,3.81,3.51,3.15,4.15,3.83,3.97,3.77,3.42,3.30,3.39,Upgrade
22,Return on Equity (ROE),15.65%,18.09%,20.45%,15.77%,14.87%,16.51%,18.95%,16.01%,17.06%,22.17%,30.33%,21.78%,24.80%,8.44%,19.77%,18.61%,29.03%,28.84%,25.44%,14.87%,Upgrade,
23,Return on Assets (ROA),6.40%,8.93%,10.27%,7.93%,6.69%,6.83%,8.60%,6.61%,7.31%,10.20%,15.59%,10.41%,11.66%,3.28%,9.60%,6.40%,14.30%,14.05%,11.93%,6.37%,Upgrade,
24,Return on Capital (ROIC),8.18%,11.34%,12.86%,9.83%,8.46%,8.55%,10.59%,8.36%,9.57%,12.81%,19.51%,13.41%,14.75%,4.04%,11.84%,7.86%,17.80%,17.73%,14.93%,8.00%,Upgrade,
25,Return on Capital Employed (ROCE),17.90%,17.90%,16.94%,16.60%,14.89%,14.75%,14.51%,16.63%,19.59%,21.77%,22.15%,19.58%,17.32%,15.11%,15.85%,21.01%,22.51%,22.25%,20.56%,21.53%,24.87%,Upgrade
26,Earnings Yield,6.61%,6.08%,5.82%,5.51%,5.70%,5.10%,4.53%,4.58%,4.24%,4.88%,4.63%,4.64%,3.85%,3.80%,3.82%,4.41%,4.28%,3.78%,3.63%,4.23%,5.75%,Upgrade
27,FCF Yield,6.03%,-,4.62%,3.62%,3.90%,2.05%,1.34%,2.73%,1.56%,3.59%,5.13%,3.80%,4.59%,3.29%,2.41%,3.43%,3.92%,3.01%,3.41%,3.80%,4.00%,Upgrade
28,Dividend Yield,7.83%,-,-,-,-,-,4.16%,-,-,3.34%,2.44%,-,-,2.68%,2.58%,-,-,2.09%,4.49%,-,-,Upgrade
29,Payout Ratio,107.58%,-,232.18%,5.07%,194.72%,4.40%,96.91%,4.30%,232.67%,4.44%,3.79%,3.93%,192.71%,3.83%,5.92%,4.50%,105.85%,90.39%,8.52%,3.11%,321.91%,Upgrade
30,Buyback Yield / Dilution,-2.59%,-0.04%,0.26%,0.22%,0.17%,0.31%,-0.13%,0.36%,-0.81%,-16.77%,4.42%,-1.86%,1.90%,14.58%,-4.44%,2.30%,1.89%,4.02%,1.24%,-0.40%,-0.48%,Upgrade
31,Total Shareholder Return,5.24%,-0.04%,0.26%,0.22%,0.17%,0.31%,4.03%,0.36%,-0.81%,-13.43%,6.87%,-1.86%,1.90%,17.26%,-1.86%,2.30%,1.89%,6.10%,5.73%,-0.40%,-0.48%,Upgrade
