,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,11179,8528,7764,10109,9891,10444,13484,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-18.34%,-18.34%,-42.42%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10300,7454,6618,8858,8639,9222,13200,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,55.07,41.40,37.69,48.99,47.93,50.61,65.34,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,104.62,77.19,76.00,115.14,125.08,130.41,179.84,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,8.15,6.04,5.62,7.53,7.51,8.67,11.44,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,4.86,3.39,3.01,3.96,3.94,4.24,5.55,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,4.81,4.81,4.23,5.52,5.51,5.79,7.61,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,127.43,119.03,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,41.84,41.30,32.92,46.43,39.85,50.44,73.05,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,7.31,5.28,4.79,6.60,6.56,7.66,11.20,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,47.10,39.24,33.74,48.38,49.04,57.76,85.40,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,70.03,50.24,43.24,63.97,66.40,82.26,122.13,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-65.54,-,-,-,111.31,105.11,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.16,0.17,-,-,0.22,-,0.02,0.02,0.02,0.02,0.03
15,Debt / EBITDA Ratio,0.78,0.94,0.60,0.78,0.73,0.97,0.90,1.05,1.22,-,-,1.86,-,0.18,0.17,0.17,0.14,0.25
16,Debt / FCF Ratio,-,-,-,-,2.40,2.26,-,1.54,3.70,-,-,-,-,-,-,-,1.14,-
17,Asset Turnover,0.46,0.47,0.43,0.46,0.43,0.54,0.66,-,-,-,-,-,-,0.71,-,-,-,
18,Inventory Turnover,25.85,24.88,27.74,28.86,33.30,29.45,32.74,30.55,-,-,-,-,-,-,28.38,-,-,-
19,Quick Ratio,4.01,4.01,4.27,4.60,3.81,5.17,4.88,2.36,2.00,-,-,-,-,-,2.41,2.41,3.60,-
20,Current Ratio,4.20,4.20,4.43,4.79,3.92,5.34,5.02,2.50,2.17,-,-,-,-,-,2.58,2.58,3.76,-
21,Return on Equity (ROE),6.20%,6.04%,6.13%,0.54%,5.22%,4.72%,8.29%,-,-,-,-,-,6.76%,8.09%,-,7.47%,-,
22,Return on Assets (ROA),2.83%,3.73%,3.82%,1.62%,3.29%,3.28%,5.15%,-,-,-,-,-,-,4.56%,-,-,-,
23,Return on Capital (ROIC),3.19%,4.23%,4.38%,1.85%,3.70%,3.77%,6.16%,-,-,-,-,-,5.52%,5.83%,-,8.54%,-,
24,Return on Capital Employed (ROCE),5.52%,5.57%,5.56%,5.05%,4.83%,4.21%,4.11%,6.77%,5.75%,-,-,-,-,-,8.49%,6.23%,4.08%,-
25,Earnings Yield,0.98%,1.30%,1.32%,0.87%,0.80%,0.77%,0.56%,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-1.41%,-1.82%,-0.75%,-0.18%,0.78%,0.84%,0.66%,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.14%,-,-,-,0.15%,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,13.92%,-,44.50%,14.96%,2.81%,0.43%,-,1.06%,1.98%,1.13%,0.64%,-,-,-,2.02%,2.02%,2.64%,-
29,Buyback Yield / Dilution,-19.28%,6.60%,-23.47%,-35.29%,-35.53%,-40.91%,-11.53%,2.08%,-5.67%,2.33%,1.59%,-1.18%,-,-,-,-,-,-
30,Total Shareholder Return,-19.14%,6.60%,-23.47%,-35.29%,-35.38%,-40.91%,-11.53%,2.08%,-5.67%,2.33%,1.59%,-1.18%,-,-,-,-,-,-
