,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,755.15,1128,1147,822.12,925.85,1511,583.7,600.39,-,-,-,-,-,533.49,533.49,173.89,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.24,-
2,Trading Asset Securities,509.25,329.27,372.37,762.41,662,60.08,40.07,10,-,-,-,-,-,83.6,83.6,712.08,-
3,Cash & Short-Term Investments,1264,1457,1519,1585,1588,1571,623.77,610.39,-,-,552.5,-,617.09,617.09,617.09,936.2,614.62
4,Cash Growth,-20.37%,-7.22%,143.55%,159.59%,-,-,12.90%,-,-,-,-10.47%,-,0.40%,-,-,-,-
5,Accounts Receivable,99.28,89.04,74.38,96.73,85.01,109.72,81.97,69.21,-,-,-,-,-,84.01,84.01,50.4,-
6,Other Receivables,16.11,6.74,8.21,3.93,7.55,7.13,20.96,5.42,-,-,-,-,-,5.63,5.63,4.92,-
7,Receivables,115.39,95.78,82.59,100.67,92.56,116.85,102.94,74.63,-,-,-,-,-,89.65,89.65,55.32,-
8,Inventory,46.94,38.8,39.6,31.34,36.18,31.82,30.15,31.7,-,-,-,-,-,28.82,28.82,28.29,-
9,Prepaid Expenses,-,0.29,-,0.17,-,0.37,-,0.31,-,-,-,-,-,4.05,4.05,1.02,-
10,Other Current Assets,19.8,18.76,28.94,16.91,19.22,13.47,13,25.15,-,-,-,-,-,17.24,17.24,13.54,-
11,Total Current Assets,1447,1611,1670,1734,1736,1733,769.85,742.19,-,-,-,-,-,756.86,756.86,1034,-
12,"Property, Plant & Equipment",897.03,853.62,777.48,759.58,671.02,652.94,623.23,643.32,-,-,-,-,-,259.09,259.09,227.27,-
13,Long-Term Investments,-,-,-,-,10.73,10.52,10.53,-,-,-,-,-,-,10.5,10.5,-,-
14,Goodwill,25.39,25.39,25.39,25.39,15.17,15.17,15.17,15.17,-,-,-,-,-,15.17,15.17,15.17,-
15,Other Intangible Assets,499.84,502.86,503.42,503.88,505.59,509.29,401.32,403.84,-,-,-,-,-,414.82,414.82,38.56,-
16,Long-Term Deferred Tax Assets,9.29,14.74,15.64,14.76,14.71,15.26,15.2,14.33,-,-,-,-,-,9.89,9.89,14.53,-
17,Long-Term Deferred Charges,101.64,98.62,91.1,87.43,25.28,26.18,26.86,28.78,-,-,-,-,-,39.87,39.87,37.87,-
18,Other Long-Term Assets,28.55,8.78,8.18,9.44,12.37,13.82,10.13,91.23,-,-,-,-,-,4.29,4.29,92.63,-
19,Total Assets,3008,3115,3092,3134,2991,2976,1872,1939,-,-,-,-,-,1510,1510,1460,-
20,Accounts Payable,185.52,209.59,209.98,145.34,186.84,198.87,177.5,107.66,-,-,-,-,-,125.18,125.18,124.54,-
21,Accrued Expenses,77.27,89.41,50.25,113.55,62.76,69.46,39.17,54.65,-,-,-,-,-,123.99,123.99,101.57,-
22,Short-Term Debt,-,-,-,1,-,11.13,-,12.13,-,-,-,-,-,24.35,24.35,23.33,-
23,Current Portion of Leases,36.15,38.31,30.67,40.62,27.49,37.38,35.98,40.22,-,-,-,-,-,-,-,-,-
24,Current Income Taxes Payable,7.95,10.53,16.78,8.24,10.17,9.06,12.38,3.3,-,-,-,-,-,2.2,2.2,9.13,-
25,Current Unearned Revenue,6.04,8.21,8,6.15,6.15,7.73,7.12,5.34,-,-,-,-,-,6.34,6.34,6.58,-
