,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,250000,250000,265000,337500,337500,342500,440000,485000,587500,562500,575000,630000,642500,675000,550000,627500,750000,675000,600000,560000,507500,Upgrade
1,Market Cap Growth,-27.01%,-27.01%,-39.77%,-30.41%,-42.55%,-39.11%,-23.48%,-23.02%,-8.56%,-16.67%,4.55%,0.40%,-14.33%,0%,-8.33%,12.05%,47.78%,-12.90%,-14.29%,-27.74%,-34.52%,Upgrade
2,Enterprise Value,194639,235872,294209,400405,382233,412974,541377,586996,681585,705416,653747,719492,699492,761089,665290,779634,829683,762524,653987,770932,667346,Upgrade
3,Last Close Price,10000.00,10000.00,10600.00,13500.00,13500.00,13700.00,17600.00,19400.00,23500.00,22500.00,23000.00,25200.00,23901.00,25110.00,20460.00,23343.00,25776.12,23198.51,20620.90,19246.17,15866.83,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,-,-,12.50,16.00,16.26,13.72,14.42,9.00,5.93,5.06,4.11,Upgrade
5,PS Ratio,0.22,0.22,0.23,0.29,0.28,0.28,0.33,0.35,0.39,0.35,0.35,0.38,0.38,0.41,0.34,0.36,0.41,0.36,0.31,0.28,0.26,Upgrade
6,PB Ratio,0.53,0.53,0.54,0.66,0.64,0.64,0.78,0.85,1.01,0.92,0.94,1.03,0.97,1.03,0.86,1.01,1.11,1.00,0.91,0.88,0.73,Upgrade
7,P/TBV Ratio,0.54,0.54,0.55,0.67,0.65,0.64,0.79,0.86,1.02,0.94,0.95,1.04,0.98,1.04,0.88,1.02,1.13,1.02,0.93,0.90,0.75,Upgrade
8,P/FCF Ratio,2.50,2.50,3.03,4.51,-,6.63,6.12,24.44,-,279.50,-,20.47,-,9.75,6.61,11.88,-,4.71,4.95,4.27,-,Upgrade
9,P/OCF Ratio,2.50,2.50,3.02,4.49,-,6.61,5.66,16.05,-,45.41,-,19.22,-,9.43,6.54,11.15,-,4.41,4.45,3.51,-,Upgrade
10,EV/Sales Ratio,0.17,0.21,0.26,0.35,0.32,0.34,0.40,0.42,0.45,0.43,0.40,0.43,0.42,0.47,0.41,0.44,0.45,0.40,0.34,0.39,0.34,Upgrade
11,EV/EBITDA Ratio,11.69,6.35,10.31,10.78,10.43,-,8.76,9.09,9.32,6.75,5.40,5.08,4.38,5.04,4.85,3.34,3.38,2.15,1.69,2.05,1.70,Upgrade
12,EV/EBIT Ratio,-,-,-,-19.43,-,-,-,-,-,26.17,15.22,11.66,9.01,11.31,12.70,11.71,10.68,7.31,4.81,5.21,4.06,Upgrade
