,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,392.32,413.07,339.76,360.67,225.22,284.06,180.61,186.58,171.84,151.39
1,Revenue Growth (YoY),15.47%,14.53%,50.86%,26.97%,24.70%,52.24%,5.10%,23.25%,27.23%,-
2,Cost of Revenue,145.55,175.35,139.41,152.2,101.19,124.25,64.68,65.99,58.02,59.92
3,Gross Profit,246.77,237.72,200.35,208.46,124.02,159.81,115.94,120.59,113.82,91.47
4,"Selling, General & Admin",88.83,97.41,69.41,70.57,50.12,44.95,34.12,25.6,31.84,36.77
5,Research & Development,70.75,61.26,64.59,61.7,37.93,44.89,45.06,34.37,30.22,18.11
6,Other Operating Expenses,-9.53,-11.16,-7.92,-14.85,-3.25,-18.93,-19.56,-3.46,-9.51,-6.11
7,Operating Expenses,149.4,148.4,125.6,117.71,85.43,71.46,59.65,56.52,52.55,48.71
8,Operating Income,97.37,89.32,74.75,90.75,38.59,88.35,56.29,64.07,61.28,42.76
9,Interest Expense,-1.03,-1.99,-1.21,-0.5,-0.32,-0.32,-0.32,-0.04,-0.05,-0.35
10,Interest & Investment Income,4.25,5.55,6.28,7.8,5.61,8.6,5.92,8.79,15.3,8.95
11,Currency Exchange Gain (Loss),2.03,-1.66,4.08,0.39,2.15,-0.81,-2.03,-12.31,-,5.77
12,EBT Excluding Unusual Items,102.62,91.23,83.9,98.43,46.03,95.83,59.86,60.51,76.53,57.13
13,Gain (Loss) on Sale of Investments,8.13,-4.52,4.52,-10.8,10.8,-,-,-,-,0.54
14,Asset Writedown,-,-,-,-,-,-,-,0.06,-0.01,-
15,Pretax Income,110.75,86.71,88.42,87.64,56.83,95.83,59.86,60.57,76.52,57.67
16,Income Tax Expense,11.57,13.99,7.91,3.93,6.7,6.68,8.57,8.75,11.82,7.48
17,Earnings From Continuing Operations,99.18,72.72,80.51,83.71,50.13,89.15,51.29,51.82,64.7,50.18
18,Minority Interest in Earnings,1.36,3.23,-0,-2.84,0.72,3.2,-0.69,2.15,2.69,2.17
19,Net Income,100.54,75.96,80.5,80.87,50.84,92.36,50.61,53.96,67.39,52.35
20,Preferred Dividends & Other Adjustments,5.74,4.58,1,1.57,-,-,-,-,-,-
21,Net Income to Common,94.8,71.38,79.5,79.3,50.84,92.36,50.61,53.96,67.39,52.35
22,Net Income Growth,24.89%,-6.08%,58.34%,-12.43%,0.47%,71.15%,-24.91%,3.08%,42.58%,-
23,Shares Outstanding (Basic),165,164,166,165,167,166,166,166,166,133
24,Shares Outstanding (Diluted),165,172,169,171,167,168,166,166,166,133
25,Shares Change (YoY),-2.54%,0.64%,1.28%,2.11%,0.52%,0.96%,-,24.48%,38.33%,-
26,EPS (Basic),0.58,0.44,0.48,0.48,0.31,0.56,0.30,0.33,0.41,0.39
27,EPS (Diluted),0.58,0.44,0.47,0.48,0.30,0.56,0.30,0.32,0.41,0.39
28,EPS Growth,22.46%,-8.63%,56.67%,-14.24%,0%,71.70%,-26.10%,-17.46%,3.07%,-
29,Free Cash Flow,22.54,66.75,-57.44,-46.3,-16.45,-87.72,-117.35,-15.04,22.96,-
30,Free Cash Flow Per Share,0.14,0.39,-0.34,-0.27,-0.10,-0.52,-0.71,-0.09,0.14,-
31,Operating Margin,24.82%,21.62%,22.00%,25.16%,17.14%,31.10%,31.16%,34.34%,35.66%,28.25%
32,Profit Margin,24.16%,17.28%,23.40%,21.99%,22.57%,32.51%,28.02%,28.92%,39.22%,34.58%
33,Free Cash Flow Margin,5.75%,16.16%,-16.91%,-12.84%,-7.30%,-30.88%,-64.98%,-8.06%,13.36%,-
34,EBITDA,137.61,113.14,93.72,106.82,53.17,101.31,67.49,73.35,69.88,50.59
35,D&A For EBITDA,40.23,23.82,18.98,16.07,14.57,12.96,11.21,9.28,8.61,7.83
36,EBIT,97.37,89.32,74.75,90.75,38.59,88.35,56.29,64.07,61.28,42.76
