,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,4814,4719,4891,4334,4830,3780,3818,6341,6789,10690,5154
1,Market Cap Growth,8.88%,8.88%,1.25%,14.67%,26.51%,-40.39%,-43.77%,-40.68%,31.72%,-,-
2,Enterprise Value,4509,4377,4547,3840,4206,3062,2982,5251,5633,9529,4941
3,Last Close Price,27.35,26.95,28.29,25.52,28.15,22.03,22.01,36.56,38.75,61.02,29.32
4,PE Ratio,25.15,26.43,29.42,25.26,32.83,22.54,21.76,50.42,47.11,81.38,46.25
5,Forward PE,-,21.62,20.44,23.01,20.89,23.81,23.81,33.65,53.08,-,-
6,PS Ratio,5.22,5.45,5.90,5.73,7.29,6.34,6.69,14.36,15.95,30.15,16.08
7,PB Ratio,2.67,2.60,2.64,2.52,2.75,2.19,2.16,4.04,4.31,7.64,3.73
8,P/TBV Ratio,2.86,2.86,2.73,2.74,2.84,2.33,2.24,4.17,4.40,7.80,3.81
9,P/FCF Ratio,50.17,49.19,476.97,-,-,-,-,-,-,424.33,-
10,P/OCF Ratio,20.26,20.26,24.92,23.36,23.68,26.09,42.75,72.41,59.73,207.76,-
11,EV/Sales Ratio,5.21,5.06,5.48,5.07,6.35,5.13,5.23,11.89,13.23,26.87,15.42
12,EV/EBITDA Ratio,16.49,16.25,19.95,17.72,23.26,16.92,14.39,31.00,33.12,72.09,41.91
13,EV/EBIT Ratio,22.48,21.82,25.16,21.47,28.77,20.59,16.79,36.28,37.84,83.48,47.16
14,EV/FCF Ratio,47.00,45.62,443.50,-,-,-,-,-,-,378.22,-
15,Debt / Equity Ratio,0.04,0.04,0.06,0.07,0.03,0.01,0.01,0.01,0.00,0.00,0.00
16,Debt / FCF Ratio,0.76,0.76,10.18,-,-,-,-,-,-,0.08,-
17,Return on Capital Employed (ROCE),10.82%,10.82%,9.58%,10.16%,8.15%,8.45%,9.85%,9.11%,9.39%,8.12%,7.56%
18,Earnings Yield,3.73%,4.02%,3.52%,4.02%,3.08%,4.44%,4.60%,1.98%,2.12%,1.23%,2.16%
19,FCF Yield,1.99%,2.03%,0.21%,-2.59%,-1.47%,-3.23%,-6.59%,-2.51%,0.14%,0.24%,-
20,Buyback Yield / Dilution,0.79%,2.54%,-0.64%,-1.28%,-2.11%,-0.52%,-0.96%,-,-24.48%,-38.33%,-
21,Total Shareholder Return,1.85%,2.54%,-0.64%,-1.28%,-2.11%,-0.52%,-0.96%,-,-24.48%,-38.33%,-
