,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1202744,744390,815941,611622,1049233,547635,673564,609135,840480,664252,1039086,501711,1275043,868417,760530,580229,1137291,828873,760238,427793,Upgrade
1,Revenue Growth (YoY),14.63%,35.93%,21.14%,0.41%,24.84%,-17.56%,-35.18%,21.41%,-34.08%,-23.51%,36.63%,-13.53%,12.11%,4.77%,0.04%,35.63%,-11.57%,16.37%,26.25%,-12.81%,Upgrade
2,Cost of Revenue,1056970,632482,728173,514814,892103,467518,548505,486202,780154,562352,932991,413782,1138129,774834,626052,475491,990597,689428,653761,346999,Upgrade
3,Gross Profit,145774,111908,87767,96808,157130,80117,125059,122933,60326,101900,106095,87930,136914,93583,134478,104738,146694,139445,106476,80794,Upgrade
4,"Selling, General & Admin",69073,56433,56787,54954,76202,48339,54705,50809,79886,57902,52231,51476,70087,44159,58069,53024,63365,55298,50563,44983,Upgrade
5,Operating Expenses,69073,56433,56787,54954,76202,48339,54705,50809,79886,57902,52231,51476,70087,44159,58069,53024,63365,55298,50563,44983,Upgrade
6,Operating Income,76701,55474,30980,41855,80928,31778,70354,72124,-19560,43998,53864,36453,66826,49424,76409,51714,83328,84147,55913,35811,Upgrade
7,Interest Expense,-85540,-55243,-26844,-47645,-80046,-44872,-71718,-66418,-58835,-54724,-52851,-46035,-48182,-35775,-34568,-28643,-28613,-25725,-28245,-15714,Upgrade
8,Interest & Investment Income,63503,5946,2346,3869,-,12439,5330,3822,11426,16748,3173,2032,-,10777,2915,1710,-,5950,438.27,4117,Upgrade
9,Earnings From Equity Investments,4289,-59.05,44.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Currency Exchange Gain (Loss),-,-,-3404,4885,-4890,-,-,1057,-1236,-,-39.26,933.76,78.62,-,79.38,3405,-326.44,-,-121.45,-375.2,Upgrade
11,Other Non Operating Income (Expenses),-9136,-2534,1936,-716.35,-3603,1748,-2607,-3184,-520.33,-1229,6876,-814.32,-3852,-89.44,-3645,-2322,9076,-5449,-3916,-1628,Upgrade
12,EBT Excluding Unusual Items,49817,3584,5058,2248,-7612,1093,1359,7401,-68726,4793,11024,-7430,14871,24337,41191,25864,63465,58923,24069,22211,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-15612,-,-,-1003,127666,-,0.06,7370,3970,-,-,-,1250,-,1250,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,2903,7.83,3115,-,-,-1638,5452,-,65.51,5.43,23.58,-,317.25,820.91,-283.51,-,212.55,-,Upgrade
15,Other Unusual Items,-,-,-2314,-605.98,-5093,-,-,-185.87,263.98,-,-1073,-1105,-540.69,-,333.13,-1369,-1966,-,-942.29,-,Upgrade
16,Pretax Income,49817,3584,5648,1650,-25202,1093,1359,4574,64656,4793,10016,-1159,18324,24337,41841,25315,62466,58923,24589,22211,Upgrade
17,Income Tax Expense,21015,3555,4933,1014,18443,880.27,2829,1762,15057,4044,2095,5510,18597,4108,8389,7943,11967,12145,3410,7081,Upgrade
18,Earnings From Continuing Operations,28803,29.37,714.79,635.44,-43645,213.19,-1470,2812,49599,749.45,7921,-6669,-272.69,20229,33452,17373,50499,46778,21179,15130,Upgrade
19,Minority Interest in Earnings,-30822,7118,10865,-7963,475.73,9302,10053,-9839,-23601,4830,7260,-479.99,-396.02,-1530,-1092,610.64,-2431,-4999,-4769,-2689,Upgrade
20,Net Income,-2019,7147,11580,-7327,-43169,9516,8584,-7026,25999,5579,15181,-7149,-668.7,18700,32360,17983,48067,41778,16410,12441,Upgrade
21,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,10128,-,-,-,10548,-,-,-,8177,-,-,-,Upgrade
22,Net Income to Common,-2019,7147,11580,-7327,-43169,9516,8584,-7026,15871,5579,15181,-7149,-11217,18700,32360,17983,39891,41778,16410,12441,Upgrade
23,Net Income Growth,-,-24.89%,34.91%,-,-,70.56%,-43.46%,-,-,-70.16%,-53.09%,-,-,-55.24%,97.20%,44.55%,-14.89%,19.41%,-79.72%,-55.90%,Upgrade
24,Shares Outstanding (Basic),168,159,156,157,158,159,156,157,157,159,157,157,134,126,125,125,126,126,125,126,Upgrade
25,Shares Outstanding (Diluted),168,159,156,157,158,159,156,157,157,159,157,157,134,126,125,125,126,126,125,126,Upgrade
26,Shares Change (YoY),6.72%,0.15%,-0.01%,-,0.70%,-0.51%,-0.87%,-,16.48%,27.01%,26.05%,25.51%,6.44%,-0.15%,-0.31%,-0.06%,-27.49%,20.89%,6.61%,20.67%,Upgrade
27,EPS (Basic),-12.00,45.00,74.21,-46.54,-273.84,60.00,55.00,-44.63,101.38,35.00,96.42,-45.41,-83.46,149.00,259.08,143.36,315.93,332.38,130.98,99.12,Upgrade
28,EPS (Diluted),-12.00,45.00,74.21,-46.54,-273.84,60.00,55.00,-44.63,101.38,35.00,96.42,-45.41,-83.46,149.00,259.08,143.36,315.93,332.38,130.98,99.12,Upgrade
29,EPS Growth,-,-25.00%,34.92%,-,-,71.43%,-42.96%,-,-,-76.51%,-62.78%,-,-,-55.17%,97.80%,44.64%,80.93%,-1.23%,-80.97%,-63.45%,Upgrade
30,Free Cash Flow,-648516,-186190,-172459,-160423,362717,37942,-78173,-39531,-85796,-61854,-172076,-21560,-114216,-149343,-382059,-680562,-260620,115613,-82580,-88031,Upgrade
31,Free Cash Flow Per Share,-3854.88,-1172.29,-1105.14,-1018.95,2300.87,239.24,-500.90,-251.09,-548.08,-388.04,-1092.97,-136.94,-849.84,-1189.98,-3058.79,-5425.44,-2064.10,919.80,-659.12,-701.36,Upgrade
32,Dividend Per Share,-,-,-,-,-,-,-,-,500.000,-,-,-,300.000,-,-,-,300.000,-,-,-,Upgrade
33,Dividend Growth,-,-,-,-,-,-,-,-,66.67%,-,-,-,0%,-,-,-,-37.00%,-,-,-,Upgrade
34,Gross Margin,12.12%,15.03%,10.76%,15.83%,14.98%,14.63%,18.57%,20.18%,7.18%,15.34%,10.21%,17.53%,10.74%,10.78%,17.68%,18.05%,12.90%,16.82%,14.01%,18.89%,Upgrade
35,Operating Margin,6.38%,7.45%,3.80%,6.84%,7.71%,5.80%,10.45%,11.84%,-2.33%,6.62%,5.18%,7.27%,5.24%,5.69%,10.05%,8.91%,7.33%,10.15%,7.35%,8.37%,Upgrade
36,Profit Margin,-0.17%,0.96%,1.42%,-1.20%,-4.11%,1.74%,1.27%,-1.15%,1.89%,0.84%,1.46%,-1.42%,-0.88%,2.15%,4.25%,3.10%,3.51%,5.04%,2.16%,2.91%,Upgrade
37,Free Cash Flow Margin,-53.92%,-25.01%,-21.14%,-26.23%,34.57%,6.93%,-11.61%,-6.49%,-10.21%,-9.31%,-16.56%,-4.30%,-8.96%,-17.20%,-50.24%,-117.29%,-22.92%,13.95%,-10.86%,-20.58%,Upgrade
38,EBITDA,117500,96936,71821,83162,122604,75484,111745,158159,13884,88597,92816,73782,112826,57601,98446,71996,106118,105089,60475,65269,Upgrade
39,EBITDA Margin,9.77%,13.02%,8.80%,13.60%,11.68%,13.78%,16.59%,25.96%,1.65%,13.34%,8.93%,14.71%,8.85%,6.63%,12.94%,12.41%,9.33%,12.68%,7.95%,15.26%,Upgrade
40,D&A For EBITDA,40798,41462,40841,41307,41676,43706,41391,86035,33444,44599,38952,37329,45999,8177,22037,20282,22789,20943,4563,29457,Upgrade
41,EBIT,76701,55474,30980,41855,80928,31778,70354,72124,-19560,43998,53864,36453,66826,49424,76409,51714,83328,84147,55913,35811,Upgrade
42,EBIT Margin,6.38%,7.45%,3.80%,6.84%,7.71%,5.80%,10.45%,11.84%,-2.33%,6.62%,5.18%,7.27%,5.24%,5.69%,10.05%,8.91%,7.33%,10.15%,7.35%,8.37%,Upgrade
43,Effective Tax Rate,42.18%,99.18%,87.34%,61.48%,-,80.50%,208.14%,38.53%,23.29%,84.36%,20.92%,-,101.49%,16.88%,20.05%,31.37%,19.16%,20.61%,13.87%,31.88%,Upgrade
44,Revenue as Reported,12027,744390,815941,611622,1049233,547635,673564,609135,840480,664252,1039086,501711,1275043,868417,760530,580229,1137291,828873,760238,427793,Upgrade
