,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,739,707,707,691,699,834,922,938,755,715,914,Upgrade
1,Market Cap Growth,2.30%,2.30%,1.14%,-17.14%,-24.14%,-11.02%,22.11%,31.11%,-17.39%,-28.57%,-0.86%,Upgrade
2,Enterprise Value,305,264,292,256,269,395,547,546,432,534,777,Upgrade
3,Last Close Price,0.93,0.85,0.80,0.75,0.70,0.82,0.86,0.85,0.65,0.60,0.72,Upgrade
4,PE Ratio,7.21,6.90,7.03,9.02,13.36,14.33,12.52,11.35,10.37,10.49,11.12,Upgrade
5,PS Ratio,2.80,2.68,2.65,2.68,2.70,3.08,3.37,3.34,2.78,2.15,2.71,Upgrade
6,PB Ratio,2.01,1.93,1.88,2.01,1.92,2.45,2.43,2.61,1.96,2.11,2.46,Upgrade
7,P/TBV Ratio,1.98,1.98,1.93,2.07,1.97,2.52,2.50,2.69,2.02,2.17,2.53,Upgrade
8,P/FCF Ratio,10.36,9.91,9.81,11.15,12.18,10.23,9.93,14.21,12.41,8.70,11.74,Upgrade
9,P/OCF Ratio,8.32,8.32,8.25,10.21,11.08,9.32,9.15,12.91,11.19,8.34,11.22,Upgrade
10,EV/Sales Ratio,1.15,1.00,1.09,0.99,1.04,1.46,2.00,1.95,1.59,1.61,2.31,Upgrade
11,EV/EBITDA Ratio,3.42,3.10,3.47,3.13,3.14,4.15,5.67,5.23,4.58,5.97,8.30,Upgrade
12,EV/EBIT Ratio,3.82,3.35,3.73,3.36,3.36,4.41,6.01,5.54,4.90,6.33,8.83,Upgrade
13,EV/FCF Ratio,4.27,3.70,4.05,4.13,4.68,4.84,5.89,8.27,7.10,6.50,9.98,Upgrade
14,Debt / Equity Ratio,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,Upgrade
15,Debt / FCF Ratio,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.03,0.04,0.04,0.01,Upgrade
16,Return on Capital Employed (ROCE),21.17%,21.17%,20.52%,21.79%,21.74%,25.97%,23.76%,27.12%,22.65%,24.42%,23.46%,Upgrade
17,Earnings Yield,13.87%,14.49%,14.23%,11.08%,7.48%,6.98%,7.99%,8.81%,9.64%,9.53%,9.00%,Upgrade
18,FCF Yield,9.66%,10.09%,10.19%,8.97%,8.21%,9.77%,10.07%,7.04%,8.06%,11.49%,8.52%,Upgrade
19,Dividend Yield,10.75%,11.70%,12.51%,11.15%,9.26%,10.09%,10.79%,11.81%,14.22%,14.12%,13.58%,Upgrade
20,Buyback Yield / Dilution,-,-,0.04%,0.05%,-0.02%,-0.05%,-0.02%,-,-,0.00%,Upgrade,
21,Total Shareholder Return,10.75%,11.70%,12.51%,11.19%,9.31%,10.07%,10.74%,11.79%,14.22%,14.12%,13.58%,Upgrade
