,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,13189,8187,6247,6553,7759,5913,7392,7253,5023,4974,-,-,-,-,-,-
1,Market Cap Growth,38.46%,38.46%,-15.49%,-9.65%,54.46%,18.88%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,11714,7155,5900,6031,7237,5358,6657,6432,4203,4989,-,-,-,-,-,-
3,Last Close Price,57.93,36.01,27.54,28.84,34.24,26.09,29.55,28.95,20.23,20.03,-,-,-,-,-,-
4,PE Ratio,178.92,97.84,130.77,670.43,236.47,-,86.13,62.48,42.19,33.83,-,-,-,-,-,-
5,Forward PE,106.78,64.59,50.66,29.48,42.18,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,4.08,2.23,1.68,1.83,2.12,1.60,2.19,2.27,1.66,1.70,-,-,-,-,-,-
7,PB Ratio,7.30,3.89,3.01,3.35,4.03,3.09,3.88,3.83,2.71,2.72,-,-,-,-,-,-
8,P/TBV Ratio,4.11,4.11,3.16,3.43,4.12,3.16,3.96,3.91,2.77,2.78,-,-,-,-,-,-
9,P/FCF Ratio,16.31,10.12,17.40,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,8.69,8.69,11.97,-,-295.26,-122.80,-,-,-,41.38,-,-,-,-,-,-
11,EV/Sales Ratio,3.19,1.95,1.59,1.68,1.97,1.45,1.97,2.01,1.39,1.70,-,-,-,-,-,-
12,EV/EBITDA Ratio,40.15,26.69,39.74,101.31,-,95.69,73.90,54.15,29.78,28.50,-,-,-,-,-,-
13,EV/EBIT Ratio,52.68,32.18,54.37,244.12,-,163.99,97.16,63.83,-,31.07,-,-,-,-,-,-
14,EV/FCF Ratio,14.48,8.85,16.44,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.09,0.09,0.10,0.16,0.04,0.06,0.09,0.05,0.08,0.09,0.18,0.20,0.20,-,-,-
16,Debt / EBITDA Ratio,0.66,0.37,0.49,1.75,18.72,2.57,2.63,0.71,3.41,0.88,0.85,0.67,0.89,-,-,-
17,Debt / FCF Ratio,0.24,0.24,0.57,-,-,-,-,-,-,-,-,-1.44,-,-,-,-
18,Asset Turnover,1.01,1.10,0.89,1.12,1.49,1.12,1.06,1.22,1.34,-,-,-,-,-,-,
19,Inventory Turnover,2.94,3.50,3.19,2.79,3.78,4.18,3.23,3.15,3.69,3.04,-,-,-,-,-,-
20,Quick Ratio,0.95,0.95,1.17,0.97,1.29,1.09,1.18,1.29,1.30,1.20,0.59,-,0.68,-,-,-
21,Current Ratio,1.49,1.49,1.77,2.02,1.97,2.06,2.15,2.26,2.15,2.13,1.71,-,1.61,-,-,-
22,Return on Equity (ROE),7.90%,17.34%,3.17%,0.31%,-2.13%,1.18%,7.67%,4.18%,7.47%,17.63%,20.09%,-,-,-,-,
23,Return on Assets (ROA),6.89%,6.11%,2.73%,-1.47%,0.43%,0.23%,2.47%,-0.42%,4.23%,-,-,-,-,-,-,
24,Return on Capital (ROIC),13.01%,9.50%,4.09%,-2.30%,0.65%,0.35%,3.71%,-0.64%,6.88%,9.08%,14.47%,-,-,-,-,
25,Return on Capital Employed (ROCE),10.41%,10.41%,5.15%,1.24%,-,1.69%,3.55%,5.26%,-,8.65%,21.99%,-,24.36%,-,-,-
26,Earnings Yield,0.63%,1.02%,0.76%,0.15%,0.42%,0.86%,1.16%,1.60%,2.37%,2.96%,-,-,-,-,-,-
27,FCF Yield,6.13%,9.88%,5.75%,-6.76%,-3.80%,-6.14%,-5.25%,-3.91%,-3.37%,-2.53%,-,-,-,-,-,-
28,Dividend Yield,0.14%,-,0.44%,-,0.12%,-,-,-,0.20%,-,-,-,-,-,-,-
29,Payout Ratio,39.32%,78.47%,24.53%,20.26%,-,-,202.16%,-,2.42%,4.13%,2.08%,0.97%,3.13%,0.85%,-,-
30,Buyback Yield / Dilution,-6.77%,-9.21%,6.24%,-7.60%,-16.81%,-16.08%,-32.07%,-29.30%,-30.06%,-8.48%,-2.16%,-,-,-,-,-
31,Total Shareholder Return,-6.63%,-9.21%,6.68%,-7.60%,-16.70%,-16.08%,-32.07%,-29.30%,-29.86%,-8.48%,-2.16%,-,-,-,-,-
