,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,978.17,1292,675.52,766.33,628.83,729.93,834.61,921.94,976.6,90.65,-,157.97,-,-,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,45,-,-,-,-,-
2,Trading Asset Securities,762.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1740,1292,675.52,766.33,628.83,729.93,834.61,921.94,976.6,135.65,157.97,157.97,-,-,203.05
4,Cash Growth,176.75%,77.06%,-19.06%,-16.88%,-35.61%,438.10%,428.34%,483.63%,-,-,-22.20%,-,-,-,-
5,Accounts Receivable,768.93,766.32,501.5,862.76,607.68,562.95,516.41,553.15,479.31,348.59,-,481.67,-,-,-
6,Other Receivables,1.42,1.45,11.71,2.34,48.69,8.04,7.74,5.59,4.03,3.6,-,3.91,-,-,-
7,Receivables,770.35,767.77,513.21,865.1,656.37,570.99,524.16,558.73,483.34,352.19,-,485.58,-,-,-
8,Inventory,1105,915.67,1046,732.68,1010,939.5,909.91,846.11,977.37,828.62,-,801.94,-,-,-
9,Other Current Assets,328.55,151.37,244.55,125.79,139.83,136.6,104.61,113.41,148.23,93.31,-,78.51,-,-,-
10,Total Current Assets,3944,3127,2480,2490,2435,2377,2373,2440,2586,1410,-,1524,-,-,-
11,"Property, Plant & Equipment",655.88,644.07,636.81,623.72,581.72,568.83,512.79,484.54,392.85,286.68,-,151.19,-,-,-
12,Long-Term Investments,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,41.96,42.23,41.65,41.84,42.42,38.03,38.53,38.86,38.75,38.65,-,38.68,-,-,-
14,Long-Term Deferred Tax Assets,32.15,28.69,25.88,25.7,21.79,19.36,14,17.08,7.68,6.17,-,6.9,-,-,-
15,Long-Term Deferred Charges,9.56,9.33,7.51,5.72,6.8,6.9,7.69,8.31,7.91,8.23,-,6.02,-,-,-
16,Other Long-Term Assets,88.8,22.06,23.23,21.84,25.36,25.47,22.17,30.18,40.71,35.95,-,23.87,-,-,-
17,Total Assets,4776,3874,3215,3209,3113,3036,2968,3019,3073,1785,-,1751,-,-,-
18,Accounts Payable,2340,1449,720.62,1038,944.44,809.46,840.59,885.31,981.61,690.39,-,725.1,-,-,-
19,Accrued Expenses,40.78,42.55,25.19,47.39,37.53,35.92,28.63,56.72,31.32,33.31,-,46.92,-,-,-
20,Short-Term Debt,180.13,188.61,305.93,81.05,101.14,159.19,80.05,119.33,139.62,52.52,-,130.81,-,-,-
21,Current Portion of Leases,6.96,7.71,7.11,3.33,3.44,12.36,12.08,12.05,9.1,9.17,-,9.06,-,-,-
22,Current Income Taxes Payable,20.14,13.91,9.07,4.86,12.95,0.04,8.65,0.3,15.58,0.02,-,2.05,-,-,-
23,Current Unearned Revenue,14.71,26.62,77.47,15.2,15.72,24.94,19.12,18.09,22.95,16.89,-,17.07,-,-,-
24,Other Current Liabilities,36.57,38.97,83.46,72,64.83,65.19,62.54,44.31,15.98,22.93,-,15.88,-,-,-
25,Total Current Liabilities,2640,1768,1229,1262,1180,1107,1052,1136,1216,825.24,-,946.89,-,-,-
26,Long-Term Debt,-,-,-,-,-,-,-,-,-,80.1,-,-,-,-,-
27,Long-Term Leases,6.2,7.39,8.03,1.55,2.33,3.56,6.68,9.71,7.13,9.38,-,13.29,-,-,-
28,Long-Term Unearned Revenue,9.35,8.3,8.03,7.17,7.46,6.74,7.02,7.29,7.56,7.83,-,6,-,-,-
29,Long-Term Deferred Tax Liabilities,17.76,12.47,11.86,12.03,11.41,11.2,8.16,12.61,11.68,10.26,-,9.9,-,-,-
30,Total Liabilities,2673,1796,1257,1283,1201,1129,1074,1166,1243,932.82,-,976.08,-,-,-
31,Common Stock,250.84,250.94,249.74,249.16,249.16,249.16,249.16,246.97,246.97,185.22,-,185.22,-,-,-
32,Additional Paid-In Capital,1246,1241,1213,1196,-,1168,1152,1125,1122,231.03,-,228.19,-,-,-
33,Retained Earnings,556.42,550.77,517.16,504.28,502.79,512.98,517.14,481.43,461.71,436.86,-,362.12,-,-,-
34,Treasury Stock,-21.55,-21.55,-29.74,-23.48,-23.48,-23.48,-23.48,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-0.04,0.16,0.06,0.06,1183,0.22,-0.3,-0.11,0.19,-0.46,-,-0.95,-,-,-
36,Total Common Equity,2032,2022,1951,1926,1911,1907,1895,1853,1831,852.64,774.58,774.58,-,-,572.12
37,Minority Interest,71.73,56.18,7.4,-,-,-,-,-,-,-,-,-,-,-,-
38,Shareholders' Equity,2103,2078,1958,1926,1911,1907,1895,1853,1831,852.64,774.58,774.58,-,-,572.12
39,Total Liabilities & Equity,4776,3874,3215,3209,3113,3036,2968,3019,3073,1785,-,1751,-,-,-
40,Total Debt,193.29,203.7,321.07,85.93,106.92,175.11,98.82,141.09,155.86,151.18,153.15,153.15,-,-,-
41,Net Cash (Debt),1547,1089,354.45,680.4,521.92,554.82,735.79,780.85,820.74,-15.53,4.81,4.81,-,-,203.05
42,Net Cash Growth,196.40%,96.22%,-51.83%,-12.86%,-36.41%,-,15189.47%,16125.72%,-,-,-97.63%,-,-,-,-
43,Net Cash Per Share,6.04,4.66,1.38,2.37,2.23,2.23,3.07,3.18,4.06,-0.08,0.03,0.03,-,-,-
44,Filing Date Shares Outstanding,256.14,233.46,257.68,225.68,225.68,225.68,249.16,249.16,246.97,246.97,185.22,185.22,186.24,184.55,-
45,Total Common Shares Outstanding,256.14,233.46,257.68,225.68,225.68,225.68,249.16,246.97,246.97,185.22,185.22,185.22,186.24,184.55,-
46,Working Capital,1304,1360,1251,1228,1255,1270,1322,1304,1369,584.53,-,577.11,-,-,-
47,Book Value Per Share,7.93,8.66,7.57,8.53,8.47,8.45,7.61,7.50,7.41,4.60,4.18,4.18,-,-,3.09
48,Tangible Book Value,1990,1979,1909,1884,1869,1869,1856,1815,1792,813.99,735.89,735.89,-,-,571.04
49,Tangible Book Value Per Share,7.77,8.48,7.41,8.35,8.28,8.28,7.45,7.35,7.26,4.39,3.97,3.97,-,-,3.08
50,Buildings,-,455.5,-,447.64,-,426.58,-,86.24,-,41.98,-,41.98,-,-,-
51,Machinery,-,279.44,-,255.45,-,228.32,-,202.11,-,168.29,-,155.44,-,-,-
52,Construction In Progress,-,45.24,-,42.92,-,3.53,-,268.14,-,142.44,-,8.52,-,-,-
