,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1202,865.84,713.76,585.21,1312,671.35,796.33,713.8,902.39,568.61,636.36,650.25,964.22,477.38,434.07
1,Other Revenue,-109.07,109.07,-,300.76,-167.28,167.28,-,211.53,-85.71,85.71,-,174.03,-55.4,55.4,-
2,Revenue,1093,974.91,713.76,885.97,1145,838.62,796.33,925.33,816.68,654.32,636.36,824.28,908.82,532.79,434.07
3,Revenue Growth (YoY),-4.54%,16.25%,-10.37%,-4.25%,40.14%,28.17%,25.14%,12.26%,-10.14%,22.81%,46.60%,-,-,-,-
4,Cost of Revenue,882.77,783.06,621.41,824.13,1017,747.54,691.61,840.56,685.35,551.05,527.23,705.89,746.02,410.11,404.77
5,Gross Profit,209.82,191.85,92.35,61.84,127.04,91.09,104.72,84.77,131.33,103.27,109.13,118.39,162.8,122.68,29.3
6,"Selling, General & Admin",54.18,37.2,39.68,26.95,62.59,34.1,36.27,27.37,42.95,28.61,24.63,28.69,29.9,37.19,-
7,Research & Development,44.83,46.08,43.95,53.3,51.83,51.04,39.28,52.56,40.93,39.07,34.26,42.97,35.1,56.22,-
8,Other Operating Expenses,-5.13,6.52,-7.73,-11.43,2.6,0.14,0.7,6.9,-0.09,0.3,-0.58,18.49,-3.85,-10.24,-
9,Operating Expenses,90.69,105.21,57.23,80.37,121.73,88.27,75.1,89.85,90.18,68.18,55.42,87.75,71.12,78.51,-
10,Operating Income,119.12,86.64,35.11,-18.54,5.31,2.82,29.62,-5.07,41.15,35.08,53.71,30.64,91.68,44.17,29.3
11,Interest Expense,-1.27,-,-2.51,-0.41,-0.29,-0.48,-0.4,-0.52,-0.04,-0.18,-0.34,-0.91,-0.46,-0.18,-
12,Interest & Investment Income,5.33,4.19,4.4,3.95,4.7,9.53,2.99,7.19,3.42,0.29,0.67,0.34,0.23,1.27,-
13,Currency Exchange Gain (Loss),9.23,-9.23,-,-8.37,3.87,-3.87,-,-19.89,9.65,-9.65,-,4.3,-2.34,2.34,-
14,Other Non Operating Income (Expenses),-19.76,-5.43,-4.33,5.08,-7.09,-7.7,5.36,20.38,-22.84,-1.48,-0.19,-1.21,-0.97,-0.93,-0.05
