,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,490,515,740,-,-
1,Enterprise Value,298,417,663,-,-
2,Last Close Price,0.98,1.03,1.48,-,-
3,PE Ratio,7.41,11.92,20.84,-,-
4,PS Ratio,2.31,3.28,6.28,-,-
5,PB Ratio,1.07,1.09,1.55,-,-
6,P/TBV Ratio,-,1.09,1.55,-,-
7,P/FCF Ratio,14.12,9.93,17.15,-,-
8,P/OCF Ratio,-,7.65,14.16,-,-
9,EV/Sales Ratio,1.71,2.65,5.63,-,-
10,EV/EBITDA Ratio,3.80,6.23,12.85,-,-
11,EV/EBIT Ratio,4.53,7.54,15.44,-,-
12,EV/FCF Ratio,8.59,8.04,15.37,-,-
13,Debt / Equity Ratio,0.00,0.04,0.04,-,0.07
14,Debt / EBITDA Ratio,0.01,0.26,0.26,-,0.31
15,Debt / FCF Ratio,0.01,0.32,0.39,-,1.31
16,Asset Turnover,0.31,-,-,-,
17,Inventory Turnover,8.38,10.87,-,-,-
18,Quick Ratio,4.52,7.66,7.66,-,-
19,Current Ratio,5.12,7.99,7.99,-,-
20,Return on Equity (ROE),6.75%,-,-,-,
21,Return on Assets (ROA),6.10%,-,-,-,
22,Return on Capital (ROIC),6.46%,-,-,-,
23,Return on Capital Employed (ROCE),17.40%,11.46%,8.84%,-,-
24,Earnings Yield,11.07%,8.39%,4.80%,-,-
25,FCF Yield,7.08%,10.07%,5.83%,-,-
