,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,9283,10412,4078,4173,5078,2986,1982,6346,1093,2787,Upgrade
1,Revenue Growth (YoY),127.63%,149.52%,-19.69%,39.73%,156.16%,-52.94%,81.38%,127.74%,-68.03%,-21.90%,Upgrade
2,Cost of Revenue,7453,9586,3379,3428,3351,2139,1354,4492,701.84,1555,Upgrade
3,Gross Profit,1830,826.2,699.2,744.82,1726,847.72,628.42,1854,390.99,1232,Upgrade
4,"Selling, General & Admin",370.75,427.66,499.38,489.23,438.05,741.36,455.08,512.02,335.55,400.84,Upgrade
5,Operating Expenses,370.75,427.66,499.38,489.23,438.05,741.36,455.08,512.02,335.55,400.84,Upgrade
6,Operating Income,1459,398.54,199.82,255.59,1288,106.36,173.34,1342,55.44,830.68,Upgrade
7,Interest Expense,-77.41,-73.13,-55.94,-44.33,-102.93,-106.57,-118.51,-137.08,-113.01,-125.61,Upgrade
8,Interest & Investment Income,12.3,15.76,51,72.33,42.3,72.94,26.86,4.3,35.58,25.89,Upgrade
9,Earnings From Equity Investments,17.86,227.63,121.8,-13.15,-88.5,40.99,91.31,-43.74,139.87,6.95,Upgrade
10,Currency Exchange Gain (Loss),5.33,-6.84,-,0.06,3.62,-2.21,0.03,-12.77,-,0.54,Upgrade
11,Other Non Operating Income (Expenses),-42.8,-18.69,-3.64,20.39,-62.55,3.09,52.68,-6.8,-28.16,-48.41,Upgrade
12,EBT Excluding Unusual Items,1375,543.27,313.03,290.89,1080,114.6,225.7,1146,89.72,690.03,Upgrade
13,Impairment of Goodwill,-,-,-,-,-,-99,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Investments,1.92,-41.8,4.5,-20.19,98.2,-10.62,54.65,13.9,0.04,21.19,Upgrade
15,Gain (Loss) on Sale of Assets,9.39,-13.1,-,27.92,4.39,-13.4,25.82,48.62,-,-0.07,Upgrade
16,Asset Writedown,-535.9,-324.78,-29.91,-67.23,-95.59,3.43,-75.18,97.69,282.15,-23.32,Upgrade
17,Other Unusual Items,2.88,-,-,-,-,-,-,-,-,-,Upgrade
18,Pretax Income,852.87,163.58,287.62,231.39,1087,-4.99,231,1306,371.9,687.83,Upgrade
19,Income Tax Expense,734.97,32.53,131.56,280.2,1017,-9.56,197.05,514.32,52.37,308.47,Upgrade
20,Earnings From Continuing Operations,117.9,131.05,156.06,-48.81,70.23,4.58,33.95,791.72,319.52,379.37,Upgrade
21,Minority Interest in Earnings,-55.39,151.82,40.51,97.89,67.43,56.13,-21.52,-271.84,-11.53,-75.35,Upgrade
22,Net Income,62.51,282.87,196.57,49.08,137.66,60.7,12.43,519.88,308,304.02,Upgrade
23,Net Income to Common,62.51,282.87,196.57,49.08,137.66,60.7,12.43,519.88,308,304.02,Upgrade
24,Net Income Growth,-68.20%,476.41%,42.80%,-19.15%,1007.47%,-88.32%,-95.96%,71.00%,-7.54%,33.57%,Upgrade
25,Shares Outstanding (Basic),5636,5636,5636,5636,5636,5636,5636,5636,5674,5750,Upgrade
26,Shares Outstanding (Diluted),5636,5636,5636,5636,5636,5636,5636,5636,5674,5750,Upgrade
27,Shares Change (YoY),-,-,-,-,-,0.00%,-0.67%,-1.99%,-2.27%,-1.04%,Upgrade
28,EPS (Basic),0.01,0.05,0.03,0.01,0.02,0.01,0.00,0.09,0.05,0.05,Upgrade
29,EPS (Diluted),0.01,0.05,0.03,0.01,0.02,0.01,0.00,0.09,0.05,0.05,Upgrade
30,EPS Growth,-68.20%,484.57%,42.80%,-20.39%,1007.71%,-88.27%,-95.94%,74.62%,-5.40%,34.27%,Upgrade
31,Free Cash Flow,316.04,2621,84.8,394.91,19.19,1232,-1629,-2475,-4277,440.34,Upgrade
32,Free Cash Flow Per Share,0.06,0.47,0.02,0.07,0.00,0.22,-0.29,-0.44,-0.75,0.08,Upgrade
33,Operating Margin,15.72%,3.83%,4.90%,6.13%,25.37%,3.56%,8.74%,21.15%,5.07%,29.81%,Upgrade
34,Profit Margin,0.67%,2.72%,4.82%,1.18%,2.71%,2.03%,0.63%,8.19%,28.18%,10.91%,Upgrade
35,Free Cash Flow Margin,3.40%,25.17%,2.08%,9.46%,0.38%,41.26%,-82.20%,-39.01%,-391.38%,15.80%,Upgrade
36,EBITDA,1525,479.81,249.75,325.7,1347,183.28,219.48,1391,117.86,862.29,Upgrade
37,D&A For EBITDA,65.71,81.27,49.93,70.1,58.63,76.93,46.14,49.06,62.42,31.61,Upgrade
38,EBIT,1459,398.54,199.82,255.59,1288,106.36,173.34,1342,55.44,830.68,Upgrade
