,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,432.3,326.83,270.76,306.15,422.44,335.79,267.62,341.4,350.01,236.65,252.03,251.27,315.87,247.9,247.9
1,Other Revenue,-9.82,9.82,-,12.83,-5.5,5.5,-,10.99,-5.01,5.01,-,-,-3.3,1.65,1.65
2,Revenue,422.48,336.65,270.76,318.98,416.94,341.29,267.62,352.39,344.99,241.66,252.03,251.27,312.57,249.55,249.55
3,Revenue Growth (YoY),1.33%,-1.36%,1.17%,-9.48%,20.85%,41.23%,6.19%,40.24%,10.37%,-3.16%,0.99%,-,-,-,-
4,Cost of Revenue,246.47,208.33,155.58,173.25,248.77,193.88,164.79,211.04,214.91,161.69,159.45,651.19,-295.05,147.53,147.53
5,Gross Profit,176.01,128.32,115.19,145.73,168.17,147.42,102.83,141.36,130.08,79.97,92.58,-399.92,607.62,102.02,102.02
6,"Selling, General & Admin",58.24,52.52,44,56.82,54.92,47.77,37.92,54.14,38.56,27.45,33.88,144.9,-70.03,35.02,35.02
7,Research & Development,27.3,25.36,23.8,16.48,25.69,26.52,20.7,21.6,21.95,20.67,17.71,67.35,-30.94,15.47,15.47
8,Other Operating Expenses,-12.92,10.81,-3.66,8.56,-8.58,-2.97,-10.76,14.14,-4.51,-13.02,-5.47,-631.9,628.11,-2.1,-2.1
9,Operating Expenses,83.82,92.31,67.52,77.51,80.13,75.11,51.06,95.53,59.48,35.75,50.21,-408.72,521.4,51.26,51.26
10,Operating Income,92.19,36.02,47.67,68.22,88.04,72.31,51.77,45.82,70.61,44.22,42.36,8.8,86.22,50.76,50.76
11,Interest Expense,-,-2.01,-0.71,-1.07,-,-,-0.58,-5.03,-,-1.95,-0.72,-4.28,-6.33,-1.04,-1.04
12,Interest & Investment Income,13.22,5.98,11.59,16.35,7.78,4.44,6.58,8.84,3.37,2.75,5.3,18.69,2.09,3.17,3.17
13,Currency Exchange Gain (Loss),-0.39,0.39,-,2.15,-2.53,2.53,-,0.13,-0.49,0.49,-,-2.56,2.15,-1.07,-1.07
14,Other Non Operating Income (Expenses),-5.37,0.35,-0.81,-9.48,3.86,2.75,-0.48,0.94,-1.6,0.02,-0.28,-0.93,0.39,-0.2,-0.2
15,EBT Excluding Unusual Items,99.65,40.73,57.74,76.16,97.15,82.03,57.29,50.7,71.89,45.53,46.67,19.71,84.52,51.62,51.62
16,Gain (Loss) on Sale of Investments,18.72,9.37,6.65,21.61,0.53,-0.88,-0.16,0.86,-2.27,-3.41,0.13,4.69,-2.15,1.07,1.07
17,Gain (Loss) on Sale of Assets,0.11,3.25,-0.03,0.28,0.11,0.01,0.07,-,-0.57,-0.03,-,0.04,-0.04,0.02,0.02
18,Asset Writedown,-7.6,1.49,-1.53,3.68,-3.37,0.25,-0.55,1.85,-1.85,0.45,-0.45,-0.03,0,-0,-0
19,Other Unusual Items,6.69,14.69,10.97,27.74,1.04,-1.04,-,32.93,1.43,-1.43,-,37.32,-18.98,9.24,9.24
20,Pretax Income,117.56,69.53,73.8,129.47,95.45,80.38,56.65,86.34,68.63,41.1,46.36,61.74,63.36,61.95,61.95
21,Income Tax Expense,12.27,1.31,9.82,5.22,16,14.72,5.81,4.12,11.04,4.63,5.63,4.77,4.9,8.98,8.98
