,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5780,5335,4709,4932,5749,6179,6675,7154,-,-,-,-,-,-,-,-
1,Market Cap Growth,-13.66%,-13.66%,-29.45%,-31.06%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5584,4992,4357,4480,5297,5535,6093,7268,-,-,-,-,-,-,-,-
3,Last Close Price,14.14,12.97,11.45,11.74,13.68,14.71,15.89,16.86,-,-,-,-,-,-,-,-
4,PE Ratio,16.15,15.01,14.27,15.02,18.32,22.77,26.79,32.30,-,-,-,-,-,-,-,-
5,PS Ratio,4.26,3.96,3.51,3.66,4.28,4.48,5.11,5.93,-,-,-,-,-,-,-,-
6,PB Ratio,1.80,1.64,1.50,1.56,1.86,2.08,2.31,2.48,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.72,1.72,1.55,1.60,1.91,2.14,2.38,2.55,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-44.07,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,69.23,-,39.75,-,108.52,432.14,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.14,3.70,3.24,3.32,3.94,4.02,4.66,6.02,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,18.90,17.58,15.68,14.48,17.01,19.27,22.70,30.46,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,22.88,20.45,18.16,16.22,18.90,21.46,25.34,34.21,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-42.98,-,-,-,-40.61,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.10,0.10,0.07,0.05,0.03,0.01,0.00,0.04,0.22,-,0.29,0.17,0.17,0.14,0.14,0.14
15,Debt / EBITDA Ratio,1.10,0.80,1.14,0.74,0.29,0.09,0.02,0.47,0.85,-,1.07,0.71,2.37,0.27,0.43,0.43
16,Debt / FCF Ratio,-,-,-,-,-0.77,-,-,-,-52.38,-,-,-,-,-,2.97,5.93
17,Asset Turnover,0.43,0.36,0.29,0.35,0.48,0.39,0.40,-,-,-,-,-,-,0.85,-,
18,Inventory Turnover,3.15,3.53,3.30,2.65,3.01,4.13,3.10,2.79,-,-,-,-,-,-,3.28,-
19,Quick Ratio,2.22,2.22,2.60,3.23,2.77,3.00,3.03,3.00,1.43,-,1.38,-,1.52,-,1.50,1.50
20,Current Ratio,2.79,2.79,3.10,4.00,3.49,3.68,3.58,3.52,1.82,-,1.84,-,1.93,-,1.93,1.93
21,Return on Equity (ROE),13.17%,8.67%,8.18%,16.39%,10.84%,9.08%,10.50%,-,-,17.53%,19.82%,29.82%,33.10%,29.99%,-,
22,Return on Assets (ROA),5.83%,2.38%,3.18%,4.68%,6.28%,5.17%,4.87%,-,-,-,-,-,-,10.80%,-,
23,Return on Capital (ROIC),6.64%,2.69%,3.65%,5.50%,7.46%,6.13%,6.17%,-,-,10.83%,11.05%,2.50%,26.82%,15.79%,-,
24,Return on Capital Employed (ROCE),7.42%,7.42%,7.59%,8.46%,8.76%,8.59%,8.22%,7.09%,18.60%,-,19.67%,-,22.68%,-,13.82%,6.91%
25,Earnings Yield,6.15%,6.66%,7.01%,6.66%,5.46%,4.39%,3.73%,3.10%,-,-,-,-,-,-,-,-
26,FCF Yield,-2.25%,-2.44%,-2.68%,-2.99%,-2.27%,-2.60%,-1.20%,-0.83%,-,-,-,-,-,-,-,-
27,Dividend Yield,1.39%,2.70%,-,-,1.83%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,30.43%,8.08%,152.31%,1.02%,-,3.09%,101.30%,2.70%,1.47%,1.60%,25.69%,125.63%,-,-,54.63%,54.63%
29,Buyback Yield / Dilution,-10.33%,-0.16%,1.66%,-17.58%,-34.37%,-32.64%,-37.34%,-11.46%,1.21%,-,3.52%,-0.64%,-,-,-,-
30,Total Shareholder Return,-8.93%,2.54%,1.66%,-17.58%,-32.54%,-32.64%,-37.34%,-11.46%,1.21%,-,3.52%,-0.64%,-,-,-,-
