,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,297.94,232.77,211.62,191.65,265.78,232.22,99.89,154.69,-,48.04,-,123.22,-,69.86,69.86
1,Short-Term Investments,-,102.3,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,272.11,261.13,323.49,307.42,234.81,430.07,602.75,27.5,-,40.39,-,22.99,-,20.3,20.3
3,Cash & Short-Term Investments,570.05,596.19,535.11,499.07,500.6,662.29,702.64,182.19,-,88.43,146.21,146.21,90.16,90.16,90.16
4,Cash Growth,13.87%,-9.98%,-23.84%,173.92%,-,648.93%,380.58%,24.61%,-,-1.91%,62.17%,-,-,-,-
5,Accounts Receivable,1225,1078,1028,1026,1085,984.74,855.67,813.41,-,732.88,-,652.63,-,565.59,565.59
6,Other Receivables,-,8.99,14.86,-,23.24,8.95,7.78,-,-,5.33,-,-,-,4.86,4.86
7,Receivables,1225,1087,1043,1026,1108,993.69,863.45,813.41,-,738.21,-,652.63,-,570.45,570.45
8,Inventory,279.5,278.97,226.55,243.44,217.66,264.75,236.22,236.58,-,247.6,-,195.42,-,180.17,180.17
9,Other Current Assets,173.52,45.13,150.07,155.99,146.68,35.55,35.61,36.82,-,25.3,-,24.16,-,10.05,10.05
10,Total Current Assets,2248,2007,1955,1925,1973,1956,1838,1269,-,1100,-,1018,-,850.83,850.83
11,"Property, Plant & Equipment",477.8,447.53,435.41,416.09,345.48,318.02,286.41,280.05,-,179.89,-,144.08,-,123.98,123.98
12,Long-Term Investments,1236,1238,1266,1317,141.84,1092,137.97,134.66,-,127.51,-,123.04,-,146.15,146.15
13,Goodwill,11.85,2.37,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,90.34,67.28,67.9,68.52,69.14,69.75,69.72,70.34,-,71.57,-,46.4,-,14.23,14.23
15,Long-Term Accounts Receivable,-,-,-,-,0.5,5.89,5.9,5.78,-,10.37,-,10.14,-,15.93,15.93
16,Long-Term Deferred Tax Assets,6.98,9.3,4.68,7.34,26.03,23.47,18.59,20.96,-,18.73,-,14.8,-,10.22,10.22
17,Long-Term Deferred Charges,0.35,0.37,0.5,0.57,2.65,1.95,1.4,1.42,-,1.43,-,1.09,-,1.58,1.58
18,Other Long-Term Assets,24.73,37.8,23.58,16.24,980.53,5.9,1163,7.69,-,12.7,-,35.1,-,12.58,12.58
19,Total Assets,4097,3810,3752,3750,3540,3473,3521,1790,-,1522,-,1393,-,1175,1175
20,Accounts Payable,315.77,273.24,288.13,334.52,348.75,411.2,385.02,388.43,-,278.33,-,290.68,-,251.97,251.97
21,Accrued Expenses,85.1,82.09,58.17,94.1,75.72,71.84,56.25,89.48,-,73.79,-,73.33,-,79.12,79.12
22,Short-Term Debt,245.01,144.68,86.97,20.95,35.98,-,30.02,130.12,-,176.58,-,111.84,-,80.55,80.55
23,Current Portion of Long-Term Debt,79.71,79.07,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Current Portion of Leases,-,-,-,-,-,5.54,6.51,11,-,10.37,-,3.45,-,-,-
25,Current Income Taxes Payable,36.23,41.25,34.48,31.02,45.58,29.31,23.71,20.62,-,21.56,-,15.95,-,-,-
