,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,79.38,82.01,89.63,98.01,118.14,117.64,107.82,136.67,97.83,105.06
1,Revenue Growth (YoY),-11.44%,-16.32%,-24.14%,-16.69%,9.57%,-13.93%,10.21%,30.09%,-14.03%,-22.16%
2,Cost of Revenue,33.11,33.72,38.26,37.59,45.38,44.33,38.49,46.93,34.69,40.03
3,Gross Profit,46.26,48.29,51.37,60.42,72.76,73.31,69.33,89.75,63.15,65.02
4,"Selling, General & Admin",58.34,59.71,60.91,69.49,73.62,68.56,69.49,71.58,69.93,69.67
5,Operating Expenses,58.34,59.71,60.91,69.49,73.62,68.56,69.49,71.58,69.93,69.67
6,Operating Income,-12.08,-11.42,-9.55,-9.07,-0.86,4.75,-0.16,18.16,-6.79,-4.64
7,Interest Expense,-0.74,-1.33,-1.39,-1.71,-0.81,-0.98,-0.56,-0.59,-0.83,-1.15
8,Interest & Investment Income,0.34,0.75,0.96,1.14,0.11,0.17,0.11,-,0.31,0.59
9,Other Non Operating Income (Expenses),1.36,1.75,0.82,3.41,2.08,1.32,1.17,3.12,6.26,0.56
10,EBT Excluding Unusual Items,-11.11,-10.26,-9.16,-6.23,0.51,5.26,0.56,20.7,-1.05,-4.65
11,Gain (Loss) on Sale of Assets,-,-,-,0.02,-,-,-,-,-,-
12,Asset Writedown,-,-5.22,-,-15.59,-,-,-,-,-,-
13,Other Unusual Items,-,-,-,-,-,-,-,-,-,1.12
14,Pretax Income,-11.11,-15.47,-9.16,-21.81,0.51,5.26,0.56,20.7,-1.05,-3.53
15,Income Tax Expense,-,0.38,-,-0.28,-,1.68,-,2.83,-,-2.22
16,Net Income,-11.11,-15.85,-9.16,-21.53,0.51,3.58,0.56,17.87,-1.05,-1.3
17,Net Income to Common,-11.11,-15.85,-9.16,-21.53,0.51,3.58,0.56,17.87,-1.05,-1.3
18,Net Income Growth,-,-,-,-,-9.43%,-79.97%,-,-,-,-
19,Shares Outstanding (Basic),800,800,800,800,800,800,800,800,800,800
20,Shares Outstanding (Diluted),800,800,800,800,800,800,800,800,800,800
21,EPS (Basic),-0.01,-0.02,-0.01,-0.03,0.00,0.00,0.00,0.02,-0.00,-0.00
22,EPS (Diluted),-0.01,-0.02,-0.01,-0.03,0.00,0.00,0.00,0.02,-0.00,-0.00
23,EPS Growth,-,-,-,-,-9.40%,-79.97%,-,-,-,-
24,Free Cash Flow,15.53,6.56,18.88,11.42,23.71,0.94,27.62,29.74,46.11,69.67
25,Free Cash Flow Per Share,0.02,0.01,0.02,0.01,0.03,0.00,0.03,0.04,0.06,0.09
26,Operating Margin,-15.22%,-13.92%,-10.65%,-9.25%,-0.73%,4.03%,-0.15%,13.29%,-6.94%,-4.42%
27,Profit Margin,-14.00%,-19.33%,-10.22%,-21.96%,0.43%,3.04%,0.52%,13.08%,-1.07%,-1.24%
28,Free Cash Flow Margin,19.56%,8.00%,21.06%,11.66%,20.07%,0.80%,25.62%,21.76%,47.13%,66.32%
29,EBITDA,-10.61,-10.06,-8.47,-6.3,2.28,7.47,4.16,25.4,1.56,4.93
30,D&A For EBITDA,1.46,1.36,1.07,2.77,3.14,2.72,4.32,7.24,8.35,9.57
31,EBIT,-12.08,-11.42,-9.55,-9.07,-0.86,4.75,-0.16,18.16,-6.79,-4.64
