,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,46,54,68,102,146,134,174,212,146,150,79
1,Market Cap Growth,-47.66%,-47.66%,-53.55%,-23.81%,-15.67%,-36.60%,19.23%,40.96%,83.84%,-1.57%,-68.57%
2,Enterprise Value,38,49,66,107,134,134,121,155,88,139,95
3,Last Close Price,0.06,0.07,0.09,0.13,0.18,0.17,0.21,0.26,0.17,0.18,0.09
4,PE Ratio,-,-,-,-,-,32.87,41.91,11.50,8.65,-,-
5,PS Ratio,0.29,0.33,0.40,0.55,0.68,0.57,0.77,0.87,0.62,0.74,0.36
6,PB Ratio,0.87,1.00,1.05,1.27,1.63,1.21,1.51,1.91,1.26,1.54,0.80
7,P/TBV Ratio,1.00,1.00,1.05,1.27,1.63,1.21,1.51,1.91,1.26,1.54,0.80
8,P/FCF Ratio,2.10,2.43,2.67,3.38,4.17,5.45,6.08,3.70,1.92,1.30,1.22
9,P/OCF Ratio,2.17,2.17,2.42,3.29,4.07,4.06,4.69,3.62,1.89,1.26,1.16
10,EV/Sales Ratio,0.24,0.31,0.39,0.57,0.62,0.57,0.54,0.64,0.38,0.69,0.43
11,EV/EBITDA Ratio,3.63,-,-,-,-,13.76,10.43,5.25,3.27,21.46,101.51
12,EV/EBIT Ratio,-,-,-,-,-,-,26.43,-,7.75,-,-
13,EV/FCF Ratio,1.73,2.24,2.60,3.54,3.80,5.44,4.25,2.71,1.16,1.20,1.46
14,Debt / Equity Ratio,0.50,0.50,0.61,0.69,0.75,0.57,0.67,0.36,0.32,0.33,0.53
15,Debt / FCF Ratio,1.21,1.21,1.54,1.82,1.90,2.57,2.68,0.69,0.49,0.28,0.81
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,2.93%,-,8.68%,-,-
17,Earnings Yield,-58.11%,-50.31%,-36.77%,-29.96%,-14.36%,3.04%,2.39%,8.69%,11.56%,-1.56%,-14.68%
18,FCF Yield,47.59%,41.20%,37.41%,29.59%,24.00%,18.34%,16.45%,27.05%,52.09%,76.98%,81.84%
