,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,31164,8773,12649,440.54,36205,8996,8429,49.13,38132,3857,7611,238.95,19584,3063,13508,2355,12611,12624,6756,626.35,Upgrade
1,Revenue Growth (YoY),-13.92%,-2.47%,50.07%,796.65%,-5.06%,133.21%,10.75%,-79.44%,94.71%,25.95%,-43.66%,-89.85%,55.29%,-75.74%,99.95%,275.92%,233.67%,-31.61%,-66.85%,2372.44%,Upgrade
2,Cost of Revenue,30584,8515,12337,297.13,35103,8265,7702,29.15,36612,3353,7011,214.47,19379,2881,13081,1777,11080,12096,6434,592.14,Upgrade
3,Gross Profit,580.01,257.46,311.4,143.41,1102,731.01,727.12,19.98,1521,503.87,599.51,24.47,204.65,181.81,426.92,577.97,1531,528.26,321.39,34.21,Upgrade
4,"Selling, General & Admin",3112,1160,934.53,578.21,1930,1424,1669,1494,1669,1125,1017,338.5,968.39,697.31,807.18,751.08,1577,693.09,-999.87,206.73,Upgrade
5,Operating Expenses,3112,1160,934.53,578.21,1930,1424,1669,1494,1669,1125,1017,338.5,968.39,697.31,807.18,751.08,1577,693.09,-999.87,206.73,Upgrade
6,Operating Income,-2532,-902.3,-623.13,-434.81,-827.89,-692.97,-942.34,-1474,-148.05,-620.96,-417.78,-314.03,-763.75,-515.5,-380.26,-173.11,-46.15,-164.83,1321,-172.52,Upgrade
7,Interest Expense,-,-147.58,-177.09,-181.03,-11340,-33.45,-1605,-,-51657,-,-14.79,-,-,-,-,-237.74,-1239,-,-1413,-,Upgrade
8,Interest & Investment Income,1846,0.42,94.27,606,-,357.33,-,2213,14.79,14912,1323,40750,1335,1925,2349,2994,1603,470.1,2163,1415,Upgrade
