,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,43.13,121.51,152.38,71.34,105.47,108.93,124.99,95.04,64.8,52.96,Upgrade
1,Revenue Growth (YoY),-71.70%,70.33%,44.48%,-34.51%,-15.62%,14.62%,92.90%,79.45%,-20.78%,-44.25%,Upgrade
2,Cost of Revenue,42.36,121.01,151.33,71.02,105.22,108.11,124.72,91.9,64.59,49.92,Upgrade
3,Gross Profit,0.77,0.5,1.06,0.32,0.25,0.82,0.28,3.14,0.2,3.04,Upgrade
4,"Selling, General & Admin",3.8,8.72,7.07,9.17,9.69,21.11,10.39,14.78,12.12,13.51,Upgrade
5,Operating Expenses,3.8,8.72,7.07,9.17,9.69,21.11,10.39,14.78,12.12,13.56,Upgrade
6,Operating Income,-3.03,-8.22,-6.01,-8.85,-9.44,-20.29,-10.12,-11.64,-11.91,-10.52,Upgrade
7,Interest Expense,-13.44,-13.73,-12.68,-13.66,-12.51,-17.08,-17.21,-14.87,-7.06,-4.6,Upgrade
8,Interest & Investment Income,-,0.01,0,-,0.02,-,0.03,-,0.07,-,Upgrade
9,Currency Exchange Gain (Loss),-,0,-,0.01,-,-,-,-0.01,-,-0.12,Upgrade
10,Other Non Operating Income (Expenses),-,2.13,-,-2.6,-4.66,0.15,-,9.3,0.77,1.54,Upgrade
11,EBT Excluding Unusual Items,-16.47,-19.82,-18.69,-25.1,-26.6,-37.22,-27.3,-17.22,-18.14,-13.7,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,-0.06,-,-,-,-,-,-,Upgrade
13,Asset Writedown,-,-2.29,-,-,-,-,-,-,-,-,Upgrade
14,Legal Settlements,-,-,-,-,-,-,-,35.55,-,-,Upgrade
15,Other Unusual Items,-,4.32,-,-0.11,0.11,-62.91,-,2.37,-,-,Upgrade
16,Pretax Income,-16.47,-17.79,-18.69,-25.26,-26.49,-100.13,-27.3,20.69,-18.14,-13.7,Upgrade
17,Income Tax Expense,-,0,-,-,-,-,-,-,-,-,Upgrade
18,Earnings From Continuing Operations,-16.47,-17.79,-18.69,-25.26,-26.49,-100.13,-27.3,20.69,-18.14,-13.7,Upgrade
19,Minority Interest in Earnings,-0.34,0.23,-0.28,0.4,0.63,-0.09,0.43,-20.86,0.38,-1.75,Upgrade
20,Net Income,-16.81,-17.56,-18.97,-24.87,-25.86,-100.22,-26.87,-0.17,-17.76,-15.46,Upgrade
21,Net Income to Common,-16.81,-17.56,-18.97,-24.87,-25.86,-100.22,-26.87,-0.17,-17.76,-15.46,Upgrade
22,Shares Outstanding (Basic),267,267,267,267,267,267,267,267,267,267,Upgrade
23,Shares Outstanding (Diluted),267,267,267,267,267,267,267,267,267,267,Upgrade
24,Shares Change (YoY),-,-,0.00%,0.00%,-,-,-,0.00%,-0.00%,-0.00%,Upgrade
25,EPS (Basic),-0.06,-0.07,-0.07,-0.09,-0.10,-0.37,-0.10,-0.00,-0.07,-0.06,Upgrade
26,EPS (Diluted),-0.06,-0.07,-0.07,-0.09,-0.10,-0.37,-0.10,-0.00,-0.07,-0.06,Upgrade
27,Free Cash Flow,-104.65,-0.2,-8.32,5.21,-14,6.8,-3.02,-11.41,1.94,-3.41,Upgrade
28,Free Cash Flow Per Share,-0.39,-0.00,-0.03,0.02,-0.05,0.03,-0.01,-0.04,0.01,-0.01,Upgrade
29,Operating Margin,-7.03%,-6.77%,-3.94%,-12.40%,-8.95%,-18.62%,-8.09%,-12.25%,-18.39%,-19.87%,Upgrade
30,Profit Margin,-38.99%,-14.45%,-12.45%,-34.86%,-24.52%,-92.00%,-21.49%,-0.18%,-27.41%,-29.18%,Upgrade
31,Free Cash Flow Margin,-242.66%,-0.17%,-5.46%,7.30%,-13.27%,6.24%,-2.42%,-12.00%,2.99%,-6.44%,Upgrade
32,EBITDA,-3.03,-8.22,-5.91,-8.43,-9.01,-19.86,-9.69,-11.22,-11.49,-10.1,Upgrade
33,D&A For EBITDA,0,0,0.11,0.42,0.43,0.42,0.42,0.42,0.42,0.43,Upgrade
34,EBIT,-3.03,-8.22,-6.01,-8.85,-9.44,-20.29,-10.12,-11.64,-11.91,-10.52,Upgrade
