,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,754.24,582.63,655.84,1923,2685
1,Revenue Growth (YoY),15.00%,-69.69%,-75.58%,-,-
2,Cost of Revenue,686.13,504.34,507.51,1716,2347
3,Gross Profit,68.1,78.28,148.33,206.81,338.5
4,"Selling, General & Admin",54.86,63.1,37.35,63.34,42.41
5,Other Operating Expenses,-4.05,-0.69,3.55,7.24,2.18
6,Operating Expenses,50.81,62.42,40.9,70.58,44.59
7,Operating Income,17.3,15.87,107.44,136.22,293.91
8,Interest Expense,-4.2,-2.13,-3.26,-1.83,-3
9,Interest & Investment Income,3.3,1.64,0.32,0.56,1.52
10,Earnings From Equity Investments,-,0.03,-0.07,-0.08,-0.08
11,Currency Exchange Gain (Loss),1.17,2.91,-0.91,11.49,-4.69
12,Other Non Operating Income (Expenses),0.59,1.04,0.5,0.33,0.3
13,EBT Excluding Unusual Items,18.15,19.35,104.03,146.69,287.96
14,Gain (Loss) on Sale of Investments,-0.03,-0.08,0.29,-,-
15,Gain (Loss) on Sale of Assets,-5.12,0.28,-1.2,-40.13,0.86
16,Pretax Income,13.01,19.55,103.12,106.57,288.82
17,Income Tax Expense,0.2,5.02,-1.94,2.7,6.38
18,Earnings From Continuing Operations,12.81,14.53,105.06,103.87,282.44
19,Minority Interest in Earnings,-3.41,0.22,-0.93,0.34,-5.71
20,Net Income,9.39,14.75,104.13,104.21,276.74
21,Net Income to Common,9.39,14.75,104.13,104.21,276.74
22,Net Income Growth,-90.98%,-85.84%,-62.37%,-,-
23,Shares Outstanding (Basic),286,272,256,256,256
24,Shares Outstanding (Diluted),286,272,256,256,256
25,Shares Change (YoY),12.02%,6.31%,-,-,-
26,EPS (Basic),0.03,0.05,0.41,0.41,1.08
27,EPS (Diluted),0.03,0.05,0.41,0.41,1.08
28,EPS Growth,-91.95%,-86.69%,-62.37%,-,-
29,Free Cash Flow,-34.59,-91.78,-178.86,-238.02,202.84
30,Free Cash Flow Per Share,-0.12,-0.34,-0.70,-0.93,0.79
31,Operating Margin,2.29%,2.72%,16.38%,7.09%,10.94%
32,Profit Margin,1.25%,2.53%,15.88%,5.42%,10.31%
33,Free Cash Flow Margin,-4.59%,-15.75%,-27.27%,-12.38%,7.55%
34,EBITDA,40.2,34.56,128.26,156.93,307.77
35,D&A For EBITDA,22.91,18.69,20.82,20.7,13.86
36,EBIT,17.3,15.87,107.44,136.22,293.91
