,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,5130,8101,1523,-,-,-
1,Enterprise Value,5089,7958,1436,-,-,-
2,Last Close Price,17.92,28.08,5.28,-,-,-
3,PE Ratio,192.70,312.28,11.63,-,-,-
4,PS Ratio,3.48,5.64,1.12,-,-,-
5,PB Ratio,4.15,6.34,1.19,-,-,-
6,P/TBV Ratio,6.61,6.61,1.23,-,-,-
7,EV/Sales Ratio,3.54,5.54,1.05,-,-,-
8,EV/EBITDA Ratio,51.40,99.06,8.01,-,-,-
9,EV/EBIT Ratio,142.68,223.30,10.57,-,-,-
10,Debt / Equity Ratio,0.10,0.10,0.05,0.07,0.09,-
11,Return on Capital Employed (ROCE),2.65%,2.65%,10.57%,23.24%,45.98%,-
12,Earnings Yield,0.51%,0.32%,8.60%,-,-,-
13,FCF Yield,-2.65%,-1.68%,-19.58%,-,-,-
14,Buyback Yield / Dilution,-9.17%,-12.02%,-6.31%,-,-,-
15,Total Shareholder Return,-8.26%,-12.02%,-6.31%,-,-,-
