,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,181.81,207.89,156.72,339.99,-
1,Trading Asset Securities,9.94,9.97,6.65,6.37,-
2,Cash & Short-Term Investments,191.75,217.86,163.38,346.36,-
3,Cash Growth,17.36%,-37.10%,-,-,-
4,Accounts Receivable,155.6,89.26,93.39,149.14,-
5,Other Receivables,1.68,0.96,0.13,0.75,-
6,Receivables,157.28,90.22,93.52,149.89,-
7,Inventory,14.04,5.38,1.92,6.6,-
8,Prepaid Expenses,73.14,30.36,41.38,49.28,-
9,Other Current Assets,66.26,74.86,82.52,86.56,-
10,Total Current Assets,502.46,418.67,382.73,638.68,-
11,"Property, Plant & Equipment",487.94,431.9,403.95,408.37,-
12,Long-Term Investments,3.06,2.44,3.14,2.57,-
13,Goodwill,8.57,8.57,8.57,8.57,-
14,Other Intangible Assets,1.72,1.87,2,2.13,-
15,Long-Term Deferred Tax Assets,1.32,1.18,6.1,3.01,-
16,Other Long-Term Assets,572.41,580.87,575.98,377.18,-
17,Total Assets,1577,1445,1382,1441,-
18,Accounts Payable,195.22,172.4,256.55,336.39,-
19,Accrued Expenses,-,6.06,-,12.02,-
20,Short-Term Debt,-,10,-,19.71,-
21,Current Portion of Long-Term Debt,22.78,41.27,26.15,17.51,-
22,Current Portion of Leases,29.52,4.58,4.33,3.4,-
23,Current Income Taxes Payable,0.24,0.02,0.83,1.26,-
24,Current Unearned Revenue,-,2.91,-,19.59,-
25,Other Current Liabilities,77.35,41.49,45.94,95.19,-
26,Total Current Liabilities,325.11,278.73,333.79,505.07,-
27,Long-Term Debt,-,-,34.19,39.42,-
28,Long-Term Leases,63.74,2.2,4.47,4.59,-
29,Long-Term Deferred Tax Liabilities,0.24,0.16,0.24,0.25,-
30,Total Liabilities,389.09,281.08,372.68,549.33,-
31,Common Stock,0.21,0.21,0.03,0.03,-
32,Additional Paid-In Capital,143.32,143.32,8.39,8.39,-
33,Retained Earnings,947.25,937.85,923.1,818.98,-
34,Comprehensive Income & Other,60.36,53.51,64.58,51.51,-
35,Total Common Equity,1151,1135,996.1,878.91,-
36,Minority Interest,37.26,29.51,13.69,12.27,-
37,Shareholders' Equity,1188,1164,1010,891.18,-
38,Total Liabilities & Equity,1577,1445,1382,1441,-
39,Total Debt,116.04,58.04,69.13,84.63,-
40,Net Cash (Debt),75.71,159.82,94.24,261.73,-
41,Net Cash Growth,-19.67%,-38.94%,-,-,-
42,Net Cash Per Share,0.26,0.59,0.37,1.02,-
43,Filing Date Shares Outstanding,286.27,286.27,42.59,42.59,255.54
44,Total Common Shares Outstanding,286.27,286.27,42.59,42.59,255.54
45,Working Capital,177.36,139.94,48.94,133.61,-
46,Book Value Per Share,4.02,3.96,23.39,20.64,-
47,Tangible Book Value,1141,1124,985.53,868.21,-
48,Tangible Book Value Per Share,3.99,3.93,23.14,20.39,-
49,Machinery,-,182.02,-,112.56,-
