,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,4280,5011,4659,4917,6037,5659,7587,8287,9759,9466,7378,Upgrade
1,Market Cap Growth,1.91%,1.91%,-22.83%,-13.11%,-20.44%,-31.72%,-22.25%,-12.45%,32.28%,-22.38%,-36.40%,Upgrade
2,Enterprise Value,5552,6208,6053,6501,7762,7182,8814,9427,11390,11713,9492,Upgrade
3,Last Close Price,7.46,8.54,7.46,7.76,9.24,8.62,11.37,12.33,14.23,13.72,10.69,Upgrade
4,PE Ratio,15.76,18.29,14.10,24.32,54.71,116.09,-,29.80,27.17,109.84,-,Upgrade
5,Forward PE,12.24,13.16,10.39,14.56,17.69,19.35,22.45,22.83,24.32,20.86,16.95,Upgrade
6,PS Ratio,0.50,0.58,0.54,0.58,0.75,0.75,1.01,1.13,1.45,1.37,0.93,Upgrade
7,PB Ratio,1.57,1.83,1.60,1.73,2.16,2.04,2.68,2.81,3.22,3.34,2.76,Upgrade
8,P/TBV Ratio,1.84,1.84,1.61,1.73,2.17,2.05,2.69,2.82,3.22,3.35,2.77,Upgrade
9,P/FCF Ratio,3.24,3.79,3.46,3.81,4.88,7.30,11.28,6.36,6.90,10.27,8.07,Upgrade
10,P/OCF Ratio,3.09,3.09,2.80,2.99,3.55,4.19,6.52,5.04,5.76,7.48,5.21,Upgrade
11,PEG Ratio,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,Upgrade
12,EV/Sales Ratio,0.64,0.72,0.70,0.77,0.97,0.95,1.17,1.28,1.70,1.69,1.19,Upgrade
13,EV/EBITDA Ratio,3.43,7.94,7.04,8.73,12.96,16.22,19.43,18.35,40.57,41.24,15.44,Upgrade
14,EV/EBIT Ratio,13.35,14.96,12.44,17.71,35.15,103.21,-,58.57,-161.32,-,37.00,Upgrade
15,EV/FCF Ratio,4.20,4.70,4.49,5.04,6.27,9.27,13.10,7.24,8.05,12.71,10.38,Upgrade
16,Debt / Equity Ratio,0.85,0.85,0.84,0.88,1.16,1.19,1.10,1.07,1.06,1.01,0.97,Upgrade
17,Debt / FCF Ratio,1.77,1.77,1.82,1.94,2.63,4.26,4.61,2.43,2.28,3.10,2.84,Upgrade
18,Return on Capital Employed (ROCE),9.60%,9.58%,10.56%,8.27%,5.02%,1.50%,-,3.02%,-1.29%,-,5.57%,Upgrade
19,Earnings Yield,6.40%,5.47%,7.09%,4.11%,1.83%,0.86%,0.28%,3.36%,3.68%,0.91%,1.00%,Upgrade
20,FCF Yield,30.86%,26.36%,28.91%,26.24%,20.49%,13.69%,8.87%,15.71%,14.50%,9.74%,12.40%,Upgrade
21,Dividend Yield,7.64%,6.68%,7.64%,5.54%,4.11%,3.25%,2.46%,3.08%,2.67%,0.73%,-,Upgrade
22,Buyback Yield / Dilution,0.34%,0.53%,0.15%,-0.16%,-0.42%,-0.05%,0.20%,0.28%,0.09%,-0.10%,0.05%,Upgrade
23,Total Shareholder Return,7.98%,7.20%,7.79%,5.38%,3.69%,3.20%,2.66%,3.37%,2.76%,0.63%,0.05%,Upgrade
