,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,165.81,163.75,168.28,137.47,185.56,151.02,202.56,101.31,72.17,75.23,Upgrade
1,Revenue,165.81,163.75,168.28,137.47,185.56,151.02,202.56,101.31,72.17,75.23,Upgrade
2,Revenue Growth (YoY),-1.47%,19.12%,-9.31%,-8.97%,-8.40%,49.08%,180.66%,34.67%,-12.87%,-44.22%,Upgrade
3,Cost of Revenue,29.77,26.76,21.61,19.57,29.56,25.97,21.71,20.32,25.09,14.47,Upgrade
4,Gross Profit,136.04,137,146.67,117.9,155.99,125.05,180.85,80.99,47.09,60.76,Upgrade
5,"Selling, General & Admin",25.65,25.56,24.98,24.06,27.15,29.45,29.83,23.23,27.74,20.21,Upgrade
6,Other Operating Expenses,5.75,5.03,5.12,1.67,4.39,1.81,6.44,4.86,9.62,18.24,Upgrade
7,Operating Expenses,65.12,65.24,66.65,58.17,73.85,75,79.82,64.73,57.38,116.7,Upgrade
8,Operating Income,70.92,71.76,80.02,59.73,82.15,50.05,101.03,16.26,-10.3,-55.94,Upgrade
9,Interest Expense,-20.12,-22.61,-26.57,-27.73,-26.88,-24.49,-21.79,-18.14,-7.05,-12.8,Upgrade
10,Interest & Investment Income,0.19,0.33,0.69,0.86,0.92,0.89,0.83,0.76,1.15,1.65,Upgrade
11,Other Non Operating Income (Expenses),-2.26,-1.71,-4.41,-2.01,-0.85,1.2,-5.83,-1.75,-4.85,-3.05,Upgrade
12,EBT Excluding Unusual Items,48.74,47.77,49.73,30.85,55.34,27.66,74.25,-2.87,-21.05,-70.14,Upgrade
13,Gain (Loss) on Sale of Investments,-2.63,4.39,-6,-3.61,-5.19,1.26,0.13,11.53,-6.33,-13.04,Upgrade
14,Asset Writedown,-4.17,-7.45,2.32,-7.89,20.92,98.48,-,-,-0.38,-72.92,Upgrade
15,Other Unusual Items,-,0,-,1.4,-,-,-,-,-,-,Upgrade
16,Pretax Income,41.93,44.71,46.05,20.75,71.07,127.4,74.37,8.67,-27.76,-156.1,Upgrade
17,Income Tax Expense,9.02,10.33,11.56,-0.51,9.37,50.01,27.04,-7.17,2.78,-112.02,Upgrade
18,Earnings From Continuing Operations,32.91,34.39,34.49,21.26,61.71,77.39,47.33,15.84,-30.54,-44.08,Upgrade
19,Minority Interest in Earnings,0.71,0,0.65,0.13,0.17,-1.67,0.73,-0.72,1.24,0.51,Upgrade
20,Net Income,33.62,34.39,35.14,21.39,61.88,75.71,48.06,15.12,-29.3,-43.57,Upgrade
21,Net Income to Common,33.62,34.39,35.14,21.39,61.88,75.71,48.06,15.12,-29.3,-43.57,Upgrade
22,Net Income Growth,-4.33%,60.77%,-43.21%,-71.75%,28.74%,400.62%,-,-,-,-,Upgrade
23,Shares Outstanding (Basic),9594,9505,9505,9505,9505,9505,9505,9505,9505,9505,Upgrade
24,Shares Outstanding (Diluted),13551,13551,13551,13551,13551,17597,9505,9505,9505,9505,Upgrade
25,Shares Change (YoY),0.00%,-,-,-22.99%,42.56%,85.12%,-,-,-,-29.86%,Upgrade
26,EPS (Basic),0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,-0.00,-0.00,Upgrade
27,EPS (Diluted),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,-0.00,-0.00,Upgrade
28,EPS Growth,-2.58%,50.97%,-38.98%,-59.19%,-2.02%,202.83%,-,-,-,-,Upgrade
29,Free Cash Flow,66.96,29.5,39.91,7.98,-39.76,-44.68,32.24,-379.77,-36.17,228.07,Upgrade
30,Free Cash Flow Per Share,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.04,-0.00,0.02,Upgrade
31,Operating Margin,42.78%,43.82%,47.55%,43.45%,44.27%,33.14%,49.88%,16.05%,-14.27%,-74.36%,Upgrade
32,Profit Margin,20.28%,21.00%,20.88%,15.56%,33.35%,50.13%,23.73%,14.93%,-40.59%,-57.92%,Upgrade
33,Free Cash Flow Margin,40.38%,18.01%,23.71%,5.80%,-21.43%,-29.59%,15.92%,-374.88%,-50.11%,303.18%,Upgrade
34,EBITDA,101.48,102.02,111.8,86.61,118.72,81.72,139.48,46.46,5.71,18.25,Upgrade
35,D&A For EBITDA,30.56,30.26,31.78,26.87,36.58,31.67,38.45,30.2,16.01,74.19,Upgrade
36,EBIT,70.92,71.76,80.02,59.73,82.15,50.05,101.03,16.26,-10.3,-55.94,Upgrade
