,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,273.55,436.67,537.03,348.37,376.69,449.27,410.81,1032,107.69,-,-,127.83,-,-,58.95
1,Short-Term Investments,-,-,-,-,90.01,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,379.79,290.13,313.53,545.28,865.88,831.71,953.02,402.59,288.57,-,-,233.42,-,-,292.88
3,Cash & Short-Term Investments,653.34,653.34,726.8,850.56,983.67,1243,1281,1364,1434,396.26,-,361.25,361.25,-,351.83,351.83
4,Cash Growth,-33.58%,-47.42%,-43.26%,-37.63%,-31.41%,213.57%,-,277.53%,296.99%,-,-,2.68%,-,-,-,-
5,Accounts Receivable,-,59.36,63.48,59.1,58.96,107.27,107.39,142.89,129.64,133.18,-,-,36.56,-,-,32.93
6,Other Receivables,-,3.47,-1.15,-,1.29,3.82,3.98,2.48,0.31,3.6,-,-,-,-,-,2.16
7,Receivables,-,62.84,62.33,59.1,60.26,111.1,111.37,145.37,129.95,136.78,-,-,36.56,-,-,35.09
8,Inventory,-,41.49,36.58,35.24,32.04,41.94,42.25,42.15,52.53,63.64,-,-,32.62,-,-,28.64
9,Other Current Assets,-,137.78,167.3,103.01,8.71,8.46,8.06,18,10.05,16.8,-,-,7.72,-,-,3.25
10,Total Current Assets,-,895.44,992.99,1048,1085,1404,1443,1569,1627,613.47,-,-,438.16,-,-,418.82
11,"Property, Plant & Equipment",-,386.67,387.65,389.17,394.39,395.27,408.93,307.72,246.43,196.93,-,-,159.44,-,-,77.45
12,Long-Term Investments,-,294.51,260.76,248.42,256.71,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,-,1.08,1.08,-,-,4.27,4.27,4.27,4.27,4.27,-,-,-,-,-,-
14,Other Intangible Assets,-,29.52,29.72,29.92,29.77,30.03,28.95,29.15,29.35,29.68,-,-,30.15,-,-,0.6
15,Long-Term Deferred Tax Assets,-,38.98,37.87,31.09,29.83,11.9,11.57,11.61,17.11,9.89,-,-,4,-,-,4.34
16,Long-Term Deferred Charges,-,21.79,22.79,23.79,24.8,25.09,9.81,10.58,11.36,15.77,-,-,13.82,-,-,8.89
17,Other Long-Term Assets,-,2.37,2.28,1.88,2.04,0.99,10.18,7.48,20.06,0.83,-,-,3.2,-,-,17.55
