,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,29.97,31.14,38.34,28.8,19.89,29.9,44.62,76.94,123.65,132.39,142.75,122.81,102.57,109.57,40.02,86.3
1,Revenue Growth (YoY),50.69%,4.15%,-14.06%,-62.57%,-83.92%,-77.42%,-68.75%,-37.35%,20.55%,20.82%,256.69%,42.31%,-,-,-,-
2,Cost of Revenue,-35.82,10.31,13.39,12.13,23.36,6.65,14.73,22.81,57.07,28.52,35.6,39.5,40.33,54.7,-,22.41
3,Gross Profit,65.79,20.83,24.96,16.68,-3.47,23.24,29.88,54.14,66.57,103.86,107.15,83.32,62.24,54.87,40.02,63.89
4,"Selling, General & Admin",-101.88,37.97,33.23,30.68,34.85,36.56,34.09,27.43,24.96,29.66,23.4,21.78,10.27,61.16,-,14.95
5,Research & Development,-72.05,26.03,23.72,22.3,24.85,21.6,22.78,19.04,28.07,17.46,14.78,13.71,8.24,30.34,-,6.35
6,Other Operating Expenses,295.1,0.89,0.65,0.55,0.52,-3.62,-0.07,-0.94,3.96,-1.89,-0.93,0.07,2.11,-79.67,36.2,0.33
7,Operating Expenses,111.06,70.67,58.31,57.17,80.53,54.6,55.59,47.16,60.43,45.95,41.77,36.41,20.99,12.91,36.2,22.1
8,Operating Income,-45.27,-49.83,-33.35,-40.49,-84,-31.36,-25.71,6.97,6.14,57.92,65.39,46.91,41.25,41.96,3.82,41.78
9,Interest Expense,-16.81,-0.36,-0.71,-,-0.4,-0.42,-0.88,-,-0.52,-0.47,-0.22,-0.72,-0.48,-1.44,-,-0.44
10,Interest & Investment Income,1.07,3.17,5.88,7.76,10.4,2.63,8.82,2.58,4.57,0.76,2.26,1.54,0.71,6.82,-,2.88
11,Currency Exchange Gain (Loss),-,-0.1,0.1,-,0.52,-1.05,1.05,-,6.08,-3.59,3.59,-,-1.09,-,-,0.12
