,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2483,3180,2415,2092,2419,3429,3574,3389,3793,3314,-,-,-,-,-,-,-
1,Market Cap Growth,-7.26%,-7.26%,-32.43%,-38.26%,-36.24%,3.44%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1879,2576,1740,1288,1235,2245,2357,2088,3442,2963,-,-,-,-,-,-,-
3,Last Close Price,22.34,28.61,21.73,18.60,21.50,30.55,31.85,30.20,33.30,29.10,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,30.50,20.81,-,-,-,-,-,-,-
5,Forward PE,-,21.80,21.80,21.80,21.80,21.80,22.35,21.19,-,-,-,-,-,-,-,-,-
6,PS Ratio,19.39,24.79,20.44,17.89,19.63,20.01,12.99,8.98,7.97,6.35,-,-,-,-,-,-,-
7,PB Ratio,1.60,2.05,1.56,1.30,1.47,2.04,2.07,1.94,2.09,1.85,-,-,-,-,-,-,-
8,P/TBV Ratio,2.12,2.12,1.61,1.34,1.51,2.10,2.14,2.00,2.16,1.90,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-292.46,-,55.41,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,14.65,20.09,14.72,11.01,10.02,13.10,8.57,5.53,7.24,5.68,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,23.27,15.89,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,25.23,16.80,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,-,0.07,0.07,-,0.09,0.09
14,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,0.97,0.53,0.17,-,0.20,0.20,-,1.97,0.23
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,0.42,-,44.22,16.26,-,3.57,5.17
16,Asset Turnover,-,0.07,0.09,0.06,0.04,0.06,0.09,0.16,0.35,-,-,-,-,-,-,-,
17,Inventory Turnover,-,-,1.06,1.49,1.44,2.53,0.63,1.40,1.93,3.93,-,-,-,-,-,-,-
18,Quick Ratio,-,-,11.41,12.24,12.91,12.30,15.40,13.14,24.62,16.79,5.50,-,-,6.59,-,-,11.15
19,Current Ratio,-,-,14.26,15.40,14.87,12.78,15.98,13.62,25.60,17.46,6.33,-,-,7.25,-,-,12.07
20,Return on Equity (ROE),-17.19%,-11.62%,-4.98%,-7.15%,-12.60%,-5.90%,-3.11%,2.11%,6.59%,-,-,28.37%,-,-,4.13%,-,
21,Return on Assets (ROA),-,-7.32%,-4.75%,-5.63%,-11.37%,-4.14%,-3.33%,0.89%,1.09%,-,-,-,-,-,-,-,
22,Return on Capital (ROIC),-7.15%,-7.72%,-5.02%,-5.97%,-12.09%,-4.41%,-3.53%,0.95%,1.19%,-,-,19.93%,-,-,1.94%,-,
23,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,7.26%,9.47%,27.32%,-,-,21.89%,-,-,8.48%
24,Earnings Yield,-6.54%,-5.11%,-5.98%,-5.95%,-4.85%,-2.46%,-0.60%,1.46%,3.28%,4.81%,-,-,-,-,-,-,-
25,FCF Yield,-,-5.90%,-6.57%,-5.61%,-4.99%,-6.07%,-3.49%,-2.18%,0.21%,-,-,-,-,-,-,-,
26,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,1.49%,-,-,-,-,-,-,-
27,Buyback Yield / Dilution,0.85%,27.01%,-51.14%,-8.40%,7.00%,-27.26%,13.29%,-12.31%,-56.61%,-38.75%,-0.06%,-,9.32%,-,-,-,-
28,Total Shareholder Return,0.85%,27.01%,-51.14%,-8.40%,7.00%,-27.26%,13.29%,-12.31%,-56.61%,-37.26%,-0.06%,-,9.32%,-,-,-,-
