,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,94821,49529,54053,57570,61908,51257,50101,51945,74613,55118,59807,54539,77814,53533,73446,69104,92930,71520,44731,52108,Upgrade
1,Revenue Growth (YoY),53.17%,-3.37%,7.89%,10.83%,-17.03%,-7.01%,-16.23%,-4.76%,-4.11%,2.96%,-18.57%,-21.08%,-16.27%,-25.15%,64.20%,32.62%,-15.72%,26.07%,-38.44%,-0.66%,Upgrade
2,Cost of Revenue,69162,30323,29575,32008,52328,33807,29133,25667,52808,33521,33643,29851,37622,35602,40277,38595,52230,37371,31032,26861,Upgrade
3,Gross Profit,25659,19206,24478,25562,9580,17450,20968,26279,21805,21597,26164,24688,40193,17931,33168,30509,40700,34149,13699,25248,Upgrade
4,"Selling, General & Admin",11880,17474,20947,23017,16458,16949,18603,23952,24490,17673,23605,17810,26646,9356,21340,22000,26670,19732,23483,19117,Upgrade
5,Operating Expenses,11880,17474,20947,23017,16458,16949,18603,23952,24490,17673,23605,17810,26646,9356,21340,22000,26670,19732,23483,19117,Upgrade
6,Operating Income,13779,1733,3531,2545,-6878,500.57,2365,2327,-2685,3924,2559,6878,13547,8574,11829,8509,14030,14417,-9784,6131,Upgrade
7,Interest Expense,-1068,-1248,-936.34,-898.32,-814.75,-1733,-1468,-1707,-1549,-1516,-1631,-859.83,-690.13,-1525,-1162,-1138,-833.02,-1714,-1837,-1522,Upgrade
8,Interest & Investment Income,638.59,4.86,6.64,9.29,126.5,158.08,0.91,8.64,9.7,133.22,20.89,4.09,6.13,181.69,1.8,14.9,50.12,1.99,1.09,3.22,Upgrade
9,Other Non Operating Income (Expenses),416.22,278.78,254.75,257.07,-46.64,580.64,-51.06,-13.04,-343.64,192.31,37.01,97.8,515.25,-36.01,-59.86,-122.75,-1650,-2117,-2313,-979.41,Upgrade
10,Pretax Income,13766,768.65,2856,1913,-7613,-493.42,847.32,615.05,-4568,2734,985.8,6120,13378,7195,10609,7263,11597,10588,-13933,3633,Upgrade
11,Income Tax Expense,2937,-,-,-,-179.98,-456.73,764.28,242.39,-218.4,-246.79,542.5,1300,1544,1655,1791,1420,1200,92.33,263.08,860.79,Upgrade
12,Earnings From Continuing Operations,10829,768.65,2856,1913,-7433,-36.69,83.04,372.66,-4350,2980,443.31,4820,11834,5541,8819,5843,10398,10496,-14196,2772,Upgrade
13,Minority Interest in Earnings,-563.31,-1051,-625.13,-374.44,1867,-43.01,-102.48,-105.34,-238.62,-1029,-157.21,-2450,-1388,-338.97,-602.68,-351.55,-1667,-191.04,1706,-109.45,Upgrade
14,Net Income,10266,-282.03,2230,1539,-5566,-79.7,-19.45,267.32,-4589,1952,286.1,2370,10447,5202,8216,5492,8731,10304,-12491,2663,Upgrade
15,Net Income to Common,10266,-282.03,2230,1539,-5566,-79.7,-19.45,267.32,-4589,1952,286.1,2370,10447,5202,8216,5492,8731,10304,-12491,2663,Upgrade
16,Net Income Growth,-,-,-,475.68%,-,-,-,-88.72%,-,-62.48%,-96.52%,-56.84%,19.65%,-49.52%,-,106.25%,9.34%,261.56%,-,-33.91%,Upgrade
17,Shares Outstanding (Basic),28,28,28,27,28,27,19,27,28,28,29,14,14,14,14,14,14,14,14,14,Upgrade
18,Shares Outstanding (Diluted),28,28,28,27,28,27,19,27,28,28,29,14,14,14,14,14,14,14,14,14,Upgrade
19,Shares Change (YoY),0.15%,6.16%,41.60%,2.80%,-0.31%,-3.59%,-32.03%,93.61%,100.22%,99.54%,107.19%,0.04%,0.02%,0.07%,0.05%,0.21%,-0.02%,0.07%,0.18%,-0.29%,Upgrade
20,EPS (Basic),372.00,-10.00,81.00,56.00,-202.00,-3.00,-1.00,10.00,-166.00,70.83,10.00,171.67,756.67,376.67,595.00,397.92,632.50,746.67,-905.00,193.33,Upgrade
