,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,129720,104880,102120,107640,124200,135240,143520,143520,124200,151801,207001,133401,248401,332351,274851,126501,109250,103500,89700,96600,77050,Upgrade
1,Market Cap Growth,-22.45%,-22.45%,-28.85%,-25.00%,0%,-10.91%,-30.67%,7.59%,-50.00%,-54.33%,-24.69%,5.45%,127.37%,221.11%,206.41%,30.95%,41.79%,-11.76%,-28.44%,-20.75%,-32.32%,Upgrade
2,Enterprise Value,141400,198272,160189,183089,141263,207375,197824,231667,156748,197298,238359,168653,283654,428124,370624,189020,171770,164334,166535,183595,117628,Upgrade
3,Last Close Price,4700.00,3800.00,3700.00,3900.00,4500.00,4900.00,5200.00,5200.00,4500.00,5500.00,6944.44,8950.62,16666.67,15218.88,12585.86,5659.18,4887.48,4630.24,4012.88,4321.56,3446.96,Upgrade
4,PE Ratio,9.29,7.63,-,-57.36,-30.10,-,-,-,-59.62,-,13.75,7.29,9.47,11.32,9.94,3.86,9.08,11.24,10.60,-,4.57,Upgrade
5,PS Ratio,0.51,0.41,0.46,0.48,0.56,0.63,0.63,0.62,0.51,0.62,0.84,0.54,0.96,1.21,0.95,0.41,0.39,0.40,0.32,0.37,0.26,Upgrade
6,PB Ratio,0.42,0.30,0.31,0.32,0.38,0.40,-,0.44,0.38,0.46,0.62,0.41,-,1.47,-,0.60,0.54,0.51,0.47,0.53,0.39,Upgrade
7,P/TBV Ratio,0.36,0.36,0.36,0.38,0.45,0.48,-,0.50,0.43,0.53,0.71,0.46,-,1.82,-,0.77,0.61,0.58,0.53,0.60,0.44,Upgrade
8,P/FCF Ratio,100.12,80.95,-,-2.41,-,-,-,-1.67,-,-,-,-,-,-,-61.50,-,-,-,3.73,-3.97,-,Upgrade
9,P/OCF Ratio,27.17,27.17,-,-2.43,-,-,-,-1.80,-,-,-,-,-,-,5.45,-,-,2.26,1.02,1.90,-,Upgrade
10,EV/Sales Ratio,0.55,0.77,0.72,0.81,0.64,0.96,0.87,1.00,0.65,0.81,0.96,0.69,1.09,1.56,1.28,0.62,0.62,0.63,0.60,0.70,0.40,Upgrade
11,EV/EBITDA Ratio,4.09,5.73,10.51,13.27,10.13,-,10.15,9.87,6.40,6.65,5.13,3.27,4.65,6.82,5.82,2.70,3.57,3.62,3.59,-,2.22,Upgrade
12,EV/EBIT Ratio,6.55,9.18,172.22,-606.29,-96.26,-,78.90,39.06,25.59,-,8.86,5.34,6.95,10.08,8.63,3.87,6.32,6.63,6.29,-,3.32,Upgrade
13,EV/FCF Ratio,109.14,153.03,-,-4.11,-,-,-,-2.70,-,-,-,-,-,-,-82.93,-,-,-,6.93,-7.54,-,Upgrade
14,Debt / Equity Ratio,0.24,0.24,0.24,0.22,0.20,0.23,-,0.27,0.26,0.30,0.26,0.27,-,0.40,-,0.49,0.43,0.43,0.44,0.50,0.44,Upgrade
15,Debt / EBITDA Ratio,2.41,1.26,3.29,2.90,2.75,-,-,3.37,3.15,13.09,2.59,2.96,-,1.21,-,1.50,1.60,1.11,1.05,-,1.98,Upgrade
16,Debt / FCF Ratio,64.30,64.30,-,-1.63,-,-,-,-1.01,-,-,-,-,-,-,-,-,-,-,3.47,-3.72,-,Upgrade
17,Asset Turnover,0.79,0.43,0.49,0.51,-,-,0.43,0.44,0.61,0.44,-,-,-,-,-,-,1.03,0.81,0.51,0.59,Upgrade,
18,Inventory Turnover,1.56,2.51,1.10,1.13,1.23,-,-,1.09,1.07,2.34,1.35,-,-,-,-,-,-,4.34,2.98,2.42,2.36,Upgrade
19,Quick Ratio,1.39,1.39,1.13,1.33,1.24,1.39,-,1.05,1.02,1.28,1.20,1.31,-,1.03,-,0.76,-,0.90,0.93,0.86,0.94,Upgrade
20,Current Ratio,2.13,2.13,2.38,2.31,2.63,2.31,-,2.06,2.06,1.95,2.23,2.10,-,1.51,-,1.29,-,1.30,1.40,1.32,1.60,Upgrade
21,Return on Equity (ROE),12.80%,0.92%,3.45%,2.29%,-,-,0.10%,0.46%,-5.27%,3.61%,-,-,-,-,17.19%,11.62%,21.22%,22.52%,-29.93%,5.65%,Upgrade,
22,Return on Assets (ROA),7.17%,0.95%,1.99%,1.41%,-,-,1.28%,1.23%,-1.37%,1.97%,-,-,-,-,-,-,9.68%,10.18%,-6.91%,4.36%,Upgrade,
23,Return on Capital (ROIC),8.21%,1.06%,2.21%,1.57%,-,-,1.44%,1.39%,-1.59%,2.35%,-,-,-,-,9.88%,7.38%,12.48%,13.19%,-8.80%,5.47%,Upgrade,
24,Return on Capital Employed (ROCE),6.18%,6.18%,0.28%,-0.09%,-0.44%,-,-,1.75%,1.82%,-,7.66%,9.04%,-,16.70%,-,20.48%,-,10.86%,11.87%,-,15.76%,Upgrade
25,Earnings Yield,10.76%,13.11%,-2.04%,-1.74%,-3.32%,-3.99%,-3.08%,-1.66%,-1.68%,0.01%,7.27%,13.72%,10.56%,8.83%,10.06%,25.88%,11.02%,8.90%,9.43%,1.04%,21.90%,Upgrade
26,FCF Yield,1.00%,1.24%,-76.55%,-41.41%,-24.92%,-,-17.81%,-59.80%,-94.78%,-,-41.31%,-,-4.60%,-,-1.63%,-13.91%,7.07%,-21.80%,26.80%,-25.21%,-16.21%,Upgrade
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,3.29%,-,-,-,9.00%,-,-,-,Upgrade
