,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,104145,17034,46357,20187,93072,-,47178,10611,80431,58887,72012,-,72565,-,21897,-,39539,36081,27011,15018,Upgrade
1,Short-Term Investments,1700,1700,1700,1700,1712,-,1700,1700,1700,-,-,-,-,-,-,-,400,400,400,400,Upgrade
2,Cash & Short-Term Investments,105845,18734,48057,21887,94784,-,48878,12311,82131,58887,72012,-,72565,-,21897,39939,39939,36481,27411,15418,Upgrade
3,Cash Growth,11.67%,-,-1.68%,77.78%,15.41%,-,-32.12%,-,13.18%,-,228.87%,-,81.69%,-,-20.12%,159.04%,-29.82%,59.47%,-48.66%,-30.56%,Upgrade
4,Accounts Receivable,85282,58474,55897,32913,45181,-,44619,41997,43635,49924,54238,-,55260,-,68392,-,60213,47509,60399,64092,Upgrade
5,Other Receivables,25884,55503,55985,62539,27081,-,38670,68867,55659,56675,80845,-,18560,-,26463,-,30044,35684,35607,39074,Upgrade
6,Receivables,111167,113977,111882,95452,72262,-,83289,110864,99294,106599,135083,-,73820,-,94854,-,90257,83193,96007,103165,Upgrade
7,Inventory,103286,117268,103078,105910,103104,-,110983,103203,88330,92501,105971,-,58577,-,65832,-,48387,47786,52372,50058,Upgrade
8,Prepaid Expenses,9018,7922,7494,4801,2894,-,5077,3256,1602,11493,10850,-,3410,-,8542,-,4505,3150,2775,6777,Upgrade
9,Other Current Assets,3747,21711,6341,20245,4858,-,11042,19709,5026,37606,8021,-,5229,-,8656,-,4956,8324,12362,27287,Upgrade
10,Total Current Assets,333062,279612,276851,248295,277902,-,259269,249343,276384,307086,331936,-,213600,-,199780,-,188044,178934,190927,202705,Upgrade
11,"Property, Plant & Equipment",109300,110047,114600,116978,125622,-,131408,135543,139845,140443,142687,-,150699,-,156628,-,150019,136435,130648,113112,Upgrade
12,Long-Term Investments,32000,32000,32000,32400,32400,-,34400,34400,32400,12400,2400,-,2400,-,3000,-,2600,2600,600,600,Upgrade
13,Goodwill,12819,13460,14101,14742,15383,-,16665,17306,17947,18588,19229,-,20511,-,21793,-,-,-,-,-,Upgrade
14,Other Intangible Assets,5615,5649,5683,5716,5750,-,5817,5851,5884,5918,5952,-,6019,-,6087,-,6158,6194,6229,6265,Upgrade
15,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,64.18,-,64.18,-,-,-,-,-,Upgrade
16,Other Long-Term Assets,13167,14112,13752,13395,13526,-,16349,15569,14827,4705,4738,-,2692,-,5427,-,26423,27177,28536,28670,Upgrade
17,Total Assets,505964,454881,456987,431526,470583,-,463909,458012,487287,489141,506941,-,395985,-,392779,-,373244,351340,356941,351352,Upgrade
18,Accounts Payable,45437,23363,31057,23080,34726,-,34395,35053,41715,39066,56603,-,42445,-,54314,-,63379,50088,53316,43713,Upgrade
19,Accrued Expenses,4951,3455,3675,3928,3424,-,3407,3632,5000,3342,3726,-,4781,-,3607,-,6436,4864,5910,4807,Upgrade
20,Short-Term Debt,80736,77139,71415,60293,67512,-,76368,74615,82000,69727,68979,-,62976,-,73427,-,60902,54153,60711,59961,Upgrade
21,Current Income Taxes Payable,9434,5473,4530,2570,2323,-,4028,2671,5030,4810,3885,-,9279,-,4000,-,4668,1955,6046,7812,Upgrade
22,Other Current Liabilities,15986,8100,9271,4396,12346,-,7742,4979,7651,20988,24759,-,22197,-,19271,-,9539,16989,18349,10511,Upgrade
23,Total Current Liabilities,156544,117529,119948,94268,120331,-,125942,120950,141396,137932,157952,-,141678,-,154619,-,144924,128049,144332,126805,Upgrade
24,Long-Term Debt,2572,1334,1359,4316,10875,-,10271,9403,16444,18103,18864,-,27089,-,28217,-,25960,29231,29779,26246,Upgrade
25,Long-Term Deferred Tax Liabilities,2577,2577,2577,2577,1171,-,1171,1171,585.54,585.54,585.54,-,-,-,-,-,324.65,2422,-,-,Upgrade
26,Other Long-Term Liabilities,374.43,374.43,374.43,374.43,612.43,-,570.43,570.43,570.43,720.43,720.43,-,720.43,-,820.43,-,820.43,820.43,835.43,820.43,Upgrade
27,Total Liabilities,162067,121813,124258,101535,132990,-,137954,132095,158996,157341,178121,-,169488,-,183656,-,172029,160522,174946,153871,Upgrade
28,Common Stock,276000,276000,276000,276000,276000,-,276000,276000,276000,230000,230000,-,115000,-,115000,-,115000,115000,115000,115000,Upgrade
29,Retained Earnings,34056,23790,23753,21640,28510,-,34158,34223,34932,85520,83568,-,93814,-,78166,-,70687,61956,53308,66344,Upgrade
30,Comprehensive Income & Other,-375.45,-375.45,-375.45,-375.45,-375.45,-,-746.25,-746.25,-722.15,-275.45,-275.45,-,-68.45,-,-68.45,-,-68.45,-68.45,-68.45,-68.45,Upgrade
31,Total Common Equity,309680,299414,299377,297265,304134,-,309411,309476,310210,315245,313293,-,208745,-,193097,185618,185618,176887,168240,181276,Upgrade
32,Minority Interest,34217,33653,33352,32726,33460,-,16543,16441,18082,16555,15527,-,17753,-,16026,-,15597,13930,13755,16206,Upgrade
33,Shareholders' Equity,343897,333067,332729,329991,337594,-,325954,325917,328291,331800,328820,-,226498,-,209123,201215,201215,190818,181995,197482,Upgrade
34,Total Liabilities & Equity,505964,454881,456987,431526,470583,-,463909,458012,487287,489141,506941,-,395985,-,392779,-,373244,351340,356941,351352,Upgrade
35,Total Debt,83308,78472,72774,64610,78387,-,86640,84017,98444,87829,87843,-,90065,-,101643,86862,86862,83384,90490,86207,Upgrade
36,Net Cash (Debt),22537,-59738,-24718,-42722,16397,-,-37761,-71706,-16313,-28942,-15831,-,-17500,-,-79747,-46923,-46923,-46903,-63080,-70789,Upgrade
37,Net Cash Growth,37.44%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
38,Net Cash Per Share,816.63,-2118.19,-897.61,-1554.63,595.04,-,-1941.78,-2682.41,-590.15,-1050.32,-553.36,-,-1267.57,-,-5775.19,-3400.01,-3399.28,-3398.60,-4570.36,-5140.04,Upgrade
39,Filing Date Shares Outstanding,27.6,28.2,27.6,27.6,27.6,26.57,27.6,27.6,27.6,27.6,27.6,13.81,13.8,13.81,13.8,13.8,13.8,13.8,13.8,13.8,Upgrade
40,Total Common Shares Outstanding,27.6,28.2,27.6,27.6,27.6,26.57,27.6,27.6,27.6,27.6,27.6,13.81,13.8,13.81,13.8,13.8,13.8,13.8,13.8,13.8,Upgrade
41,Working Capital,176518,162084,156904,154027,157571,-,133328,128393,134988,169154,173984,-,71923,-,45162,-,43120,50885,46596,75901,Upgrade
42,Book Value Per Share,11220.30,10616.53,10847.02,10770.47,11019.36,-,11210.56,11212.93,11239.49,11421.91,11351.20,-,15126.47,-,13992.54,13450.58,13450.58,12817.91,12191.27,13135.94,Upgrade
43,Tangible Book Value,291245,280305,279593,276806,283001,-,286929,286320,286378,290739,288112,-,182215,-,165217,179460,179460,170693,162010,175011,Upgrade
44,Tangible Book Value Per Share,10552.37,9938.96,10130.21,10029.22,10253.67,-,10395.99,10373.91,10376.03,10534.02,10438.86,-,13204.02,-,11972.28,13004.34,13004.34,12369.09,11739.86,12681.95,Upgrade
45,Construction In Progress,-,-,-,-,2873,-,2873,2873,81095,79619,78379,-,75336,-,71881,-,64943,46553,38160,19215,Upgrade
