,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4895,3435,3276,3696,4724,5329,6538,-,-,-,-,-,-,-
1,Market Cap Growth,-35.54%,-35.54%,-49.89%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3990,2311,2753,1960,2989,3413,6083,-,-,-,-,-,-,-
3,Last Close Price,36.01,25.27,23.76,26.44,33.79,37.74,47.36,-,-,-,-,-,-,-
4,PE Ratio,34.75,24.38,21.01,23.40,28.60,32.09,41.58,-,-,-,-,-,-,-
5,Forward PE,20.92,14.68,11.28,11.53,12.11,13.66,-,-,-,-,-,-,-,-
6,PS Ratio,2.15,1.51,1.54,1.79,2.36,2.71,3.45,-,-,-,-,-,-,-
7,PB Ratio,2.17,1.52,1.45,1.62,2.10,2.37,2.97,-,-,-,-,-,-,-
8,P/TBV Ratio,1.65,1.65,1.57,1.76,2.28,2.50,3.14,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-7.02,-,-,-,36.99,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-16.32,-,-,-,25.82,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.75,1.01,1.29,0.95,1.49,1.74,3.21,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,32.26,16.90,18.14,12.50,17.53,18.21,33.23,-,-,-,-,-,-,-
13,EV/EBIT Ratio,44.31,20.69,21.25,14.25,19.39,19.62,35.81,-,-,-,-,-,-,-
14,EV/FCF Ratio,-7.57,-,-5.90,-,-,-,34.42,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.04,0.04,0.02,0.01,0.04,0.22,0.22,-,-,0.28,0.22,0.22
16,Debt / EBITDA Ratio,0.99,0.87,0.50,0.63,0.30,0.16,0.47,0.73,0.73,-,-,0.86,0.75,0.75
17,Debt / FCF Ratio,-,-,-0.18,-,-,-,0.49,-,1.03,-,-,2.65,2.34,4.67
18,Asset Turnover,0.74,0.63,0.57,0.61,0.57,-,-,-,-,-,-,1.00,-,
19,Inventory Turnover,5.96,7.49,8.51,8.25,8.33,7.03,-,-,-,-,-,-,7.14,-
20,Quick Ratio,1.59,1.59,2.01,1.68,2.26,2.02,1.84,-,1.02,-,-,-,1.25,1.25
21,Current Ratio,1.89,1.89,2.22,2.40,2.44,2.20,2.02,-,1.20,-,-,-,1.45,1.45
22,Return on Equity (ROE),5.46%,6.36%,5.06%,8.06%,8.24%,10.75%,22.64%,-,-,-,-,23.15%,-,
23,Return on Assets (ROA),1.96%,2.32%,2.00%,1.58%,3.07%,-,-,-,-,-,-,6.92%,-,
24,Return on Capital (ROIC),3.12%,3.44%,2.93%,2.47%,5.18%,6.61%,14.22%,-,-,-,-,14.28%,-,
25,Return on Capital Employed (ROCE),3.89%,4.82%,5.66%,6.00%,6.81%,7.67%,7.61%,-,23.14%,-,-,-,13.29%,6.64%
26,Earnings Yield,2.88%,4.10%,4.76%,4.27%,3.50%,3.12%,2.40%,-,-,-,-,-,-,-
27,FCF Yield,-10.76%,-15.34%,-14.25%,-11.07%,-8.20%,1.19%,2.70%,-,-,-,-,-,-,-
28,Dividend Yield,1.63%,-,2.77%,-,2.11%,-,0.75%,-,-,-,-,-,-,-
29,Payout Ratio,99.12%,134.19%,135.45%,2.04%,107.53%,1.00%,3.57%,3.94%,3.08%,4.00%,4.86%,4.86%,162.97%,162.97%
30,Buyback Yield / Dilution,-20.01%,-0.00%,-19.79%,-33.56%,-33.38%,-34.62%,-10.59%,0.51%,-0.52%,0.40%,-,-,-,-
31,Total Shareholder Return,-18.38%,-0.00%,-17.02%,-33.56%,-31.27%,-34.62%,-9.83%,0.51%,-0.52%,0.40%,-,-,-,-
