,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,575.97,413.4,465.78,534.55,1667,2002,-,591.02,-,-,-,197.19,197.19
1,Short-Term Investments,-,481.47,-,689.15,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,452.11,312.43,140.9,110.7,100,0.18,-,0.4,-,-,-,0.06,0.06
3,Cash & Short-Term Investments,1028,1207,606.69,1334,1767,2002,591.42,591.42,-,-,293.43,197.25,197.25
4,Cash Growth,-41.83%,-39.70%,2.58%,125.63%,-,-,101.56%,199.83%,-,-,-,-,-
5,Accounts Receivable,1607,1304,1307,1193,1198,1200,-,1074,-,-,-,529.11,529.11
6,Other Receivables,1.09,1.11,1.47,0.44,0.65,0.49,-,0.55,-,-,-,54.45,54.45
7,Receivables,1609,1305,1308,1193,1199,1201,-,1075,-,-,-,583.56,583.56
8,Inventory,417.2,243.82,218.61,197.78,258.92,288.83,-,279.76,-,-,-,123.92,123.92
9,Other Current Assets,80.76,14.22,613.21,9.55,6.25,14.36,-,9.74,-,-,-,4.13,4.13
10,Total Current Assets,3135,2770,2747,2735,3231,3506,-,1956,-,-,-,908.87,908.87
11,"Property, Plant & Equipment",563.41,497.79,439.92,417.43,347.25,321.76,-,275.61,-,-,-,110.52,110.52
12,Long-Term Investments,29.14,23.55,46.26,29.46,-,-,-,-,-,-,-,-,-
13,Goodwill,23.27,23.27,23.27,23.27,23.27,23.27,-,-,-,-,-,-,-
14,Other Intangible Assets,150.97,151.97,152.84,153.99,99.36,99.17,-,55.12,-,-,-,43.95,43.95
15,Long-Term Accounts Receivable,-,0.74,-,0.74,-,-,-,-,-,-,-,-,-
16,Long-Term Deferred Tax Assets,13.92,12.37,13.02,13.16,12.91,12.89,-,14.06,-,-,-,9.06,9.06
17,Long-Term Deferred Charges,3.57,3.82,4.28,1.81,-,-,-,-,-,-,-,-,-
18,Other Long-Term Assets,50.68,55.3,8.58,8.23,23.82,5.5,-,8.91,-,-,-,1.17,1.17
19,Total Assets,3970,3539,3435,3383,3738,3969,-,2310,-,-,-,1074,1074
20,Accounts Payable,1447,1081,979.98,996.97,1361,1576,-,1438,-,-,-,477.05,477.05
21,Accrued Expenses,13.07,10.94,6.47,16.86,9.84,9.16,-,9.86,-,-,-,5.21,5.21
22,Short-Term Debt,80.04,60.04,70.02,23,17.51,66.87,-,65.33,-,-,-,76.12,76.12
23,Current Portion of Long-Term Debt,1.38,10.01,11.86,10.01,12.26,4.99,-,33.94,-,-,-,-,-
24,Current Portion of Leases,-,1.67,-,1.96,-,2.03,-,1.69,-,-,-,-,-
25,Current Income Taxes Payable,8.86,1.74,6.14,6.54,11.21,2.14,-,7.33,-,-,-,6.09,6.09
26,Current Unearned Revenue,2.87,8.25,2.99,1.81,2.39,3.7,-,1.32,-,-,-,2.18,2.18
27,Other Current Liabilities,101.16,74.61,65.12,63,56.11,73.13,-,69.1,-,-,-,59.78,59.78
28,Total Current Liabilities,1654,1249,1143,1120,1471,1738,-,1627,-,-,-,626.44,626.44
29,Long-Term Debt,40.03,10,-,-,-,10.01,-,33.08,-,-,-,18.02,18.02
30,Long-Term Leases,1.44,0.85,1.31,1.62,2.29,2.14,-,2.32,-,-,-,0.51,0.51
31,Long-Term Unearned Revenue,7.85,4.6,4.6,4.6,4.6,4.6,-,12.8,-,-,-,3.2,3.2
32,Long-Term Deferred Tax Liabilities,8.86,9.16,9.31,9.56,10.01,10.12,-,1.63,-,-,-,0.01,0.01
33,Total Liabilities,1712,1273,1158,1136,1488,1765,-,1677,-,-,-,648.17,648.17
34,Common Stock,135.94,135.94,97.1,97.1,97.1,97.1,-,72.82,-,-,-,72.82,72.82
35,Additional Paid-In Capital,1685,1683,1721,1720,1720,1720,-,246.59,-,-,-,241.7,241.7
36,Retained Earnings,436.31,446.24,458.68,430.09,433.3,387.41,-,313.48,-,-,-,110.87,110.87
37,Total Common Equity,2257,2266,2277,2247,2250,2204,632.89,632.89,-,-,484.85,425.4,425.4
38,Minority Interest,-,0.3,0.3,-,-,-,-,-,-,-,-,-,-
39,Shareholders' Equity,2257,2266,2277,2247,2250,2204,632.89,632.89,-,-,484.85,425.4,425.4
40,Total Liabilities & Equity,3970,3539,3435,3383,3738,3969,-,2310,-,-,-,1074,1074
41,Total Debt,122.89,82.57,83.2,36.59,32.06,86.05,136.36,136.36,-,-,133.79,94.66,94.66
42,Net Cash (Debt),905.19,1125,523.49,1298,1735,1916,455.06,455.06,-,-,159.64,102.6,102.6
43,Net Cash Growth,-47.83%,-41.30%,15.04%,185.20%,-,-,185.05%,343.54%,-,-,-,-,-
44,Net Cash Per Share,6.66,8.29,3.85,9.55,12.76,16.91,4.46,4.47,-,-,1.56,1.01,1.01
45,Filing Date Shares Outstanding,135.94,135.94,135.94,135.94,135.94,135.94,101.94,101.95,100.98,102.46,102.46,101.95,101.95
46,Total Common Shares Outstanding,135.94,135.94,135.94,135.94,135.94,135.94,101.94,101.95,100.98,102.46,102.46,101.95,101.95
47,Working Capital,1480,1522,1604,1615,1760,1768,-,329.03,-,-,-,282.43,282.43
48,Book Value Per Share,16.60,16.67,16.75,16.53,16.55,16.21,6.21,6.21,-,-,4.76,4.17,4.17
49,Tangible Book Value,2083,2090,2101,2070,2127,2082,577.77,577.77,-,-,441.47,381.45,381.45
50,Tangible Book Value Per Share,15.32,15.38,15.45,15.22,15.65,15.31,5.67,5.67,-,-,4.33,3.74,3.74
51,Buildings,-,174.68,-,174.68,-,168.83,-,126.82,-,-,-,33.4,33.4
52,Machinery,-,189.5,-,179.87,-,158.7,-,92.38,-,-,-,57.21,57.21
53,Construction In Progress,-,215.74,-,135.88,-,74.5,-,84.51,-,-,-,48.59,48.59
