,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,697.02,552.85,486.12,503.23,553.34,485.85,421.25,489.37,484.02,409.21,409.21,262.89,262.89
1,Other Revenue,-,-,-,37.38,-,-,-,16.47,-,-,-,4.65,4.65
2,Revenue,697.02,552.85,486.12,540.6,553.34,485.85,421.25,505.85,484.02,409.21,409.21,267.54,267.54
3,Revenue Growth (YoY),25.97%,13.79%,15.40%,6.87%,14.32%,18.73%,2.94%,89.07%,80.91%,-,-,-,-
4,Cost of Revenue,619.02,492.14,429.65,475.36,481.16,428.72,361.39,434.9,417.31,350.2,350.2,221.24,221.24
5,Gross Profit,78,60.72,56.47,65.24,72.18,57.13,59.86,70.95,66.7,59,59,46.3,46.3
6,"Selling, General & Admin",15.15,13.24,12.63,15.47,13.06,12.29,6.95,8.92,7.31,6.86,6.86,5.96,5.96
7,Research & Development,21.08,16.72,15.33,18.05,15.76,14.44,13.05,16.82,12.18,12.85,12.85,8.82,8.82
8,Other Operating Expenses,1.34,1.14,1.61,2.39,-4.69,-12.06,-2.23,3.59,0.3,-0.77,-0.77,0.93,0.93
9,Operating Expenses,48.51,28.29,29.24,42.69,24.81,16.69,16.09,28.59,23.4,22.85,22.85,16.58,16.58
10,Operating Income,29.49,32.42,27.23,22.55,47.37,40.45,43.77,42.35,43.3,36.15,36.15,29.71,29.71
11,Interest Expense,-0.65,-0.51,-0.55,-0.23,-,-1.87,-1.36,-2.78,-,-1.43,-1.43,-1.04,-1.04
12,Interest & Investment Income,2.62,2.4,6.39,10.22,12.46,2.37,1.5,0.88,1.27,1.02,1.02,0.31,0.31
13,Currency Exchange Gain (Loss),1.22,-1.22,-,-0.99,0.22,-0.22,-,5.55,-3.25,1.63,1.63,0.01,0.01
14,Other Non Operating Income (Expenses),0.93,0.48,-0.72,2.02,-2.62,0.76,-0.95,-5.8,4.73,-0.27,-0.27,-0.12,-0.12
15,EBT Excluding Unusual Items,33.6,33.57,32.34,33.57,57.43,41.48,42.95,40.21,46.05,37.09,37.09,28.87,28.87
16,Gain (Loss) on Sale of Investments,1.21,2.23,0.9,0.86,-0.33,-0.25,0.03,0.42,0.1,-0.44,-0.44,0.03,0.03
17,Gain (Loss) on Sale of Assets,-0.01,0.12,-0.04,0.04,-0.28,0.07,-,0.04,0.02,-0.17,-0.17,-0.02,-0.02
18,Asset Writedown,-2.08,0.95,-0.95,0.89,-0.89,0.68,-0.68,2.7,-2.7,-,-,-,-
19,Other Unusual Items,1.41,3.64,0.28,11.42,0.6,-0.6,-,2.4,0.33,-0.16,-0.16,0.29,0.29
20,Pretax Income,34.14,40.51,32.53,46.77,56.53,41.39,42.3,45.77,43.8,36.32,36.32,29.18,29.18
21,Income Tax Expense,3.29,4.4,3.94,1.44,10.64,3.27,6.48,-0.47,6.73,5.58,5.58,4.55,4.55
22,Earnings From Continuing Operations,30.85,36.12,28.59,45.33,45.89,38.12,35.82,46.23,37.06,30.74,30.74,24.62,24.62
23,Minority Interest in Earnings,-,-,-0,-,-,-,-,-,-,-,-,-,-
24,Net Income,30.85,36.12,28.59,45.33,45.89,38.12,35.82,46.23,37.06,30.74,30.74,24.62,24.62
25,Net Income to Common,30.85,36.12,28.59,45.33,45.89,38.12,35.82,46.23,37.06,30.74,30.74,24.62,24.62
26,Net Income Growth,-32.78%,-5.25%,-20.18%,-1.95%,23.81%,24.00%,16.53%,87.78%,50.54%,-,-,-,-
27,Shares Outstanding (Basic),136,136,136,136,136,113,102,102,101,102,102,101,101
28,Shares Outstanding (Diluted),136,136,136,136,136,113,102,102,101,102,102,101,101
29,Shares Change (YoY),0.00%,19.79%,33.56%,33.38%,34.62%,10.59%,-0.51%,0.52%,-0.40%,-,-,-,-
30,EPS (Basic),0.23,0.27,0.21,0.33,0.34,0.34,0.35,0.45,0.37,0.30,0.30,0.24,0.24
31,EPS (Diluted),0.23,0.27,0.21,0.33,0.34,0.34,0.35,0.45,0.37,0.30,0.30,0.24,0.24
32,EPS Growth,-32.78%,-20.90%,-40.24%,-26.49%,-8.03%,12.13%,17.13%,86.80%,51.14%,-,-,-,-
33,Free Cash Flow,-175.84,70.27,-86.08,-335.25,-115.84,128.25,-64.29,115.11,-2.31,9.93,9.93,20.25,20.25
34,Free Cash Flow Per Share,-1.29,0.52,-0.63,-2.47,-0.85,1.13,-0.63,1.13,-0.02,0.10,0.10,0.20,0.20
35,Dividend Per Share,-,0.300,-,0.357,-,0.357,-,-,-,-,-,-,-
36,Dividend Growth,-,-15.99%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,11.19%,10.98%,11.62%,12.07%,13.04%,11.76%,14.21%,14.03%,13.78%,14.42%,14.42%,17.30%,17.30%
38,Operating Margin,4.23%,5.86%,5.60%,4.17%,8.56%,8.32%,10.39%,8.37%,8.95%,8.84%,8.84%,11.11%,11.11%
39,Profit Margin,4.43%,6.53%,5.88%,8.39%,8.29%,7.85%,8.50%,9.14%,7.66%,7.51%,7.51%,9.20%,9.20%
40,Free Cash Flow Margin,-25.23%,12.71%,-17.71%,-62.01%,-20.93%,26.40%,-15.26%,22.76%,-0.48%,2.43%,2.43%,7.57%,7.57%
41,EBITDA,35.21,40.3,32.96,28.28,50.22,45.34,46.62,45.21,45.91,38.76,38.76,31.61,31.61
42,EBITDA Margin,5.05%,7.29%,6.78%,5.23%,9.08%,9.33%,11.07%,8.94%,9.49%,9.47%,9.47%,11.82%,11.82%
43,D&A For EBITDA,5.73,7.87,5.73,5.73,2.85,4.89,2.85,2.85,2.61,2.61,2.61,1.9,1.9
44,EBIT,29.49,32.42,27.23,22.55,47.37,40.45,43.77,42.35,43.3,36.15,36.15,29.71,29.71
45,EBIT Margin,4.23%,5.86%,5.60%,4.17%,8.56%,8.32%,10.39%,8.37%,8.95%,8.84%,8.84%,11.11%,11.11%
46,Effective Tax Rate,9.64%,10.85%,12.12%,3.08%,18.82%,7.91%,15.31%,-,15.37%,15.36%,15.36%,15.61%,15.61%
47,Revenue as Reported,697.02,552.85,486.12,540.6,553.34,485.85,421.25,505.85,484.02,409.21,409.21,-,-
