,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,507,629,603,1084,854,885,543,604,569,359,709,Upgrade
1,Market Cap Growth,-41.94%,-41.94%,-29.41%,22.53%,57.34%,46.38%,-4.62%,68.29%,-19.75%,-48.75%,-22.12%,Upgrade
2,Enterprise Value,-110,-181,-227,206,69,273,119,-27,4,-372,-43,Upgrade
3,Last Close Price,0.06,0.07,0.07,0.12,0.10,0.10,0.06,0.07,0.07,0.04,0.08,Upgrade
4,PE Ratio,-,-,-,8.41,2.99,1.56,1.65,-,-,-,-,Upgrade
5,PS Ratio,0.04,0.04,0.02,0.04,0.04,0.05,0.05,0.06,0.11,1.09,3.00,Upgrade
6,PB Ratio,0.44,0.55,0.51,0.76,0.65,0.68,0.49,0.82,0.75,0.46,0.84,Upgrade
7,P/TBV Ratio,0.55,0.55,0.51,0.76,0.65,0.68,0.49,0.82,0.75,0.46,0.84,Upgrade
8,P/FCF Ratio,-,-,-,-,2.60,2.57,5.95,-,-7.44,-,-,Upgrade
9,P/OCF Ratio,-,-,53.38,-,1.59,2.42,5.47,-,-7.56,-,-,Upgrade
10,EV/Sales Ratio,-,-,-,0.01,0.00,0.02,0.01,-,0.00,-,-,Upgrade
11,EV/EBITDA Ratio,-,-,-,1.10,0.17,0.83,7.35,-,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,0.24,1.12,-6.21,-,-,-,-,Upgrade
13,EV/FCF Ratio,0.54,-,-,-,0.21,0.79,1.31,-,-0.06,-,-,Upgrade
14,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.07,0.20,0.20,0.18,Upgrade
15,Debt / FCF Ratio,-,-,-,-,0.09,0.10,0.34,-,-2.00,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,15.83%,13.88%,-1.25%,-,-,-,-,Upgrade
17,Earnings Yield,-46.01%,-37.07%,-24.95%,11.89%,33.46%,63.98%,60.66%,-8.14%,-13.96%,-649.31%,-322.79%,Upgrade
18,FCF Yield,-40.18%,-32.36%,-10.79%,8.34%,38.40%,38.91%,16.80%,-2.04%,-13.44%,-40.31%,-6.14%,Upgrade
19,Buyback Yield / Dilution,0.63%,0.56%,0.70%,-0.36%,-0.50%,-0.00%,-,-,-,-,0.69%,Upgrade
20,Total Shareholder Return,0.63%,0.56%,0.70%,-0.36%,-0.50%,-0.00%,-,-,-,-,0.69%,Upgrade
