,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,3947,2480,3032,3085,1994,3576,2002,2294,1411,903.47
1,Revenue Growth (YoY),30.17%,-19.62%,52.04%,-13.72%,-0.38%,55.89%,41.83%,153.88%,119.05%,-14.13%
2,Cost of Revenue,3804,2275,2913,2870,1894,3390,1934,2165,1393,892.33
3,Gross Profit,143.26,204.58,118.97,214.47,100.42,185.57,67.65,128.35,18.69,11.15
4,"Selling, General & Admin",36.81,40.27,47.44,46.7,36.88,42.94,43.91,39.2,25.98,32.51
5,Operating Expenses,36.81,40.27,47.44,46.7,36.88,42.94,43.91,39.2,25.98,32.51
6,Operating Income,106.46,164.31,71.53,167.77,63.54,142.63,23.75,89.15,-7.3,-21.36
7,Interest Expense,-19.26,-19.76,-15,-17.05,-7.46,-6.13,-5.37,-4.39,-3.96,-0.96
8,Interest & Investment Income,25.66,27.73,19.68,6.15,1.37,0.11,0.19,0.53,3.53,4.39
9,Earnings From Equity Investments,3.27,-0.35,0.54,-2.65,4.02,-4.43,3.08,15.06,-0.57,-1.59
10,Currency Exchange Gain (Loss),0.16,0.17,-,-0.18,0.84,-,-,-,-,-
11,Other Non Operating Income (Expenses),1.46,0.45,1.04,1.1,2.61,1.39,0.71,0.83,1.33,0.84
12,EBT Excluding Unusual Items,117.75,172.55,77.79,155.14,64.92,133.57,22.35,101.18,-6.96,-18.68
13,Gain (Loss) on Sale of Investments,0.13,0.17,0.12,0.11,0.11,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,0.02,0.07
15,Asset Writedown,-,-,-,-,-,-,-,-,-,-40.59
16,Other Unusual Items,-,-,-,-,-,-,-,9.11,9.44,-
17,Pretax Income,117.87,172.71,77.91,155.25,65.03,133.57,22.35,110.29,2.5,-59.19
18,Income Tax Expense,17.98,29.96,15.77,30.99,15.23,24.21,8.83,16.99,1.11,-3.61
19,Net Income,99.89,142.76,62.13,124.27,49.8,109.35,13.53,93.3,1.4,-55.58
20,Net Income to Common,99.89,142.76,62.13,124.27,49.8,109.35,13.53,93.3,1.4,-55.58
21,Net Income Growth,60.77%,14.88%,24.76%,13.64%,268.14%,17.20%,869.05%,-,-98.25%,-
22,Shares Outstanding (Basic),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
23,Shares Outstanding (Diluted),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
24,EPS (Basic),0.05,0.07,0.03,0.06,0.02,0.05,0.01,0.05,0.00,-0.03
25,EPS (Diluted),0.05,0.07,0.03,0.06,0.02,0.05,0.01,0.05,0.00,-0.03
26,EPS Growth,60.77%,14.88%,24.76%,13.64%,268.14%,17.20%,869.05%,-,-98.25%,-
27,Free Cash Flow,436.03,266.88,343.71,783.32,-206.97,876.91,-141.77,-371.52,-29.4,-104.83
28,Free Cash Flow Per Share,0.22,0.13,0.17,0.39,-0.10,0.44,-0.07,-0.19,-0.01,-0.05
29,Operating Margin,2.70%,6.63%,2.36%,5.44%,3.19%,3.99%,1.19%,3.89%,-0.52%,-2.36%
30,Profit Margin,2.53%,5.76%,2.05%,4.03%,2.50%,3.06%,0.68%,4.07%,0.10%,-6.15%
31,Free Cash Flow Margin,11.05%,10.76%,11.34%,25.39%,-10.38%,24.52%,-7.08%,-16.20%,-2.08%,-11.60%
32,EBITDA,111.31,172.31,72.02,168.07,63.77,142.97,24.02,89.44,-7,-20.67
33,D&A For EBITDA,4.85,8,0.49,0.3,0.22,0.34,0.27,0.29,0.3,0.69
34,EBIT,106.46,164.31,71.53,167.77,63.54,142.63,23.75,89.15,-7.3,-21.36
