,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1120,880,800,800,740,680,720,770,850,730,680
1,Market Cap Growth,10.00%,10.00%,8.11%,17.65%,2.78%,-11.69%,-15.29%,5.48%,25.00%,-21.51%,-31.31%
2,Enterprise Value,-778,-722,-555,-306,437,-115,885,711,410,219,102
3,Last Close Price,0.56,0.44,0.36,0.36,0.29,0.27,0.26,0.28,0.29,0.25,0.23
4,PE Ratio,4.62,3.63,3.90,4.29,4.25,4.27,5.86,7.21,8.98,-13.47,-
5,PS Ratio,0.17,0.14,0.15,0.13,0.15,0.12,0.13,0.18,0.23,0.32,0.44
6,PB Ratio,0.69,0.54,0.49,0.54,0.49,0.49,0.51,0.59,0.63,0.58,0.54
7,P/TBV Ratio,0.55,0.55,0.50,0.54,0.49,0.49,0.51,0.59,0.63,0.58,0.54
8,P/FCF Ratio,1.59,1.25,1.31,0.71,1.28,-,0.98,-,-,-,-
9,P/OCF Ratio,1.00,1.00,1.07,0.62,0.96,-,0.91,-,4.67,-,-
10,EV/Sales Ratio,-,-,-,-,0.09,-,0.16,0.17,0.11,0.09,0.07
11,EV/EBITDA Ratio,-,-,-,-,1.88,-,5.30,6.27,4.97,-,-
12,EV/EBIT Ratio,-,-,-,-,1.89,-,5.32,6.30,5.01,-,-
13,EV/FCF Ratio,-1.11,-,-,-,0.76,-,1.20,-,-,-,-
14,Debt / Equity Ratio,0.32,0.32,0.31,0.43,0.41,0.37,0.50,0.43,0.63,0.23,0.11
15,Debt / FCF Ratio,0.73,0.73,0.81,0.56,1.08,-,0.97,-,-,-,-
16,Return on Capital Employed (ROCE),16.27%,16.27%,14.56%,12.20%,11.50%,10.97%,8.68%,6.22%,4.46%,-,-
17,Earnings Yield,21.66%,27.57%,25.61%,23.30%,23.52%,23.41%,17.07%,13.87%,11.14%,-7.42%,3.53%
18,FCF Yield,62.76%,79.88%,76.32%,140.88%,77.89%,98.52%,102.10%,-66.66%,-47.17%,-18.39%,-32.24%
19,Total Shareholder Return,8.93%,-,-,-,-,-,-,-,-,-,-
