,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2804,2442,2302,3205,4139,4803,4354,4517,4860,5941,6866,6360,-,-,-,-,-,-,-,-
1,Market Cap Growth,-14.83%,-49.15%,-47.14%,-29.03%,-14.83%,-19.16%,-36.58%,-28.98%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1877,1455,1230,2040,2974,3618,3122,3247,3590,4677,5632,6185,-,-,-,-,-,-,-,-
3,Last Close Price,22.94,19.98,18.83,25.76,33.27,38.60,34.99,35.91,38.64,47.24,54.60,50.22,-,-,-,-,-,-,-,-
4,PE Ratio,23.24,31.59,24.37,26.33,36.77,39.89,38.36,32.63,30.02,34.13,40.61,47.80,-,-,-,-,-,-,-,-
5,Forward PE,40.96,35.68,11.48,15.63,15.73,21.11,20.58,18.44,21.20,26.30,34.04,-,-,-,-,-,-,-,-,-
6,PS Ratio,7.33,5.97,5.38,7.06,10.08,12.58,11.82,11.56,10.44,11.62,13.31,13.19,-,-,-,-,-,-,-,-
7,PB Ratio,1.57,1.35,1.29,1.75,2.29,2.69,2.49,2.58,2.80,3.48,4.10,3.85,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.35,1.39,1.32,1.79,2.35,2.75,2.56,2.64,-,3.57,4.21,3.95,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-50.52,-,-39.72,-,-,-,-,-,-,98.45,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,47.55,30.89,25.37,35.37,-,37.06,50.30,25.40,34.99,-,36.83,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,4.92,3.56,2.87,4.49,7.25,9.48,8.47,8.31,7.71,9.15,10.91,12.83,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,14.87,-,-,-,21.71,29.11,28.33,25.31,22.43,25.15,29.33,36.30,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,19.95,14.76,-,16.18,27.46,37.45,37.15,31.52,26.33,28.54,32.92,40.84,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-16.94,-30.09,-,-25.29,-,-,-,-,-,-,80.75,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.01,0.05,0.05,0.05,0.21,0.21
16,Debt / EBITDA Ratio,0.00,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.02,0.10,0.12,0.12,0.26,0.26
17,Debt / FCF Ratio,-,-0.01,-,0.00,-,-,-,-,-,-,0.01,-,0.00,-,0.08,0.35,0.19,0.20,0.75,1.49
