,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,18145,15012,15747,16513,18291,18434,18360,24341,27481,27077,37011,Upgrade
1,Market Cap Growth,-9.09%,-9.09%,-13.91%,-10.42%,-0.38%,-24.27%,-33.19%,-10.11%,-25.75%,-18.96%,15.84%,Upgrade
2,Enterprise Value,90984,87573,82056,83902,89566,76298,65581,67505,61845,55910,63872,Upgrade
3,Last Close Price,7.53,6.23,6.21,6.51,6.97,7.03,6.68,8.86,9.59,9.46,12.10,Upgrade
4,PE Ratio,7.39,6.10,8.28,21.60,14.59,5.77,5.14,7.48,6.86,4.93,7.37,Upgrade
5,Forward PE,6.18,3.77,5.19,3.77,5.73,4.85,4.65,6.08,7.03,5.96,7.48,Upgrade
6,PS Ratio,0.89,0.74,0.77,1.10,1.18,0.98,0.99,1.09,1.41,1.75,2.20,Upgrade
7,PB Ratio,0.60,0.28,0.29,0.32,0.33,0.30,0.27,0.41,0.47,0.59,0.78,Upgrade
8,P/TBV Ratio,3.88,3.88,8.96,-,24.23,3.35,2.41,4.59,5.73,8.45,6.07,Upgrade
9,P/FCF Ratio,-,-,-,-,6.30,-3.05,-,-,-,-,12.13,Upgrade
10,P/OCF Ratio,3.00,3.00,2.84,2.19,1.80,3.19,4.09,4.05,13.44,-,5.04,Upgrade
11,PEG Ratio,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,Upgrade
12,EV/Sales Ratio,4.50,4.33,4.00,5.61,5.77,4.07,3.54,3.02,3.18,3.60,3.80,Upgrade
13,EV/EBITDA Ratio,9.16,10.18,8.86,13.56,14.40,11.24,9.41,6.98,8.36,9.51,8.50,Upgrade
14,EV/EBIT Ratio,13.86,16.16,13.26,26.09,28.98,18.71,15.42,9.53,11.57,13.70,11.07,Upgrade
15,EV/FCF Ratio,-18.85,-,-,-,30.85,-12.60,-,-,-,-,20.93,Upgrade
16,Debt / Equity Ratio,1.15,1.15,1.09,1.06,1.06,1.00,0.81,0.67,0.60,0.70,0.58,Upgrade
17,Debt / FCF Ratio,-,-,-,-,20.24,-10.13,-,-,-,-,8.95,Upgrade
18,Return on Capital Employed (ROCE),5.97%,6.03%,7.00%,4.00%,3.64%,4.16%,4.09%,8.60%,6.75%,5.40%,7.56%,Upgrade
19,Earnings Yield,13.57%,16.40%,12.08%,4.91%,7.36%,17.83%,19.96%,13.74%,14.92%,20.63%,13.82%,Upgrade
20,FCF Yield,-26.61%,-32.16%,-28.49%,-0.18%,15.87%,-32.84%,-43.34%,-7.84%,-14.97%,-5.64%,8.25%,Upgrade
21,Buyback Yield / Dilution,-0.47%,-0.65%,-0.31%,-5.08%,-5.37%,-3.00%,-3.08%,-1.59%,-1.48%,-1.76%,-1.87%,Upgrade
22,Total Shareholder Return,4.84%,-0.65%,-0.31%,-5.08%,-5.37%,-3.00%,-3.08%,-1.59%,-1.48%,-1.76%,-1.87%,Upgrade
