,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,7978,7598,7700,10830,10790,10031,11213,9073,10869,11932,Upgrade
1,Short-Term Investments,2968,3132,3761,4472,3045,3125,3382,5764,881.84,1011,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,575.62,-,-,-,Upgrade
3,Cash & Short-Term Investments,10945,10730,11461,15302,13835,13155,15170,14837,11751,12942,Upgrade
4,Cash Growth,-4.49%,-29.88%,-17.16%,16.32%,-8.80%,-11.34%,29.09%,14.64%,-21.46%,-14.54%,Upgrade
5,Accounts Receivable,2259,2424,2485,2697,2147,2442,2477,2925,2733,2121,Upgrade
6,Other Receivables,1297,1222,2893,3141,7439,3570,4138,1289,4515,814.99,Upgrade
7,Receivables,3556,3646,5378,5838,9585,6012,8778,4214,7248,2936,Upgrade
8,Inventory,3659,4216,5654,6055,5614,8882,15252,14150,14126,9699,Upgrade
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,418.58,Upgrade
10,Other Current Assets,2239,1851,2831,3282,1430,1871,1654,5778,3260,5630,Upgrade
11,Total Current Assets,20399,20444,25323,30477,30464,29920,40854,38980,36385,31626,Upgrade
12,"Property, Plant & Equipment",26412,27117,20900,24492,25590,26343,25544,19791,16259,15847,Upgrade
13,Long-Term Investments,30333,29519,28765,29511,32338,32890,16804,16867,13885,15129,Upgrade
14,Goodwill,530.55,543.52,530.68,552,709.45,657.92,290.41,279.04,257.54,262.43,Upgrade
15,Other Intangible Assets,25707,29280,32449,29941,31127,32922,31595,31646,28114,26261,Upgrade
16,Long-Term Accounts Receivable,3073,4007,3930,4190,1195,3049,911.17,584.96,85.1,114.3,Upgrade
17,Long-Term Deferred Tax Assets,703.81,638.51,667.57,755.95,789.35,859.84,1645,1688,1473,1248,Upgrade
18,Other Long-Term Assets,20508,18946,14584,13575,14897,11409,3247,3351,1071,921.65,Upgrade
19,Total Assets,127667,130495,127149,133495,137110,138051,120891,113187,97530,91409,Upgrade
20,Accounts Payable,3652,4338,3580,4208,3764,3872,979.17,1178,533.9,644.26,Upgrade
21,Accrued Expenses,-,-,-,-,-,-,-,-,-,1405,Upgrade
22,Short-Term Debt,5086,5211,11711,3800,14118,7962,4648,4548,-,403.64,Upgrade
23,Current Portion of Long-Term Debt,22559,25313,18981,29440,14830,15224,15746,13373,4963,910.45,Upgrade
24,Current Portion of Leases,69.81,64.72,78.39,83.15,161.83,97.26,81.89,117.84,136.55,100.45,Upgrade
25,Current Income Taxes Payable,1302,2079,590.38,779.25,634.01,1760,647.65,2186,1547,1659,Upgrade
26,Current Unearned Revenue,245.84,169.96,5664,5627,268.62,303.12,6553,2882,5824,4815,Upgrade
27,Other Current Liabilities,4833,4833,6156,4647,5399,4932,9846,9691,8912,5182,Upgrade
28,Total Current Liabilities,37749,42009,46760,48584,39177,34151,38502,33976,21916,15120,Upgrade
29,Long-Term Debt,32365,28361,23334,24426,30871,30256,18867,16176,26308,25179,Upgrade
30,Long-Term Leases,918.89,947.53,968.22,990.27,1343,1430,707.79,737.75,694.63,722.27,Upgrade
31,Long-Term Unearned Revenue,924.76,1029,1070,1087,1384,1281,1325,1232,-,1143,Upgrade
32,Long-Term Deferred Tax Liabilities,2310,2647,2678,2810,2661,2783,1627,2253,1763,1774,Upgrade
33,Other Long-Term Liabilities,501.71,524.85,327.08,397.64,543.09,478.2,340.24,332.99,1259,129.66,Upgrade
34,Total Liabilities,74769,75519,75138,78296,75979,70379,61369,54708,51941,44067,Upgrade
35,Common Stock,2410,2393,2393,2388,2388,2267,2266,2195,11516,2162,Upgrade
36,Additional Paid-In Capital,10982,10878,10874,10843,10843,10078,10083,9347,-,8950,Upgrade
37,Retained Earnings,22400,22705,20895,21417,20419,21983,20058,21209,-,19732,Upgrade
38,Comprehensive Income & Other,-5680,-4393,-4849,-3400,3694,6875,4775,3966,20062,1772,Upgrade
39,Total Common Equity,30111,31582,29313,31248,37345,41204,37183,36718,31577,32616,Upgrade
40,Minority Interest,22787,23393,22697,23951,23785,26469,22339,21761,14012,14725,Upgrade
41,Shareholders' Equity,52898,54976,52010,55199,61130,67672,59522,58479,45589,47341,Upgrade
42,Total Liabilities & Equity,127667,130495,127149,133495,137110,138051,120891,113187,97530,91409,Upgrade
43,Total Debt,60999,59898,55073,58740,61325,54970,40051,34953,32103,27316,Upgrade
44,Net Cash (Debt),-50053,-49167,-43612,-43438,-47490,-41815,-24881,-20116,-20351,-14374,Upgrade
45,Net Cash Per Share,-20.82,-20.52,-18.26,-18.18,-20.90,-18.44,-11.28,-9.15,-9.37,-6.63,Upgrade
46,Filing Date Shares Outstanding,2410,2393,2393,2388,2388,2267,2266,2195,2164,2162,Upgrade
47,Total Common Shares Outstanding,2410,2393,2393,2388,2388,2267,2266,2195,2164,2162,Upgrade
48,Working Capital,-17350,-21566,-21437,-18107,-8713,-4231,2352,5004,14469,16506,Upgrade
49,Book Value Per Share,12.50,13.20,12.25,13.09,14.66,17.15,15.38,15.67,13.51,14.01,Upgrade
50,Tangible Book Value,3873,1758,-3666,754.73,5509,7623,5297,4793,3206,6093,Upgrade
51,Tangible Book Value Per Share,1.61,0.73,-1.53,0.32,1.33,2.33,1.31,1.12,0.40,1.74,Upgrade
52,Land,-,16320,-,13752,-,-,-,-,-,-,Upgrade
53,Machinery,-,10605,-,10479,-,10535,-,6748,-,5666,Upgrade
54,Construction In Progress,-,3104,-,3436,-,3927,-,3100,-,1846,Upgrade
55,Leasehold Improvements,-,29.22,-,28.6,-,30.08,-,28.51,-,23.04,Upgrade
