,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,2.04,4.56,7.08,16.5,17.37,28.8,38.22,45.67,25.92,34.92,Upgrade
1,Cash & Short-Term Investments,2.04,4.56,7.08,16.5,17.37,28.8,38.22,45.67,25.92,34.92,Upgrade
2,Cash Growth,-71.23%,-72.36%,-59.25%,-42.72%,-54.56%,-36.94%,47.43%,30.78%,-27.50%,67.03%,Upgrade
3,Other Receivables,1.56,0.06,1.71,0.05,1.8,0.02,1.97,0.03,1.67,0.61,Upgrade
4,Receivables,1.56,0.06,1.71,0.05,1.8,0.02,1.97,0.03,1.67,0.61,Upgrade
5,Prepaid Expenses,-,0.81,-,0.87,-,0.98,-,1.01,-,0.97,Upgrade
6,Total Current Assets,3.6,5.44,8.78,17.42,19.17,29.8,40.18,46.7,27.59,36.5,Upgrade
7,"Property, Plant & Equipment",653.98,707.09,721.66,706.64,722.75,734.66,763.81,786.64,815.68,732.46,Upgrade
8,Long-Term Investments,0.59,0.65,0.63,0.63,0.63,0.65,0.66,0.7,0.7,0.64,Upgrade
9,Other Long-Term Assets,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.14,0.12,Upgrade
10,Total Assets,658.29,713.3,731.19,724.81,742.67,765.23,804.78,834.17,844.1,769.72,Upgrade
11,Accounts Payable,0.99,1.16,66.38,60.58,39.23,14.5,6.65,1.12,2.03,0.83,Upgrade
12,Accrued Expenses,0.94,0.89,-,0.91,-,1.14,1.35,1.46,-,1.06,Upgrade
13,Current Portion of Leases,0.42,0.43,0.2,0.4,0.21,0.62,0.61,0.83,0.39,0.38,Upgrade
14,Other Current Liabilities,-,-,0.92,-,0.85,-,-,-,-,-,Upgrade
15,Total Current Liabilities,2.35,2.48,67.51,61.89,40.29,16.27,8.61,3.41,2.41,2.27,Upgrade
16,Long-Term Debt,86.22,75.76,65.49,64.62,53.48,51.31,59.06,57.25,32.58,35.39,Upgrade
17,Long-Term Leases,0.2,0.43,0.78,0.72,0.59,0.56,0.97,1.11,1.83,1.11,Upgrade
18,Long-Term Deferred Tax Liabilities,71.01,79.01,84.97,86.37,96.62,106.95,119.98,126.71,134.14,128.85,Upgrade
19,Other Long-Term Liabilities,58.85,57.1,-,-,-,-,-,-,-,-,Upgrade
20,Total Liabilities,218.62,214.78,218.74,213.6,190.98,175.09,188.62,188.47,170.97,167.63,Upgrade
21,Common Stock,928.02,928.02,928.02,928.02,928.02,928.02,927.92,927.92,927.92,927.92,Upgrade
22,Additional Paid-In Capital,4469,4469,4469,4469,4469,4469,4469,4469,4469,4469,Upgrade
23,Retained Earnings,-4248,-4229,-4225,-4215,-4187,-4159,-4161,-4138,-4126,-4124,Upgrade
24,Comprehensive Income & Other,-708.86,-669.48,-658.86,-670.15,-657.6,-647.78,-619.46,-612.82,-597.29,-670.59,Upgrade
25,Total Common Equity,439.67,498.52,512.45,511.21,551.69,590.14,616.16,645.7,673.13,602.09,Upgrade
26,Shareholders' Equity,439.67,498.52,512.45,511.21,551.69,590.14,616.16,645.7,673.13,602.09,Upgrade
27,Total Liabilities & Equity,658.29,713.3,731.19,724.81,742.67,765.23,804.78,834.17,844.1,769.72,Upgrade
28,Total Debt,86.83,76.62,66.48,65.73,54.28,52.49,60.64,59.18,34.8,36.89,Upgrade
29,Net Cash (Debt),-84.8,-72.06,-59.4,-49.24,-36.91,-23.69,-22.42,-13.52,-8.88,-1.97,Upgrade
30,Net Cash Per Share,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,Upgrade
31,Filing Date Shares Outstanding,9280,9280,9280,9280,9280,9280,9279,9279,9279,9279,Upgrade
32,Total Common Shares Outstanding,9280,9280,9280,9280,9280,9280,9279,9279,9279,9279,Upgrade
33,Working Capital,1.25,2.96,-58.72,-44.47,-21.12,13.53,31.58,43.29,25.18,34.23,Upgrade
34,Book Value Per Share,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,Upgrade
35,Tangible Book Value,439.67,498.52,512.45,511.21,551.69,590.14,616.16,645.7,673.13,602.09,Upgrade
36,Tangible Book Value Per Share,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,Upgrade
37,Machinery,-,4.98,-,4.96,-,4.96,-,4.9,-,4.49,Upgrade
