,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+17 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+17 Quarters
0,Revenue,17883,18666,18674,17767,21426,15856,21304,15936,23142,21626,24481,164557,94923,18918,34458,23606,28173,248643,17762,16720,Upgrade
1,Revenue Growth (YoY),-16.54%,17.72%,-12.34%,11.49%,-7.41%,-26.68%,-12.98%,-90.32%,-75.62%,14.31%,-28.95%,597.09%,236.94%,-92.39%,94.00%,41.19%,36.24%,1207.59%,-62.50%,-82.71%,Upgrade
2,Cost of Revenue,8783,7396,8069,7442,10551,9344,9038,9558,18102,14761,15716,99764,59934,8836,20133,12962,17636,94980,10573,9339,Upgrade
3,Gross Profit,9100,11270,10605,10325,10875,6512,12266,6378,5040,6865,8765,64794,34989,10083,14324,10645,10536,153663,7188,7380,Upgrade
4,"Selling, General & Admin",6512,4756,4164,4691,8896,4013,4061,5226,11049,8471,4112,5004,9552,4019,4544,5971,8696,4337,5867,4067,Upgrade
5,Operating Expenses,6512,4756,4164,4691,8896,4013,4061,5226,11049,8471,4112,5004,9552,4019,4544,5971,8696,4337,5867,4067,Upgrade
6,Operating Income,2589,6513,6441,5634,1979,2500,8205,1152,-6009,-1607,4653,59789,25437,6064,9780,4673,1841,149326,1322,3313,Upgrade
7,Interest & Investment Income,5332,649.74,4623,1767,9709,882.24,11167,1263,5649,3606,6054,1313,5148,1674,7490,1621,8548,1776,8654,1758,Upgrade
8,Currency Exchange Gain (Loss),0.11,-,-,-,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,Other Non Operating Income (Expenses),62.43,101.76,98.14,20.55,1.19,-188.12,1.65,-83.03,22.41,3396,46.66,111.57,478.09,57.36,5311,839.23,1499,563.57,724.76,730.59,Upgrade
