,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+17 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+17 Quarters
0,Market Capitalization,328000,332100,315700,346040,344400,335380,411640,460020,492000,615000,633040,668300,688800,590400,631400,557600,681420,656000,437060,346040,319800,Upgrade
1,Market Cap Growth,-0.98%,-0.98%,-23.31%,-24.78%,-30.00%,-45.47%,-34.97%,-31.17%,-28.57%,4.17%,0.26%,19.85%,1.08%,-10.00%,44.47%,61.14%,113.08%,58.73%,11.04%,-29.67%,13.04%,Upgrade
2,Enterprise Value,106500,92805,72735,100632,118898,98296,170289,175093,222353,312966,329675,341787,407103,295334,266576,199838,323658,274733,117746,14852,-10664,Upgrade
3,Last Close Price,40000.00,40500.00,36666.67,39690.59,39502.49,38467.90,45088.08,50387.28,50297.46,62871.83,64716.07,68320.72,66383.43,56900.08,60851.48,53738.97,56807.79,54688.61,34561.35,27363.77,23991.93,Upgrade
4,PE Ratio,12.57,12.72,12.86,16.33,12.37,14.15,22.49,23.34,38.65,-,7.05,7.20,6.69,9.79,15.13,3.57,4.65,4.51,2.90,9.34,6.55,Upgrade
5,PS Ratio,4.49,4.55,4.12,4.69,4.51,4.50,5.40,5.61,5.78,2.63,2.07,2.21,2.20,3.43,6.00,1.67,2.14,2.11,1.44,4.67,3.08,Upgrade
6,PB Ratio,1.56,1.58,1.43,1.58,1.63,1.59,-,2.14,2.04,2.51,2.58,2.81,2.55,2.61,3.20,2.92,-,2.35,1.48,1.99,1.94,Upgrade
7,P/TBV Ratio,1.58,1.58,1.43,1.58,1.63,1.59,-,2.14,2.04,2.51,2.58,2.81,2.55,2.61,3.20,2.92,-,2.35,1.48,1.99,1.94,Upgrade
8,P/FCF Ratio,-,-,-,-,-39.35,-,-,-,-39.75,-,-,-,32.09,-,-,-,8.36,10.58,-,11.49,2.56,Upgrade
9,P/OCF Ratio,15.21,-,13.86,33.87,212.51,-,-,-,21.67,12.63,30.20,-,29.05,-,-,-,7.63,9.52,-,6.22,1.92,Upgrade
10,EV/Sales Ratio,1.46,1.27,0.95,1.36,1.56,1.32,2.23,2.14,2.61,1.34,1.08,1.13,1.30,1.72,2.54,0.60,1.02,0.88,0.39,0.20,-,Upgrade
