,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+17 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+17 Quarters
0,Cash & Equivalents,10096,13895,24665,37108,6502,-,14751,27327,86147,86147,48365,66613,53797,76166,60924,-,90062,97067,52614,82988,Upgrade
1,Short-Term Investments,211403,225400,218300,208300,219006,-,226600,257600,183500,183500,255000,259900,227900,218900,303900,-,267700,284200,266700,248200,Upgrade
2,Cash & Short-Term Investments,221500,239295,242965,245408,225509,-,241351,284927,269647,269647,303365,326513,281697,295066,364824,-,357762,381267,319314,331188,Upgrade
3,Cash Growth,-1.78%,-,0.67%,-13.87%,-16.37%,-,-20.44%,-12.74%,-4.28%,-8.61%,-16.85%,-,-21.26%,-22.61%,14.25%,-,8.26%,20.18%,-,101.12%,Upgrade
4,Accounts Receivable,2007,1376,7803,14749,14440,-,14806,14859,15377,15377,14621,15857,6661,2738,3986,-,1705,2761,2115,2556,Upgrade
5,Other Receivables,16935,2105,4934,2110,15726,-,10208,1664,3480,3480,4917,667.83,4038,2428,7980,-,6761,2005,7149,6102,Upgrade
6,Receivables,18942,3481,12737,16859,30165,-,25014,16523,18857,18857,19538,16524,10699,5166,11967,-,8466,4766,9265,8658,Upgrade
7,Inventory,57628,57628,57628,57628,13854,-,13854,14741,15906,15906,18249,1882,69560,89545,63082,-,34614,35965,-,-,Upgrade
8,Other Current Assets,2113,1122,1092,502.22,759.19,-,37.5,88.07,1894,1894,1005,179.53,1119,766.3,566.91,-,590.18,266.26,719.65,140.62,Upgrade
9,Total Current Assets,300182,301526,314423,320396,270287,-,280256,316279,306303,306303,342157,345099,363075,390543,440440,-,401432,422264,329299,339986,Upgrade
10,"Property, Plant & Equipment",181807,168651,160754,156042,160661,-,155633,177903,211241,211241,179515,206473,207326,205857,206647,-,199864,189047,279462,276636,Upgrade
11,Long-Term Deferred Tax Assets,325.01,327.54,330.08,332.62,335.16,-,340.24,342.78,345.32,345.32,350.4,352.94,355.48,358.01,360.55,-,365.63,368.17,370.71,373.25,Upgrade
12,Other Long-Term Assets,242013,245811,247897,250783,293547,-,299396,279812,249867,249867,255850,254005,257617,260677,263768,-,266953,265463,268991,272423,Upgrade
13,Total Assets,724328,716316,723404,727554,724831,-,735626,774337,767757,767757,777874,805930,828373,857435,911216,-,868615,877142,878122,889418,Upgrade
14,Accounts Payable,7080,3213,3187,1230,4360,-,2431,7218,17639,17639,5589,14634,13934,13907,13511,-,10422,4139,2486,3521,Upgrade
15,Accrued Expenses,13789,702.72,3336,4328,3047,-,3431,4938,3081,3081,3106,3640,603.11,608.61,1049,-,368.49,355.99,587.99,589.49,Upgrade
16,Current Income Taxes Payable,1784,4680,2357,1650,2438,-,5720,1645,1671,1671,2296,12600,1650,7104,7861,-,3836,32490,1801,887.42,Upgrade
17,Current Unearned Revenue,15291,26463,31192,41584,15427,-,30416,38095,15342,15342,28626,37695,15626,24971,31837,-,14262,52742,26999,33874,Upgrade
18,Other Current Liabilities,20968,2251,2226,2070,19776,-,2231,1694,1630,1630,42883,5678,104987,143282,195539,-,112491,54647,232653,242332,Upgrade
19,Total Current Liabilities,58912,37309,42298,50862,45048,-,44230,53590,39364,39364,82500,74248,136799,189873,249797,-,141379,144374,264526,281204,Upgrade
20,Long-Term Unearned Revenue,454979,457907,461630,465890,469127,-,475968,479804,483308,483308,457849,461665,465158,470072,470713,-,447650,437274,439525,443095,Upgrade
21,Total Liabilities,513891,495216,503928,516752,514175,-,520198,533394,522671,522671,540349,535913,601957,659945,720510,-,589029,581648,704051,724299,Upgrade
22,Common Stock,82000,82000,82000,82000,82000,-,82000,82000,82000,82000,82000,82000,82000,82000,82000,-,82000,82000,82000,82000,Upgrade
23,Retained Earnings,128437,139100,137476,128802,128656,-,133428,158943,163086,163086,155524,188017,144416,115490,108706,-,197586,213494,92071,83119,Upgrade
24,Shareholders' Equity,210437,221100,219476,210802,210656,-,215428,240943,245086,245086,237524,270017,226416,197490,190706,-,279586,295494,174071,165119,Upgrade
25,Total Liabilities & Equity,724328,716316,723404,727554,724831,-,735626,774337,767757,767757,777874,805930,828373,857435,911216,-,868615,877142,878122,889418,Upgrade
26,Net Cash (Debt),221500,239295,242965,245408,225509,-,241351,284927,269647,269647,303365,326513,281697,295066,364824,-,357762,381267,319314,331188,Upgrade
27,Net Cash Growth,-1.78%,-,0.67%,-13.87%,-16.37%,-,-20.44%,-12.74%,-4.28%,-8.61%,-16.85%,-,-21.26%,-22.61%,14.25%,-,8.26%,20.18%,-,101.12%,Upgrade
28,Net Cash Per Share,27012.15,29182.10,29633.15,29939.32,27503.94,-,29426.36,34804.33,32871.12,32882.32,37012.72,39821.55,34356.43,35972.39,44494.69,-,43630.63,46496.82,38950.71,40367.35,Upgrade
29,Filing Date Shares Outstanding,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.19,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,Upgrade
30,Total Common Shares Outstanding,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.19,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,Upgrade
31,Working Capital,241270,264217,272125,269534,225240,-,236027,262690,266940,266940,259658,270851,226276,200670,190643,-,260053,277890,64773,58782,Upgrade
32,Book Value Per Share,25663.06,26963.22,26768.30,25717.50,25692.44,-,26265.79,29431.59,29877.02,29887.20,28979.64,32931.26,27614.33,24076.53,23258.87,-,34096.67,36036.61,21233.61,20125.82,Upgrade
33,Tangible Book Value,210437,221100,219476,210802,210656,-,215428,240943,245086,245086,237524,270017,226416,197490,190706,-,279586,295494,174071,165119,Upgrade
34,Tangible Book Value Per Share,25663.06,26963.22,26768.30,25717.50,25692.44,-,26265.79,29431.59,29877.02,29887.20,28979.64,32931.26,27614.33,24076.53,23258.87,-,34096.67,36036.61,21233.61,20125.82,Upgrade
35,Buildings,48743,-,-,-,48007,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
36,Machinery,14947,-,-,-,15593,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
37,Construction In Progress,157963,144097,136095,131378,135141,-,128427,151139,183623,183623,150366,176685,176685,175309,175273,-,166881,158503,248338,244858,Upgrade
