,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,3474,3749,4673,4082,4501,2967,-
1,Short-Term Investments,880,848.6,1931,1846,1316,-,-
2,Trading Asset Securities,3631,2435,3055,2329,1685,983.66,-
3,Cash & Short-Term Investments,7984,7032,9659,8257,7502,3951,-
4,Cash Growth,-17.34%,-14.84%,28.75%,109.02%,-,-,-
5,Accounts Receivable,2682,2831,3551,3206,2592,2653,-
6,Other Receivables,671.14,796.9,774.53,814.62,723.48,731.45,-
7,Receivables,3353,3628,4325,4021,3316,3384,-
8,Inventory,2777,2581,2705,2553,3251,2719,-
9,Other Current Assets,14286,14208,13515,12561,14214,13299,-
10,Total Current Assets,28401,27449,30204,27393,28283,23353,-
11,"Property, Plant & Equipment",150.68,160.02,182.31,183.95,140.86,153.81,-
12,Long-Term Investments,1339,1357,792.19,879.65,995.05,868.99,-
13,Long-Term Deferred Tax Assets,139.74,98.59,94.34,96.2,84.28,68.69,-
14,Other Long-Term Assets,308.84,45.3,300.48,835.88,1341,1154,-
15,Total Assets,30339,29110,31573,29389,30844,25598,-
16,Accounts Payable,15975,15516,16034,15071,15815,14419,-
17,Accrued Expenses,-,596.13,-,512.7,-,403.93,-
18,Short-Term Debt,1381,324.76,1673,714.99,1212,146.49,-
19,Current Portion of Long-Term Debt,60.4,60.4,-,-,-,-,-
20,Current Portion of Leases,34.63,35.37,46.68,43.73,41.35,40.42,-
21,Current Income Taxes Payable,63.96,44.91,65.59,58.26,52.34,48.82,-
22,Current Unearned Revenue,2421,2427,2757,2822,3740,2937,-
23,Other Current Liabilities,714,312.49,1496,480.63,660.46,9236,-
24,Total Current Liabilities,20650,19317,22072,19704,21520,27231,-
25,Long-Term Debt,211.4,241.6,-,-,-,-,-
26,Long-Term Leases,39.27,39.66,45.77,57.92,55.28,67.4,-
27,Long-Term Unearned Revenue,17,17,17,17,17,17,-
28,Total Liabilities,20917,19615,22135,19779,21593,27315,-
29,Common Stock,562.57,562.57,562.57,562.57,562.57,508.66,-
30,Retained Earnings,-523.85,-648.94,-852.09,-1097,-1387,-1482,-
31,Treasury Stock,-227.87,-92.9,-11.59,-,-,-,-
32,Comprehensive Income & Other,7832,7952,8076,8636,8668,-2102,-
33,Total Common Equity,7643,7772,7775,8101,7843,-3075,-
34,Minority Interest,1779,1723,1663,1509,1407,1358,-
35,Shareholders' Equity,9422,9495,9438,9610,9251,-1717,-
36,Total Liabilities & Equity,30339,29110,31573,29389,30844,25598,-
37,Total Debt,1726,701.8,1766,816.64,1308,254.31,-
38,Net Cash (Debt),6258,6330,7893,7441,6194,3696,-
39,Net Cash Growth,-20.72%,-14.92%,27.44%,101.31%,-,-,-
40,Net Cash Per Share,11.28,11.28,14.03,13.21,12.42,11.45,-
41,Filing Date Shares Outstanding,554.21,559.12,562.51,562.57,498.7,508.66,315.49
42,Total Common Shares Outstanding,554.21,559.12,562.51,562.57,498.7,508.66,315.49
43,Working Capital,7751,8133,8132,7689,6762,-3878,-
44,Book Value Per Share,13.79,13.90,13.82,14.40,15.73,-6.05,-
45,Tangible Book Value,7643,7772,7775,8101,7843,-3075,-
46,Tangible Book Value Per Share,13.79,13.90,13.82,14.40,15.73,-6.05,-
47,Buildings,-,6.76,-,0.76,-,0.76,-
48,Machinery,-,110.92,-,78.8,-,69.4,-
49,Construction In Progress,-,1.28,-,31.79,-,0.07,-
50,Leasehold Improvements,-,70.36,-,59.39,-,52.33,-
