,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,9144,14481,16998,17805,22728,33951,-,-
1,Market Cap Growth,-18.67%,-18.67%,-25.21%,-47.56%,-,-,-,-
2,Enterprise Value,4332,9405,10266,11019,17121,31081,-,-
3,Last Close Price,16.50,25.90,30.40,31.65,40.40,60.35,-,-
4,PE Ratio,26.09,41.06,34.42,36.57,60.35,702.20,-,-
5,Forward PE,14.83,20.94,22.38,28.87,27.37,52.92,-,-
6,PS Ratio,0.12,0.19,0.19,0.19,0.24,0.38,-,-
7,PB Ratio,1.11,1.43,1.62,1.75,2.09,3.13,-,-
8,P/TBV Ratio,1.76,1.76,1.99,2.12,2.48,3.70,-,-
9,P/FCF Ratio,97.56,154.50,-,-166.77,-,22.34,-,-
10,P/OCF Ratio,112.13,112.13,-,-376.02,-,21.96,-,-
11,EV/Sales Ratio,0.06,0.12,0.11,0.12,0.18,0.35,-,-
12,EV/EBITDA Ratio,6.36,14.96,14.71,17.17,31.21,47.39,-,-
13,EV/EBIT Ratio,7.15,15.55,15.26,17.79,32.46,49.14,-,-
14,EV/FCF Ratio,46.22,100.34,-,-103.21,-,20.45,-,-
15,Debt / Equity Ratio,0.18,0.18,0.07,0.19,0.08,0.14,-0.15,-
16,Debt / FCF Ratio,19.79,19.79,-,-17.87,-,1.01,0.32,-
17,Return on Capital Employed (ROCE),5.81%,5.81%,6.24%,6.03%,4.82%,5.79%,-,-
18,Earnings Yield,3.86%,2.44%,2.91%,2.73%,1.57%,-0.08%,-,-
19,FCF Yield,1.02%,0.65%,2.84%,-0.60%,1.03%,4.48%,-,-
20,Buyback Yield / Dilution,0.87%,1.36%,0.37%,-12.80%,-74.38%,-58.07%,-,-
21,Total Shareholder Return,0.87%,1.36%,0.37%,-12.80%,-74.38%,-58.07%,-,-
