,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,32856,39056,43377,41420,40686,35789,29975
1,Revenue Growth (YoY),-24.25%,-5.71%,6.61%,15.74%,35.73%,-,-
2,Cost of Revenue,31714,37610,42083,40030,39488,34692,29203
3,Gross Profit,1142,1446,1294,1390,1198,1097,771.23
4,"Selling, General & Admin",732.61,959.7,794.92,928.64,829.07,667.26,585.64
5,Research & Development,38.59,47.65,45.85,49.78,63.45,42.54,36.01
6,Other Operating Expenses,-32.85,-11.29,17.26,19.65,10.55,-32.79,-24.39
7,Operating Expenses,872.81,1153,976.24,1134,987.72,767.31,597.26
8,Operating Income,269.42,293.45,317.3,255.93,210.57,329.43,173.97
9,Interest Expense,-133.77,-138.52,-120.94,-93.26,-193.3,-467.66,-411.63
10,Interest & Investment Income,99.05,133.34,129.96,118.05,107.82,103.48,62.83
11,Earnings From Equity Investments,1.43,-0.73,-0.1,0.29,-0.21,-0.9,-0.93
12,Currency Exchange Gain (Loss),-0.14,-1.43,37.08,59.37,91.86,-4.06,1.67
13,EBT Excluding Unusual Items,235.99,286.11,363.31,340.38,216.75,-39.71,-174.09
14,Gain (Loss) on Sale of Investments,39.43,89.1,82.08,77.42,73.8,61.44,75.41
15,Gain (Loss) on Sale of Assets,2.02,-15.78,-3.56,-45.07,-9.24,-5.14,5.98
16,Asset Writedown,-3.41,-4.22,-,-,-,-,-
17,Pretax Income,274.02,355.2,441.82,372.74,281.31,16.59,-92.7
18,Income Tax Expense,44.75,40.86,58.87,43.58,52.65,55.76,45.17
19,Earnings From Continuing Operations,229.27,314.34,382.96,329.16,228.66,-39.18,-137.87
20,Minority Interest in Earnings,-104.18,-111.2,-137.83,-125.21,-116.23,-95.88,-76.96
21,Net Income,125.09,203.15,245.13,203.95,112.43,-135.05,-214.83
22,Preferred Dividends & Other Adjustments,-,-,-,-1.56,-15.17,-48.73,-81.59
23,Net Income to Common,125.09,203.15,245.13,205.51,127.59,-86.32,-133.25
24,Net Income Growth,-48.97%,-0.39%,118.03%,-,-,-,-
25,Shares Outstanding (Basic),555,561,563,563,499,323,315
26,Shares Outstanding (Diluted),555,561,563,563,499,323,315
27,Shares Change (YoY),-1.36%,-0.37%,12.80%,74.38%,58.07%,-,-
28,EPS (Basic),0.23,0.36,0.44,0.36,0.26,-0.27,-0.42
29,EPS (Diluted),0.23,0.36,0.44,0.36,0.26,-0.27,-0.42
30,EPS Growth,-48.24%,-0.71%,70.32%,-,-,-,-
31,Free Cash Flow,248.98,-161.75,599.6,-698.41,904.89,392.4,400.12
32,Free Cash Flow Per Share,0.45,-0.29,1.07,-1.24,1.81,1.22,1.27
33,Operating Margin,0.82%,0.75%,0.73%,0.62%,0.52%,0.92%,0.58%
34,Profit Margin,0.38%,0.52%,0.57%,0.50%,0.31%,-0.24%,-0.44%
35,Free Cash Flow Margin,0.76%,-0.41%,1.38%,-1.69%,2.22%,1.10%,1.33%
36,EBITDA,280.27,304.68,328.61,265.41,219.77,340.14,184.22
37,D&A For EBITDA,10.85,11.23,11.31,9.48,9.2,10.71,10.25
38,EBIT,269.42,293.45,317.3,255.93,210.57,329.43,173.97
