,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,433.78,671.18,565.4,192.16,380.4,612.89,457.21,448.97,470.41,800.3,1050,345.66,-,239.11,-
1,Trading Asset Securities,327.94,168.15,330.46,718.72,495.26,376.03,571.44,569.67,579.8,212.24,-,5.04,-,14.53,-
2,Cash & Short-Term Investments,761.73,839.33,895.87,910.88,875.66,988.91,1029,1019,1050,1013,1050,350.7,-,253.64,245.95
3,Cash Growth,-13.01%,-15.13%,-12.91%,-10.58%,-16.62%,-2.33%,-2.02%,190.46%,-,299.20%,326.83%,-,-,-,-
4,Accounts Receivable,50.75,58.56,54.64,54.89,45.66,41.82,50.59,63.24,44.78,45.38,39.23,32.03,-,37.5,-
5,Other Receivables,3.57,22.35,5.39,29.16,7.78,20.65,7.73,19.88,3.75,8.11,2.07,11.48,-,11.84,-
6,Receivables,54.32,80.91,60.03,84.06,53.44,62.48,58.32,83.12,48.53,53.49,41.3,43.51,-,49.34,-
7,Inventory,77.35,83.88,83.69,83.32,86.28,87.55,78.19,65.36,62.93,54.16,39.4,35.21,-,45.3,-
8,Prepaid Expenses,-,-,-,-,-,0.52,-,-,-,-,-,-,-,-,-
9,Other Current Assets,32.33,8.62,31.91,9.16,41.9,19.56,35.94,10.12,18.23,17.88,24.55,14.56,-,14.22,-
10,Total Current Assets,925.72,1013,1071,1087,1057,1159,1201,1177,1180,1138,1155,443.97,-,362.5,-
11,"Property, Plant & Equipment",551.22,537.17,525.19,511.64,438.01,379.28,367.18,323.97,298.52,293.63,296.65,284.3,-,272.87,-
12,Long-Term Investments,109.52,50.24,26.87,27.94,28.93,53.51,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,74.25,74.76,75.19,75.71,76.22,76.64,77.17,77.69,78.2,55.92,56.33,56.69,-,57.5,-
14,Long-Term Deferred Tax Assets,3.1,2.68,2.9,2.56,2.32,-,0.69,0.81,-,1.01,1.24,1.16,-,1.32,-
15,Long-Term Deferred Charges,22.14,11.89,12.53,12.54,7.31,-,-,-,0.09,-,-,-,-,-,-
16,Other Long-Term Assets,25.86,37.26,54.77,53.62,100.71,70.9,67.39,47.38,31.58,33.12,21.52,21.18,-,26.9,-
17,Total Assets,1712,1727,1769,1771,1711,1739,1714,1627,1588,1522,1531,807.28,-,721.09,-
18,Accounts Payable,73.07,86.15,70.56,75.92,54.05,64.11,72.29,67.1,81.01,79.18,87.45,74.44,-,71.75,-
19,Accrued Expenses,20.3,19.12,15.3,26.4,17.34,15.28,13.19,22.18,14.85,14.44,8.77,16.55,-,11.93,-
20,Short-Term Debt,70.05,99.08,139.09,188.61,227.88,238.26,274.5,235.11,235.58,216.16,243.08,228.21,-,205.5,-
21,Current Portion of Long-Term Debt,59.23,48.94,-,-,-,-,-,0.04,-,-,-,-,-,-,-
22,Current Portion of Leases,-,0.75,30.25,0.74,1.14,1.21,1.29,0.8,0.86,1.16,0.93,0.77,-,1,-
23,Current Income Taxes Payable,3.45,1.57,4.29,3.03,5.93,4.71,1.11,4.04,7.56,6.52,6.22,3.44,-,1.89,-
24,Current Unearned Revenue,7.79,6.78,8.28,4.42,3.27,4.75,4.09,9.6,4.88,4.8,4.86,8.84,-,4.28,-
25,Other Current Liabilities,6.56,3.13,2.39,9.94,4.3,33.55,0.6,1.92,1.21,1.88,1.59,1.23,-,1.45,-
26,Total Current Liabilities,240.46,265.51,270.16,309.05,313.93,361.87,367.07,340.81,345.95,324.14,352.91,333.48,-,297.81,-
27,Long-Term Debt,259.05,238.74,208.44,168.55,108.9,108.9,89.4,47.5,-,-,-,-,-,-,-
28,Long-Term Leases,4.43,4.68,3.8,3.91,4.11,4.22,4.51,0.33,0.54,0.9,1.09,1.14,-,2.08,-
29,Long-Term Unearned Revenue,7.37,7.55,6.06,5.66,5.87,5.93,4.01,3.37,3.09,3.13,3.18,3.23,-,3.32,-
30,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.78,-,-,1.76,-,-,-,-,-,-
31,Total Liabilities,511.32,516.48,488.46,487.17,432.81,481.69,465,392.01,351.33,328.17,357.18,337.85,-,303.21,-
32,Common Stock,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,44.21,-,44.21,-
33,Additional Paid-In Capital,794.32,793.39,793.39,793.39,788.79,788.79,788.79,788.79,788.79,788.79,788.79,108.96,-,108.96,-
34,Retained Earnings,398.3,406.6,426.63,421.22,418.68,409.79,400.94,387.13,388.79,345.35,325.29,316.27,-,264.7,-
