,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,109.79,105.07,96.91,100.44,97.66,89.02,88.59,113.18,109.98,87.48,81.37,108,124.37,92.38,80.51
1,Other Revenue,-1.89,1.89,-,5.21,-1.6,1.6,-,7.31,-3.81,3.81,-,9.47,-5.33,5.33,-
2,Revenue,107.91,106.96,96.91,105.65,96.05,90.62,88.59,120.49,106.17,91.29,81.37,117.47,119.05,97.7,80.51
3,Revenue Growth (YoY),12.34%,18.02%,9.39%,-12.32%,-9.52%,-0.73%,8.87%,2.58%,-10.82%,-6.56%,1.07%,-,-,-,-
4,Cost of Revenue,73.98,66.77,62.21,63.88,66.55,55.93,52.27,76.67,67.31,62.86,53.55,72.39,70.36,60.86,53.63
5,Gross Profit,33.92,40.19,34.7,41.77,29.5,34.7,36.33,43.82,38.85,28.43,27.82,45.08,48.69,36.84,26.88
6,"Selling, General & Admin",24.37,22.77,21.91,28.11,19.4,15.94,11.93,13.84,11.42,11.42,9.55,7.98,9.01,7.59,8.6
7,Research & Development,12.66,15.5,10.31,10.37,7.24,5.19,8.29,9.24,4.96,6.82,7.04,4.35,5.78,5.88,4.24
8,Other Operating Expenses,0.32,-0.18,0.59,2.7,1.22,0.06,1.24,13.61,0.7,-8.2,-1.61,5.35,-0.55,-0.1,0.67
9,Operating Expenses,37.25,38.29,32.71,41.52,28.17,20.78,20.78,38.09,17.44,10.4,15.34,17.26,14.43,13.86,13.6
10,Operating Income,-3.32,1.91,1.99,0.25,1.34,13.92,15.55,5.73,21.41,18.03,12.48,27.82,34.26,22.99,13.28
11,Interest Expense,-3.47,-2.12,-2.37,-2.04,-2.75,-2.71,-2.4,-1.92,-1.46,-1.43,-1.97,-2.02,-1.86,-1.68,-1.53
12,Interest & Investment Income,4.24,6.96,3.8,3.21,22.08,8.75,3.14,3.28,0.52,1.68,1.07,0.94,0.44,0.16,0.95
13,Currency Exchange Gain (Loss),-3.12,3.12,-,4.05,-9.38,9.38,-,26.25,-18.84,18.84,-,-7.01,2.21,-2.21,-
