,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2178,2456,2203,2420,3102,2887,2819,3689,3329,3734,3112,-,-,-,-,-
1,Market Cap Growth,-14.93%,-14.93%,-21.86%,-34.39%,-6.82%,-22.67%,-9.41%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1816,2019,1699,1898,2580,2251,2160,2876,2517,2940,2308,-,-,-,-,-
3,Last Close Price,37.86,42.70,37.64,40.55,51.98,48.38,46.74,61.16,55.19,61.90,51.60,-,-,-,-,-
4,PE Ratio,247.56,-,84.49,43.88,48.80,48.63,30.02,40.81,-,34.20,32.63,-,-,-,-,-
5,PS Ratio,5.27,5.88,5.43,6.22,8.14,7.30,6.95,9.07,8.34,9.42,7.61,-,-,-,-,-
6,PB Ratio,1.83,2.05,1.82,1.89,2.42,2.26,2.24,2.95,2.70,3.02,2.61,-,-,-,-,-
7,P/TBV Ratio,2.20,2.20,1.96,2.03,2.59,2.43,2.39,3.15,2.88,3.22,2.74,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-20.89,-,-,-,-,-304.24,-,-,-,-,-,-
9,P/OCF Ratio,25.95,25.95,28.67,24.89,42.71,62.06,38.13,-,66.35,51.88,31.30,-,-,-,-,-
10,EV/Sales Ratio,4.35,4.84,4.19,4.88,6.77,5.69,5.32,7.07,6.30,7.42,5.64,-,-,-,-,-
11,EV/EBITDA Ratio,45.14,58.56,44.98,37.43,41.01,33.57,25.21,32.97,30.42,28.44,19.91,-,-,-,-,-
12,EV/EBIT Ratio,2463.00,-,310.08,108.53,83.10,61.61,38.16,47.37,43.65,36.86,24.93,-,-,-,-,-
13,EV/FCF Ratio,-70.70,-,-,-,-17.37,-,-,-,-,-239.56,-,-,-,-,-,-
14,Debt / Equity Ratio,0.33,0.33,0.32,0.30,0.28,0.27,0.28,0.30,0.23,0.19,0.18,0.21,0.49,-,0.50,0.45
15,Debt / EBITDA Ratio,9.76,18.81,9.30,9.06,9.08,10.03,3.76,4.07,5.19,2.18,2.20,3.36,1.68,-,1.78,2.37
16,Debt / FCF Ratio,-,-,-,-,-2.44,-,-,-,-,-19.31,-,-,3.45,-,-13.79,-
17,Asset Turnover,0.25,0.24,0.22,0.24,0.22,0.21,0.21,0.30,0.27,0.24,0.28,-,-,-,-,
18,Inventory Turnover,3.26,3.67,3.19,2.98,3.01,3.06,2.70,2.91,4.78,4.60,5.38,5.74,-,-,-,-
19,Quick Ratio,3.39,3.39,3.47,3.54,3.22,2.96,2.91,2.96,3.23,3.18,3.29,3.09,1.18,-,1.02,-
20,Current Ratio,3.85,3.85,3.81,3.97,3.52,3.37,3.20,3.27,3.45,3.41,3.51,3.27,1.33,-,1.22,-
21,Return on Equity (ROE),-3.55%,2.89%,1.30%,-0.26%,2.91%,12.23%,4.33%,-0.61%,14.28%,11.72%,4.39%,-,-,15.25%,-,
22,Return on Assets (ROA),-0.48%,0.27%,0.28%,0.04%,0.19%,2.02%,2.33%,0.89%,3.44%,2.95%,2.67%,-,-,-,-,
23,Return on Capital (ROIC),-0.52%,0.29%,0.30%,0.04%,0.21%,2.16%,2.48%,0.96%,3.71%,3.18%,2.95%,-,-,9.62%,-,
24,Return on Capital Employed (ROCE),0.06%,-,0.37%,1.17%,2.12%,2.62%,4.11%,4.51%,4.48%,6.42%,7.73%,8.28%,20.76%,-,8.57%,-
25,Earnings Yield,0.41%,0.36%,1.18%,2.28%,2.05%,2.06%,3.33%,2.45%,2.57%,2.92%,3.06%,-,-,-,-,-
26,FCF Yield,-1.18%,-1.05%,-4.62%,-4.35%,-4.79%,-7.68%,-4.47%,-3.64%,-2.97%,-0.33%,1.31%,-,-,-,-,-
27,Dividend Yield,1.28%,-,-,-,0.96%,-,-,-,0.91%,-,-,-,-,-,-,-
28,Payout Ratio,431.35%,-,342.67%,36.77%,80.79%,361.14%,7.03%,16.41%,-,5.04%,44.32%,21.61%,8.97%,6.20%,10.87%,12.78%
29,Buyback Yield / Dilution,0.84%,-28.01%,33.61%,-0.03%,-1.88%,1.05%,-0.44%,-30.60%,-30.53%,-36.01%,-29.03%,-3.76%,-,-,-,-
30,Total Shareholder Return,2.12%,-28.01%,33.61%,-0.03%,-0.92%,1.05%,-0.44%,-30.60%,-29.62%,-36.01%,-29.03%,-3.76%,-,-,-,-
