,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,175.66,158.29,80.76,92.82,98.06,97.83,138.67,119.17,181.96,93.11,113.95,91.16,190.78,133.29,133.29
1,Revenue Growth (YoY),79.13%,61.80%,-41.76%,-22.11%,-46.11%,5.07%,21.69%,30.72%,-4.62%,-30.14%,-14.51%,-,-,-,-
2,Cost of Revenue,128.22,119.79,63.14,51.01,68.04,78.11,76.36,69,102.85,55.68,61.6,55.05,111.95,78.62,78.62
3,Gross Profit,47.44,38.51,17.62,41.82,30.02,19.73,62.31,50.17,79.1,37.43,52.35,36.11,78.83,54.67,54.67
4,"Selling, General & Admin",13.45,9.48,17.63,18.16,8.66,14.55,19.02,15.03,18.2,16.04,10.95,15.02,13.2,11.1,11.1
5,Research & Development,13.13,11.09,14.17,13.01,9.75,16.96,14.54,16.2,9.67,12.59,9.81,12.3,11.96,10.78,10.78
6,Other Operating Expenses,-3.7,-1.68,0.35,-1.19,-2.29,-3.62,0.37,10.55,-5.44,-1.02,0.06,3.23,-1.11,-1.1,-1.1
7,Operating Expenses,23.27,22.61,31.83,29.71,15.19,22.67,34.49,44,26.45,27.18,18.7,29.62,24.52,23.24,23.24
8,Operating Income,24.18,15.89,-14.22,12.11,14.82,-2.95,27.82,6.18,52.66,10.25,33.65,6.49,54.31,31.43,31.43
9,Interest Expense,-0.02,-0.29,-0.11,-9.28,-0.13,-0.15,-0.16,-0.61,-,-0.13,-0.26,-0.1,-0.2,-0.25,-0.25
10,Interest & Investment Income,0.7,1.87,1.76,-,6.21,6.84,6.05,3.83,3.43,0.67,0.28,0.31,0.32,0.3,0.3
11,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,0.03,0.01,-0.02,-0.02
12,Currency Exchange Gain (Loss),-1.59,1.59,-,2.53,-0.67,0.67,-,7.21,-2.71,2.71,-,-1.08,0.31,-0.15,-0.15
13,Other Non Operating Income (Expenses),1.41,-0.72,0.36,-1.52,1.35,2.13,-2.2,-2.58,7.42,0.59,-0.6,-0.31,0.14,0.02,0.02
14,EBT Excluding Unusual Items,24.68,18.34,-12.2,3.84,21.59,6.56,31.51,14.03,60.79,14.09,33.07,5.34,54.89,31.33,31.33
15,Gain (Loss) on Sale of Investments,5.04,4.72,4.55,13.4,-0.24,1.55,0.16,-3.55,-,-,-,-0.01,-,-,-
16,Gain (Loss) on Sale of Assets,-,-,-,0.1,-,-,-,0.01,-,-0.03,-,-,-,-,-
17,Asset Writedown,-0.39,0.67,-0.67,0.58,-0.49,-0.02,0.02,0.56,-0.65,0.54,-0.54,0.49,-0.49,-,-
18,Other Unusual Items,-3.99,4.13,0.01,0.08,-,-,-,13.1,-0,0,-,3.9,-0,0,0
19,Pretax Income,25.34,27.86,-8.31,18,20.86,8.08,31.7,24.15,60.14,14.6,32.54,9.72,54.4,31.33,31.33
20,Income Tax Expense,1.99,0.3,-2.2,0.13,2.38,0.43,2.99,1.76,7.39,1.16,4.4,-1.19,6.83,3.13,3.13
21,Earnings From Continuing Operations,23.35,27.55,-6.11,17.88,18.48,7.66,28.71,22.39,52.75,13.44,28.14,10.9,47.57,28.19,28.19
22,Minority Interest in Earnings,-0.25,0.14,-0.29,-0.16,0,-0.01,0.02,-0.09,0.35,-0.36,0.08,0.33,0.31,-0.28,-0.28
23,Net Income,23.1,27.69,-6.4,17.72,18.48,7.64,28.73,22.3,53.1,13.08,28.22,11.24,47.88,27.91,27.91
24,Net Income to Common,23.1,27.69,-6.4,17.72,18.48,7.64,28.73,22.3,53.1,13.08,28.22,11.24,47.88,27.91,27.91
25,Net Income Growth,25.00%,262.24%,-,-20.54%,-65.20%,-41.55%,1.77%,98.43%,10.91%,-53.14%,1.11%,-,-,-,-
26,Shares Outstanding (Basic),84,88,90,89,86,88,87,100,65,64,64,65,64,64,64
27,Shares Outstanding (Diluted),84,88,90,89,86,88,87,100,65,64,64,65,64,64,64
28,Shares Change (YoY),-2.90%,-0.47%,2.59%,-11.25%,32.12%,37.60%,35.69%,53.84%,1.19%,-0.54%,0.01%,-,-,-,-
29,EPS (Basic),0.28,0.32,-0.07,0.20,0.21,0.09,0.33,0.22,0.81,0.20,0.44,0.17,0.74,0.43,0.43
30,EPS (Diluted),0.28,0.32,-0.07,0.20,0.21,0.09,0.33,0.22,0.81,0.20,0.44,0.17,0.74,0.43,0.43
31,EPS Growth,28.73%,263.96%,-,-10.46%,-73.66%,-57.52%,-24.99%,28.99%,9.60%,-52.89%,1.10%,-,-,-,-
32,Free Cash Flow,54.36,-25.32,-12.04,30.64,33.61,18.64,29.62,-19.8,9.84,35.9,54.54,16.18,4.23,-10.34,-10.34
33,Free Cash Flow Per Share,0.65,-0.29,-0.13,0.35,0.39,0.21,0.34,-0.20,0.15,0.56,0.85,0.25,0.07,-0.16,-0.16
34,Dividend Per Share,-,-,-,0.357,-,-,-,0.476,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-25.01%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,27.01%,24.33%,21.81%,45.05%,30.61%,20.16%,44.93%,42.10%,43.47%,40.20%,45.94%,39.61%,41.32%,41.02%,41.02%
37,Operating Margin,13.76%,10.04%,-17.60%,13.05%,15.12%,-3.01%,20.06%,5.18%,28.94%,11.01%,29.53%,7.12%,28.47%,23.58%,23.58%
38,Profit Margin,13.15%,17.49%,-7.93%,19.09%,18.84%,7.81%,20.71%,18.71%,29.19%,14.05%,24.77%,12.33%,25.10%,20.94%,20.94%
39,Free Cash Flow Margin,30.94%,-15.99%,-14.90%,33.01%,34.27%,19.06%,21.36%,-16.61%,5.41%,38.55%,47.86%,17.75%,2.22%,-7.76%,-7.76%
40,EBITDA,25.69,17.55,-12.7,13.62,16.31,-1.48,29.3,7.66,54.03,11.75,35.02,7.86,55.7,32.82,32.82
41,EBITDA Margin,14.62%,11.09%,-15.73%,14.68%,16.63%,-1.51%,21.13%,6.43%,29.69%,12.62%,30.73%,8.62%,29.20%,24.63%,24.63%
42,D&A For EBITDA,1.51,1.66,1.51,1.51,1.48,1.47,1.48,1.48,1.37,1.5,1.37,1.37,1.39,1.39,1.39
43,EBIT,24.18,15.89,-14.22,12.11,14.82,-2.95,27.82,6.18,52.66,10.25,33.65,6.49,54.31,31.43,31.43
44,EBIT Margin,13.76%,10.04%,-17.60%,13.05%,15.12%,-3.01%,20.06%,5.18%,28.94%,11.01%,29.53%,7.12%,28.47%,23.58%,23.58%
45,Effective Tax Rate,7.84%,1.09%,-,0.70%,11.40%,5.26%,9.43%,7.31%,12.29%,7.95%,13.51%,-,12.56%,10.00%,10.00%
46,Revenue as Reported,175.66,158.29,80.76,92.82,98.06,97.83,138.67,119.17,181.96,93.11,113.95,91.16,190.78,133.29,133.29
