,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4030,4122,3383,3849,6774,4952,6643,4836,3494,4107,-,-,-,-,-,-
1,Market Cap Growth,-16.75%,-16.75%,-49.08%,-20.40%,93.90%,20.58%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3106,3258,2456,2962,5886,4104,5780,4034,2692,3964,-,-,-,-,-,-
3,Last Close Price,46.22,47.20,38.46,43.36,76.67,56.00,75.13,54.26,39.94,46.95,-,-,-,-,-,-
4,PE Ratio,65.05,66.37,58.85,-,93.35,64.19,59.44,41.26,29.94,38.87,-,-,-,-,-,-
5,PS Ratio,7.96,8.12,7.87,10.42,15.85,10.91,12.36,9.07,6.87,8.55,-,-,-,-,-,-
6,PB Ratio,3.44,3.50,2.94,3.31,5.82,4.34,5.89,4.18,3.11,3.73,-,-,-,-,-,-
7,P/TBV Ratio,3.53,3.53,2.96,3.34,5.87,4.37,5.93,4.22,3.14,3.76,-,-,-,-,-,-
8,P/FCF Ratio,84.59,86.52,-,-,60.21,79.77,173.43,87.05,-,35.26,-,-,-,-,-,-
9,P/OCF Ratio,68.47,68.47,-,-,52.67,61.67,120.55,69.42,-,32.30,-,-,-,-,-,-
10,EV/Sales Ratio,6.12,6.42,5.71,8.02,13.77,9.05,10.75,7.57,5.30,8.26,-,-,-,-,-,-
11,EV/EBITDA Ratio,69.61,73.77,70.63,-,101.93,79.26,-,39.26,24.82,36.48,-,-,-,-,-,-
12,EV/EBIT Ratio,95.53,85.81,85.84,-,113.61,89.46,-,41.63,26.20,38.47,-,-,-,-,-,-
13,EV/FCF Ratio,65.19,68.38,-,-,52.32,66.13,150.88,72.61,-,34.04,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.04,-,-,0.08
15,Debt / EBITDA Ratio,0.07,0.03,0.06,-,0.09,0.14,1.61,0.09,0.21,0.05,0.19,0.09,0.34,-,-,0.13
16,Debt / FCF Ratio,0.07,0.07,-,-,0.06,0.15,0.28,0.19,-,0.10,0.09,0.19,-45.19,-,-,-
17,Asset Turnover,0.51,0.48,0.25,0.29,0.31,0.31,0.44,0.39,0.85,-,-,-,-,-,-,
18,Inventory Turnover,2.61,2.72,2.87,1.95,2.09,3.06,3.23,3.27,2.99,3.74,-,-,-,-,-,-
19,Quick Ratio,4.68,4.68,5.48,7.22,9.42,9.51,10.06,6.78,11.04,8.99,2.85,-,3.01,-,-,-
20,Current Ratio,5.55,5.55,6.53,8.31,10.46,10.38,11.07,7.52,12.07,10.04,4.31,-,4.53,-,-,-
21,Return on Equity (ROE),8.02%,9.52%,-2.10%,6.20%,6.51%,2.68%,10.08%,8.06%,28.47%,14.89%,33.08%,-,-,-,-,
22,Return on Assets (ROA),4.37%,2.99%,-2.74%,2.38%,2.97%,-0.57%,5.46%,1.26%,15.46%,-,-,-,-,-,-,
23,Return on Capital (ROIC),5.17%,3.42%,-3.04%,2.61%,3.24%,-0.64%,6.05%,1.38%,17.50%,6.88%,23.87%,-,-,-,-,
24,Return on Capital Employed (ROCE),2.76%,3.22%,2.48%,-,4.45%,4.00%,-,8.35%,9.10%,9.30%,26.91%,-,35.49%,-,-,-
25,Earnings Yield,1.54%,1.51%,1.70%,0.97%,1.07%,1.56%,1.68%,2.42%,3.34%,2.57%,-,-,-,-,-,-
26,FCF Yield,1.18%,1.16%,0.79%,1.84%,1.66%,1.25%,0.58%,1.15%,2.30%,2.84%,-,-,-,-,-,-
27,Dividend Yield,1.05%,-,-,-,0.47%,-,-,-,1.19%,-,-,-,-,-,-,-
28,Payout Ratio,50.58%,-,113.44%,-,-,-,545.70%,-,-,-,-,-,-,0.33%,0.86%,0.86%
29,Buyback Yield / Dilution,3.29%,2.90%,0.47%,-2.59%,11.25%,-32.12%,-37.60%,-35.69%,-53.84%,-1.19%,0.54%,-0.01%,-,-,-,-
30,Total Shareholder Return,4.34%,2.90%,0.47%,-2.59%,11.72%,-32.12%,-37.60%,-35.69%,-52.64%,-1.19%,0.54%,-0.01%,-,-,-,-
