,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,119.02,146.66,274.72,271.59,899.56,860.42,876.84,811.46,716.56,157.4,-,65.98,-,-,-
1,Trading Asset Securities,811.79,725.36,661.19,664.87,-,-,-,-,100,-,-,-,-,-,-
2,Cash & Short-Term Investments,930.82,872.02,935.91,936.47,899.56,860.42,876.84,811.46,816.56,157.4,65.98,65.98,-,-,102.1
3,Cash Growth,3.48%,1.35%,6.74%,15.40%,10.16%,446.66%,1228.96%,1129.87%,-,-,-35.37%,-,-,-,-
4,Accounts Receivable,186.73,181.97,124.08,132.08,170.4,177.91,229.32,221.29,197.42,103.11,-,155.49,-,-,-
5,Other Receivables,4.06,3.22,1.74,4.18,1.3,4.38,6.18,6.27,1.65,3.1,-,2.21,-,-,-
6,Receivables,190.79,185.19,125.82,136.26,171.7,182.29,235.51,227.56,199.07,106.21,-,157.69,-,-,-
7,Inventory,192.13,184.71,148.94,110.21,84.92,92.73,100.51,86.11,98.53,121.26,-,102.99,-,-,-
8,Other Current Assets,16.49,19.26,11.9,7.52,12.71,12.09,21.67,10.88,20.96,13.72,-,10.39,-,-,-
9,Total Current Assets,1330,1261,1223,1190,1169,1148,1235,1136,1135,398.59,-,337.06,-,-,-
10,"Property, Plant & Equipment",62.66,60.18,61.49,63.08,65.69,64.46,64.71,64.56,64.35,63.95,-,65.55,-,-,-
11,Long-Term Investments,8.26,8.13,7.98,8.16,8.43,8.67,9,9.32,9.85,9.85,-,9.81,-,-,-
12,Other Intangible Assets,6.94,7,7.28,7.44,7.47,6.8,6.95,6.86,5.54,5.58,-,3.35,-,-,-
13,Long-Term Deferred Tax Assets,4.81,5.73,6.06,3.86,2.52,2.47,2.17,4.01,1.65,0.77,-,2.79,-,-,-
14,Long-Term Deferred Charges,5.22,4.67,5.28,5.68,5.67,4.57,3.17,1.53,1.53,1.57,-,1.78,-,-,-
15,Other Long-Term Assets,0.48,0.34,0.98,0.77,0.85,4.26,4.49,1.21,3.04,1.25,-,2.52,-,-,-
16,Total Assets,1419,1347,1312,1279,1260,1239,1325,1224,1221,481.56,-,422.85,-,-,-
17,Accounts Payable,159.74,123.62,66.81,41.9,38.54,43.06,81.44,55.08,70.07,66.55,-,42.25,-,-,-
18,Accrued Expenses,10.74,15.97,13.22,14.41,9.95,11,20.83,21.71,11.65,15.23,-,17.22,-,-,-
19,Current Portion of Leases,3.03,3.47,5.68,5.53,5.98,5.98,6.41,5.72,4.27,3.37,-,4.2,-,-,-
20,Current Income Taxes Payable,6.6,0.3,1.95,2.77,5.15,0.22,7.61,3.56,17.58,0.12,-,0.32,-,-,-
21,Current Unearned Revenue,21.52,15.49,10.85,11.8,13.37,5.44,4.44,3.41,6.25,5.58,-,8.54,-,-,-
22,Other Current Liabilities,37.96,34.16,48.62,37.44,39.68,37.96,43.32,4.64,3.21,1.63,-,1.86,-,-,-
23,Total Current Liabilities,239.6,193.01,147.12,113.86,112.66,103.67,164.06,94.12,113.03,92.47,-,74.39,-,-,-
24,Long-Term Leases,0.15,1.2,0.58,1.37,3.31,4.75,4.35,5.06,7.61,7,-,7.93,-,-,-
25,Long-Term Unearned Revenue,0.52,-,-,-,-,0.02,0.05,0.09,0.13,0.17,-,0.25,-,-,-
26,Long-Term Deferred Tax Liabilities,0.4,0.63,0.87,0.96,1.3,1.53,-,1.56,-,-,-,-,-,-,-
27,Total Liabilities,240.67,194.83,148.57,116.19,117.27,109.97,168.46,100.83,120.77,99.63,-,82.57,-,-,-
28,Common Stock,87.33,87.33,62.83,62.53,62.58,62.58,41.72,40.94,40.94,30.71,-,30.71,-,-,-
29,Additional Paid-In Capital,809.94,807.78,853.64,838.69,838.01,842.99,857.15,815.76,815.47,158.83,-,158.83,-,-,-
30,Retained Earnings,307.65,284.55,287.76,294.16,275.58,257.1,291.98,263.31,241.01,187.91,-,146.6,-,-,-
31,Treasury Stock,-30.25,-30.25,-44.26,-35.02,-36.58,-36.58,-36.58,-,-,-,-,-,-,-,-
32,Comprehensive Income & Other,0.19,0.19,0.18,0.26,0.17,0.22,-0.18,0.17,0.18,-0.05,-,-0.11,-,-,-
33,Total Common Equity,1175,1150,1160,1161,1140,1126,1154,1120,1098,377.39,336.02,336.02,-,-,220.93
34,Minority Interest,3.05,2.8,2.94,2.65,2.48,2.48,2.47,2.49,2.69,4.54,-,4.26,-,-,-
35,Shareholders' Equity,1178,1152,1163,1163,1142,1129,1157,1123,1100,381.93,340.29,340.29,-,-,226.46
36,Total Liabilities & Equity,1419,1347,1312,1279,1260,1239,1325,1224,1221,481.56,-,422.85,-,-,-
37,Total Debt,3.18,4.67,6.26,6.9,9.29,10.73,10.77,10.78,11.88,10.37,12.13,12.13,-,-,16.99
38,Net Cash (Debt),927.63,867.35,929.65,929.56,890.26,849.68,866.08,800.68,804.68,147.03,53.85,53.85,-,-,85.11
39,Net Cash Growth,4.20%,2.08%,7.34%,16.10%,10.64%,477.89%,1508.39%,1386.94%,-,-,-36.73%,-,-,-,-
40,Net Cash Per Share,11.08,9.89,10.37,10.50,10.33,9.64,9.91,8.03,12.33,2.29,0.84,0.83,-,-,1.32
41,Filing Date Shares Outstanding,87.33,87.33,87.96,87.54,87.61,87.61,87.61,87.61,85.98,85.98,64.42,64.48,64.48,64.42,64.42
42,Total Common Shares Outstanding,87.33,87.33,87.96,87.54,87.61,87.61,87.61,85.98,85.98,64.48,64.42,64.48,64.48,64.42,64.42
43,Working Capital,1091,1068,1075,1077,1056,1044,1070,1042,1022,306.12,-,262.66,-,-,-
44,Book Value Per Share,13.45,13.16,13.19,13.26,13.01,12.86,13.17,13.03,12.77,5.85,5.21,5.21,-,-,3.43
45,Tangible Book Value,1168,1143,1153,1153,1132,1120,1147,1113,1092,371.8,332.67,332.67,-,-,217.37
46,Tangible Book Value Per Share,13.37,13.08,13.11,13.17,12.92,12.78,13.09,12.95,12.70,5.77,5.16,5.16,-,-,3.37
47,Buildings,-,41.93,-,41.93,-,41.93,-,41.93,-,41.93,-,41.93,-,-,-
48,Machinery,-,47.23,-,44.69,-,39.31,-,36.29,-,33.2,-,29.77,-,-,-
