,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,488.05,533.44,283.46,813.23,738.54,780.7,790.8,1202,275.61,1389,811.4,901.22,-,1059,-
1,Trading Asset Securities,-,421.24,440.94,736.29,290.62,470.37,517.26,696.2,366.24,1421,351.55,-,-,-,-,-
2,Cash & Short-Term Investments,909.29,909.29,974.38,1020,1104,1209,1298,1487,1568,1697,1740,811.4,901.22,-,1059,1139
3,Cash Growth,-17.63%,-24.78%,-24.93%,-31.42%,-29.59%,-28.77%,-25.42%,83.26%,73.97%,-,64.27%,-28.74%,-,-,-,-
4,Other Receivables,-,1.29,0.9,0.97,1.39,1.44,1.42,1.72,1.67,1.78,1.71,0.74,0.54,-,0.01,-
5,Receivables,-,1.29,0.9,0.97,1.39,1.44,1.42,1.72,1.67,1.78,1.71,0.74,0.54,-,0.01,-
6,Inventory,-,0.17,0.15,0.01,0.01,0,0,0,0.01,0.01,0,0.01,0,-,0.01,-
7,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,13.09,-,-,-
8,Other Current Assets,-,46.01,47.57,50.63,41.99,55.43,43.17,47.93,41.78,32.94,40.49,55.55,40.38,-,39.3,-
9,Total Current Assets,-,956.76,1023,1071,1147,1266,1343,1537,1611,1732,1782,867.69,955.24,-,1099,-
