,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3294,3041,3555,2333,3052,5156,4376,5260,5346,3992,3131,4405,-,-,-,-,-
1,Market Cap Growth,-41.02%,-41.02%,-18.78%,-55.65%,-42.92%,29.14%,39.78%,19.40%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2395,2141,2591,1326,1886,3991,3123,3818,3652,2299,1397,3598,-,-,-,-,-
3,Last Close Price,33.27,30.71,35.90,23.56,30.82,52.07,44.20,53.12,53.99,40.32,31.62,44.49,-,-,-,-,-
4,PS Ratio,8289.99,8289.99,-,21258.75,-,-,-,-,-,2418.38,-,-,-,-,-,-,-
5,PB Ratio,2.67,2.47,2.89,1.82,2.30,3.77,3.12,3.61,3.50,2.52,1.91,2.61,-,-,-,-,-
6,P/TBV Ratio,2.53,2.53,2.96,1.87,2.36,3.86,3.19,3.68,3.57,2.57,1.95,2.66,-,-,-,-,-
7,EV/Sales Ratio,5838.12,5838.12,-,12083.97,-,-,-,-,-,1392.58,-,-,-,-,-,-,-
8,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.02,0.00,0.00,0.01,0.00,-,0.00,0.00
9,Asset Turnover,-,-,0.00,-,-,-,-,-,0.00,-,-,-,-,-,-,-,
10,Inventory Turnover,-,-,-,5.08,-,-,-,-,-,523.01,-,-,-,-,-,-,-
11,Quick Ratio,-,-,6.07,6.87,11.27,10.34,7.87,8.56,10.50,11.35,10.69,12.24,4.42,4.71,-,4.86,-
12,Current Ratio,-,-,6.38,7.21,11.83,10.74,8.23,8.84,10.83,11.65,10.90,12.53,4.72,4.99,-,5.04,-
13,Return on Equity (ROE),-14.28%,-17.10%,-16.34%,-14.02%,-16.20%,-20.35%,-24.05%,-19.36%,-19.61%,-17.96%,-20.16%,-45.78%,-,-,-42.02%,-,
14,Return on Assets (ROA),-,-10.20%,-10.37%,-9.49%,-11.35%,-12.64%,-15.57%,-12.07%,-13.65%,-12.29%,-13.05%,-23.71%,-,-,-,-,
15,Return on Capital (ROIC),-4.96%,-11.48%,-11.36%,-10.21%,-12.32%,-13.73%,-16.79%,-12.93%,-14.79%,-13.39%,-14.79%,-29.53%,-,-,-27.16%,-,
16,Earnings Yield,-6.01%,-6.51%,-5.91%,-9.83%,-8.72%,-5.71%,-7.24%,-6.06%,-5.42%,-7.55%,-10.18%,-6.95%,-,-,-,-,-
17,FCF Yield,-,-9.19%,-14.89%,-11.71%,-6.88%,-9.94%,-7.58%,-7.12%,-9.62%,-11.02%,-7.59%,-,-,-,-,-,
18,Buyback Yield / Dilution,0.02%,-1.21%,2.26%,-1.82%,0.81%,-4.82%,-0.49%,-3.12%,-33.52%,-25.81%,-34.72%,-28.01%,-0.27%,-,-,-,-
19,Total Shareholder Return,0.02%,-1.21%,2.26%,-1.82%,0.81%,-4.82%,-0.49%,-3.12%,-33.52%,-25.81%,-34.72%,-28.01%,-0.27%,-,-,-,-
