,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,0.26,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Other Revenue,-,-0.11,0.11,-,-,-,-,-,1.65,-,-,-,-,-,-,-
2,Revenue,0.26,-,0.11,-,-,-,-,-,1.65,-,-,-,-,-,-,-
3,Cost of Revenue,-0.1,-,0.1,-,-,-,-,-,0.77,-,-,-,-,-,-,-
4,Gross Profit,0.35,-,0.01,-,-,-,-,-,0.88,-,-,-,-,-,-,-
5,"Selling, General & Admin",-39.47,12.33,14.07,13.06,23.75,23.03,21.57,19.65,26.59,24.7,22.08,23.67,27.01,17.69,20.07,15.51
6,Research & Development,-133.31,45.38,45.95,41.98,41.51,58.78,84.33,63.64,63.88,65.81,51.64,70.03,76.43,60.49,82.64,45.36
7,Other Operating Expenses,198.07,0.1,0.14,0.1,4.7,-1.1,-2.55,-0.63,7.02,-1.28,-1.79,-3.6,14.5,-8.8,-0.8,-4.83
8,Operating Expenses,24.98,58.13,59.75,55.54,69.65,81.03,103.35,82.66,97.39,89.34,71.88,90.15,117.88,69.4,101.92,56.07
9,Operating Income,-24.62,-58.13,-59.73,-55.54,-69.65,-81.03,-103.35,-82.66,-96.5,-89.34,-71.88,-90.15,-117.88,-69.4,-101.92,-56.07
10,Interest Expense,-14.65,-0.12,-0.12,-0.15,-0.26,-0.44,-0.44,-0.35,-0.95,-0.8,-1.11,-1.07,-1.49,-1.02,-0.04,-0.01
11,Interest & Investment Income,0.39,4.05,4.61,5.99,6.44,7.8,8.68,5.7,8.88,2.73,6.24,4.65,6.08,8.48,6.42,5.99
12,Currency Exchange Gain (Loss),-,-0.37,0.37,-,1.4,-3.12,3.12,-,7.56,-4.07,4.07,-,-2.1,0.91,-0.91,-
13,Other Non Operating Income (Expenses),1.24,-0.9,-0.33,-0.01,-2.74,2.7,0.92,-1.26,-9.33,9.34,0.15,-0.33,0.66,-0.77,-0.5,0.46
14,EBT Excluding Unusual Items,-37.65,-55.47,-55.2,-49.72,-64.8,-74.08,-91.07,-78.57,-90.34,-82.14,-62.52,-86.9,-114.74,-61.79,-96.95,-49.63
15,Gain (Loss) on Sale of Investments,-3.48,1.24,0.94,1.29,2.65,1.24,1.26,3.2,1.24,7.48,1.55,-,-,-,-1.5,-
16,Gain (Loss) on Sale of Assets,0,-,-0,-0,-0,0,-0,-,-0,0,-0,-,-0,0,-0,-
17,Other Unusual Items,-2.85,0.57,1.08,1.21,6.04,-,-,-,10.12,-,-,-,18.44,-,-,-
18,Pretax Income,-43.97,-53.66,-53.19,-47.21,-56.11,-72.85,-89.81,-75.37,-78.99,-74.66,-60.97,-86.9,-96.31,-61.79,-98.46,-49.63
19,Income Tax Expense,0,0,0.01,-,0,0,0.02,-,-,-,-,-,-,-,-,-
20,Net Income,-43.98,-53.66,-53.2,-47.21,-56.11,-72.85,-89.83,-75.37,-78.99,-74.66,-60.97,-86.9,-96.31,-61.79,-98.46,-49.63
21,Net Income to Common,-43.98,-53.66,-53.2,-47.21,-56.11,-72.85,-89.83,-75.37,-78.99,-74.66,-60.97,-86.9,-96.31,-61.79,-98.46,-49.63
22,Shares Outstanding (Basic),100,97,100,98,99,100,99,99,94,99,96,74,75,74,75,74
23,Shares Outstanding (Diluted),100,97,100,98,99,100,99,99,94,99,96,74,75,74,75,74
24,Shares Change (YoY),1.21%,-2.26%,1.82%,-0.81%,4.82%,0.49%,3.12%,33.52%,25.81%,34.72%,28.01%,0.27%,-,-,-,-
25,EPS (Basic),-0.44,-0.55,-0.53,-0.48,-0.57,-0.73,-0.91,-0.76,-0.84,-0.75,-0.64,-1.17,-1.29,-0.84,-1.32,-0.67
26,EPS (Diluted),-0.44,-0.55,-0.53,-0.48,-0.57,-0.73,-0.91,-0.76,-0.84,-0.75,-0.64,-1.17,-1.29,-0.84,-1.32,-0.67
27,Free Cash Flow,-,-72.02,-90.34,-87.55,-76.93,-92.61,-100.2,-84.95,-157.46,-56.06,-82.34,-88.27,-118.24,-45.37,-47.64,-36.35
28,Free Cash Flow Per Share,-,-0.74,-0.90,-0.89,-0.78,-0.93,-1.02,-0.86,-1.67,-0.57,-0.86,-1.19,-1.58,-0.62,-0.64,-0.49
29,Gross Margin,137.55%,-,12.04%,-,-,-,-,-,53.57%,-,-,-,-,-,-,-
30,Operating Margin,-9578.51%,-,-54436.15%,-,-,-,-,-,-5845.69%,-,-,-,-,-,-,-
31,Profit Margin,-17107.77%,-,-48478.34%,-,-,-,-,-,-4784.60%,-,-,-,-,-,-,-
32,Free Cash Flow Margin,-,-,-82324.84%,-,-,-,-,-,-9538.15%,-,-,-,-,-,-,-
33,EBITDA,-24.05,-57.56,-59.22,-54.97,-69.08,-80.55,-102.81,-82.18,-96.02,-88.58,-71.29,-89.39,-117.12,-69.1,-101.33,-55.77
34,D&A For EBITDA,0.57,0.57,0.51,0.57,0.57,0.48,0.54,0.48,0.48,0.76,0.58,0.76,0.76,0.3,0.59,0.3
35,EBIT,-24.62,-58.13,-59.73,-55.54,-69.65,-81.03,-103.35,-82.66,-96.5,-89.34,-71.88,-90.15,-117.88,-69.4,-101.92,-56.07
36,Revenue as Reported,-,-,0.11,-,-,-,-,-,1.65,-,-,-,-,-,-,-
