,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,273.03,303.94,194.53,301.5,312.24,353.13,742.22,216.13,-,226.2,626.92,208.17,208.17,110.84,-
1,Trading Asset Securities,230,22,41.85,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,503.03,325.94,236.39,301.5,312.24,353.13,742.22,216.13,-,226.2,626.92,208.17,208.17,110.84,125.4
3,Cash Growth,61.10%,-7.70%,-68.15%,39.50%,-,56.11%,18.39%,3.82%,-,104.08%,399.95%,-,-,-,-
4,Accounts Receivable,1181,1204,1383,1350,1360,1316,1023,1038,-,915.01,657.6,537.21,537.21,368.47,-
5,Other Receivables,5.23,4.55,2.69,2.29,2.28,1.94,2.21,1.92,-,1.6,2.75,2.39,2.39,-,-
6,Receivables,1186,1209,1386,1353,1363,1318,1025,1040,-,916.61,660.34,539.6,539.6,368.47,-
7,Inventory,261.79,390.76,425.75,368.41,418.37,465.88,639.96,626.69,-,450.6,308.65,193.83,193.83,206.78,-
8,Other Current Assets,52.22,68.73,117.07,50.93,87.35,76.96,158.04,97.75,-,75.74,120.77,39.83,39.83,36.57,-
9,Total Current Assets,2003,1994,2165,2073,2181,2214,2565,1980,-,1669,1717,981.44,981.44,722.66,-
10,"Property, Plant & Equipment",547.49,555,569.54,559.2,539.27,489.66,448.55,434.12,-,374.79,340.77,321.75,321.75,295.58,-
11,Other Intangible Assets,26.2,25.28,25.46,25.64,25.56,25.72,25.88,26.03,-,26.35,24.76,24.91,24.91,25.2,-
12,Long-Term Deferred Tax Assets,52.59,48.36,45.96,42.31,42.03,39.59,31.34,18.13,-,10.58,6.19,5.46,5.46,5.07,-
13,Long-Term Deferred Charges,62.25,51.83,21.27,19.67,9.17,9,8.69,6.2,-,3.84,3.82,3.97,3.97,2.43,-
14,Other Long-Term Assets,11.86,9.72,23.55,20.04,33.91,56.77,51.96,29,-,41.9,25.14,28.38,28.38,22.01,-
15,Total Assets,2703,2684,2851,2740,2831,2835,3132,2494,-,2127,2117,1366,1366,1073,-
16,Accounts Payable,190.03,186.03,224.15,122.66,225.42,185.41,224.13,202.69,-,123.46,149.64,74.03,74.03,56.46,-
17,Accrued Expenses,8.22,29.79,9.51,31.15,9.35,29.92,11.31,25.73,-,24.03,4.94,24.93,24.93,5.98,-
18,Short-Term Debt,381.74,340.1,411.61,338.13,399.76,535.24,758.14,505.23,-,302.39,270.75,187.2,187.2,141.55,-
19,Current Portion of Long-Term Debt,65.68,51.95,51.74,52.94,10.29,10,10.3,10,-,10,12.42,10,10,-,-
20,Current Portion of Leases,-,5.86,-,0.37,-,0.06,-,0.91,-,2.1,-,2.36,2.36,-,-
21,Current Income Taxes Payable,7.95,5.3,20.15,2.48,4.71,1.61,10.36,3.5,-,10.49,6.15,2.92,2.92,5.03,-
22,Current Unearned Revenue,10.9,11.09,10.77,35.29,48.28,19.36,22.6,20.65,-,29.58,27.04,15.51,15.51,12.09,-
23,Other Current Liabilities,104.1,120.42,126.84,183.11,172.78,225.31,206.93,320.49,-,232.67,268.74,224.25,224.25,104.49,-
24,Total Current Liabilities,768.62,750.54,854.77,766.13,870.58,1007,1244,1089,-,734.72,739.68,541.2,541.2,325.6,-
25,Long-Term Debt,532.48,567.08,627.6,630.66,643.91,521.78,520.19,47.91,-,51.53,53.34,55.15,55.15,40.4,-
26,Long-Term Leases,7.56,8.21,1.44,1.51,1.69,-,-,-,-,0.03,0.29,0.91,0.91,2.12,-
27,Long-Term Unearned Revenue,24.47,25.05,25.43,26.4,27.38,28.35,29.33,30.3,-,22.25,13.48,13.36,13.36,11.98,-
28,Long-Term Deferred Tax Liabilities,5.38,6.87,-,-,-,-,-,-,-,-,-,-,-,0.11,-
29,Other Long-Term Liabilities,-,-,0.05,-,-,-,-,-,-,-,0.06,-,-,-,-
30,Total Liabilities,1339,1358,1509,1425,1544,1557,1793,1167,-,808.52,806.85,610.62,610.62,380.22,-
31,Common Stock,94.35,93.32,93.32,93.32,93.32,93.32,93.32,93.32,-,92.01,92.01,69.01,69.01,69.01,-
32,Additional Paid-In Capital,761.64,742.14,749.26,748.04,755.5,748.76,740.63,732.5,-,679.76,679.76,180.3,180.3,180.3,-
33,Retained Earnings,451.44,451.27,445.32,420.39,442.4,439.64,508.96,544.02,-,546.31,538.73,505.97,505.97,443.42,-
34,Treasury Stock,-11.91,-25.95,-25.95,-25.95,-43.14,-43.14,-43.67,-43.67,-,-,-,-,-,-,-
35,Comprehensive Income & Other,69.25,65.92,79.58,79.78,38.99,38.99,38.99,-,-,-,-,-,-,-,-
36,Shareholders' Equity,1365,1327,1342,1316,1287,1278,1338,1326,-,1318,1311,755.28,755.28,692.73,642.31
37,Total Liabilities & Equity,2703,2684,2851,2740,2831,2835,3132,2494,-,2127,2117,1366,1366,1073,-
38,Total Debt,987.46,973.2,1092,1024,1056,1067,1289,564.05,-,366.04,336.8,255.63,255.63,184.07,98.75
39,Net Cash (Debt),-484.42,-647.26,-856,-722.1,-743.41,-713.94,-546.42,-347.91,-,-139.84,290.12,-47.46,-47.46,-73.23,26.65
40,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,988.84%,-,-,-,-
41,Net Cash Per Share,-5.25,-7.25,-9.27,-8.22,-7.97,-7.60,-5.92,-3.83,-,-1.54,4.16,-0.69,-0.69,-1.07,0.38
42,Filing Date Shares Outstanding,94.35,93.32,93.32,87.79,93.32,93.32,92.26,93.32,92.6,92.01,92.01,69.01,69.01,69.01,69.62
43,Total Common Shares Outstanding,94.35,93.32,93.32,87.79,93.32,93.32,92.26,93.32,92.6,92.01,92.01,69.01,69.01,69.01,69.62
44,Working Capital,1234,1244,1310,1307,1310,1207,1321,890.91,-,934.44,977,440.24,440.24,397.05,-
45,Book Value Per Share,14.46,14.22,14.38,14.98,13.79,13.69,14.51,14.21,-,14.33,14.24,10.94,10.94,10.04,9.31
46,Tangible Book Value,1339,1301,1316,1290,1262,1252,1312,1300,-,1292,1286,730.37,730.37,667.53,616.82
47,Tangible Book Value Per Share,14.19,13.95,14.10,14.69,13.52,13.41,14.23,13.93,-,14.04,13.97,10.58,10.58,9.67,8.94
48,Buildings,-,232.94,-,232.94,-,208.84,-,178.17,-,178.02,-,169.72,169.72,99.14,-
49,Machinery,-,498.75,-,467.11,-,375.05,-,364.56,-,272.96,-,236.38,236.38,202.66,-
50,Construction In Progress,-,49.96,-,62.39,-,84.86,-,45.93,-,58.47,-,30.35,30.35,95.05,-
