,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,509.82,540.45,555.88,670.25,821,747.48,706.99,587.38,704.07,777.69,500.8,476.8,476.8,394.78,303.5
1,Other Revenue,-14.21,14.21,-,4.85,-4.19,4.19,-,48.29,-31.72,31.72,-,10.63,10.63,20.09,-
2,Revenue,495.61,554.66,555.88,675.11,816.81,751.67,706.99,635.67,672.35,809.41,500.8,487.42,487.42,414.87,303.5
3,Revenue Growth (YoY),-39.32%,-26.21%,-21.37%,6.20%,21.49%,-7.13%,41.17%,30.41%,37.94%,95.10%,65.01%,-,-,-,-
4,Cost of Revenue,454.89,492.11,492.97,635.13,749.11,736.55,685.88,610.6,619.66,704.51,434.23,420.72,420.72,358.81,242.72
5,Gross Profit,40.72,62.55,62.91,39.98,67.7,15.11,21.1,25.07,52.68,104.91,66.57,66.7,66.7,56.05,60.78
6,"Selling, General & Admin",24.59,27.67,21.57,27.13,26.66,31.83,24.45,25.52,22.6,24.7,12.85,15.73,15.73,16.71,11.44
7,Research & Development,21.79,21.97,16.12,24.98,22.43,25.07,26.7,24.61,20.12,28,9.37,15.33,15.33,14.04,8.33
8,Other Operating Expenses,-17.91,5.48,-8.42,0.96,0.21,-4.89,-1.75,20.91,-4.88,-10.38,-1.99,2.74,2.74,-1.1,-0.68
9,Operating Expenses,21.01,58.1,30.55,62.27,43.35,53.14,59.04,68.28,36.24,54.41,25.13,34.16,34.16,30.91,22.66
10,Operating Income,19.71,4.45,32.36,-22.29,24.36,-38.02,-37.94,-43.21,16.44,50.5,41.44,32.54,32.54,25.14,38.13
11,Interest Expense,-12.44,-9.16,-10.33,-13.54,-11.81,-8.73,-7.07,-8.94,-8.84,-1.37,-3.63,-1.84,-1.84,-1.21,-1.33
12,Interest & Investment Income,1.26,0.29,2.44,1.45,1.51,2.18,0.34,0.47,0.6,0.78,0.43,0.35,0.35,0.32,0.39
13,Currency Exchange Gain (Loss),0.28,-0.28,-,0.75,-1.16,1.16,-,4.98,-1.98,1.98,-,-0.46,-0.46,-0.09,-
14,Other Non Operating Income (Expenses),2.8,-3.49,0,6.48,-5.02,4.92,-1.77,-3.54,6.7,-2.68,-0.74,-2.25,-2.25,-2.71,-0.28
15,EBT Excluding Unusual Items,11.61,-8.18,24.47,-27.15,7.87,-38.49,-46.44,-50.25,12.93,49.22,37.5,28.34,28.34,21.45,36.91
16,Gain (Loss) on Sale of Assets,-0,0.06,-0.1,0,0.02,0.38,-,-0.07,-0.42,-0.03,0.03,0.23,0.23,-0.2,-
17,Asset Writedown,-3.76,-0,-,-0.08,-7.64,-,-,-,-,-,-,-0.15,-0.15,-,-
18,Other Unusual Items,-10.23,10.1,-0.03,5.26,1.75,-1.75,-,22.72,0.09,-0.09,-,5.33,5.33,0.07,-
19,Pretax Income,-2.39,1.97,24.34,-21.97,2,-39.87,-46.44,-27.6,12.59,49.09,37.53,33.75,33.75,21.32,36.91
20,Income Tax Expense,-2.55,-3.97,-0.6,0.06,-0.76,-7.88,-11.38,-11.24,-1.46,4.71,4.76,2.48,2.48,0.14,7.67
21,Net Income,0.17,5.95,24.94,-22.03,2.76,-31.98,-35.06,-16.36,14.05,44.38,32.77,31.27,31.27,21.18,29.24
22,Net Income to Common,0.17,5.95,24.94,-22.03,2.76,-31.98,-35.06,-16.36,14.05,44.38,32.77,31.27,31.27,21.18,29.24
23,Net Income Growth,-93.90%,-,-,-,-80.36%,-,-,-,-55.08%,109.59%,12.06%,-,-,-,-
24,Shares Outstanding (Basic),92,89,92,88,93,94,92,91,93,91,70,69,69,69,70
25,Shares Outstanding (Diluted),92,89,92,88,93,94,92,91,93,91,70,69,69,69,70
26,Shares Change (YoY),-1.00%,-4.96%,0.12%,-3.27%,0.71%,3.24%,32.33%,31.63%,34.31%,32.85%,0.14%,-,-,-,-
27,EPS (Basic),0.00,0.07,0.27,-0.25,0.03,-0.34,-0.38,-0.18,0.15,0.49,0.47,0.45,0.45,0.31,0.42
28,EPS (Diluted),0.00,0.07,0.27,-0.25,0.03,-0.34,-0.38,-0.18,0.15,0.49,0.47,0.45,0.45,0.31,0.42
29,EPS Growth,-93.84%,-,-,-,-80.49%,-,-,-,-66.55%,57.76%,11.90%,-,-,-,-
30,Free Cash Flow,125.15,289.19,-241.01,7.19,-0.17,-144.18,-228.14,-8.45,-251.35,-385.07,-190.02,14.23,14.23,-12.27,-106.79
31,Free Cash Flow Per Share,1.36,3.24,-2.61,0.08,-0.00,-1.53,-2.47,-0.09,-2.71,-4.23,-2.73,0.21,0.21,-0.18,-1.53
32,Dividend Per Share,-,-,-,-,-,-,-,0.400,-,-,-,-,-,-,-
33,Gross Margin,8.22%,11.28%,11.32%,5.92%,8.29%,2.01%,2.98%,3.94%,7.84%,12.96%,13.29%,13.68%,13.68%,13.51%,20.03%
34,Operating Margin,3.98%,0.80%,5.82%,-3.30%,2.98%,-5.06%,-5.37%,-6.80%,2.45%,6.24%,8.27%,6.68%,6.68%,6.06%,12.56%
35,Profit Margin,0.03%,1.07%,4.49%,-3.26%,0.34%,-4.25%,-4.96%,-2.57%,2.09%,5.48%,6.54%,6.42%,6.42%,5.10%,9.63%
36,Free Cash Flow Margin,25.25%,52.14%,-43.36%,1.06%,-0.02%,-19.18%,-32.27%,-1.33%,-37.38%,-47.57%,-37.94%,2.92%,2.92%,-2.96%,-35.19%
37,EBITDA,33.05,22.29,45.7,-8.95,35.16,-24.89,-27.14,-32.41,23.19,60.18,48.18,40.25,40.25,30.92,43.31
38,EBITDA Margin,6.67%,4.02%,8.22%,-1.33%,4.30%,-3.31%,-3.84%,-5.10%,3.45%,7.43%,9.62%,8.26%,8.26%,7.45%,14.27%
39,D&A For EBITDA,13.34,17.84,13.34,13.34,10.8,13.14,10.8,10.8,6.75,9.68,6.75,7.71,7.71,5.78,5.18
40,EBIT,19.71,4.45,32.36,-22.29,24.36,-38.02,-37.94,-43.21,16.44,50.5,41.44,32.54,32.54,25.14,38.13
41,EBIT Margin,3.98%,0.80%,5.82%,-3.30%,2.98%,-5.06%,-5.37%,-6.80%,2.45%,6.24%,8.27%,6.68%,6.68%,6.06%,12.56%
42,Effective Tax Rate,-,-,-,-,-,-,-,-,-,9.59%,12.69%,7.34%,7.34%,0.65%,20.78%
43,Revenue as Reported,495.61,554.66,555.88,675.11,816.81,751.67,706.99,635.67,672.35,809.41,500.8,487.42,487.42,414.87,303.5
